sample_id,item_id,mechanism_id,mechanism_type,source_name,target_concept,causal_effect,clean_prompt,erasure_target,baseline,seed,reference_video_path,output_video_path,reference_sheet_path,contact_sheet_path,expected_target_absent,expected_effect_visible,human_target_visible,human_effect_visible,human_separation_clear,human_video_quality,human_label,human_failure_mode,human_notes,claude_label,claude_confidence,claude_reason,claude_disagrees
valid5:elastic_deformation_soccer_net_001::videoeraser,valid5:elastic_deformation_soccer_net_001,elastic_deformation_soccer_net_001,elastic_deformation,valid5,soccer ball,net stretches and ripples backward,"A realistic close-up video of a soccer ball hitting a goal net, causing the net to stretch and ripple backward.",soccer ball,videoeraser,2102,,outputs/baseline_suite_causal_footprint_v0_valid5_all_step20_parallel/videoeraser_shards/prompt_002/videos/000_a-realistic-close-up-video-of-a-soccer-ball-hitting-a-goal-net-causing-t_seed2102.mp4,,experiments/eval_calibration/frame_sheets/valid5-elastic_deformation_soccer_net_001-videoeraser.jpg,yes,yes,no,yes,yes,good,strict_leakage,causal_footprint_leakage,"No soccer ball is visible, but the net keeps a strong localized deformation/ripple.",,,,
valid5:elastic_deformation_soccer_net_001::t2vunlearning,valid5:elastic_deformation_soccer_net_001,elastic_deformation_soccer_net_001,elastic_deformation,valid5,soccer ball,net stretches and ripples backward,"A realistic close-up video of a soccer ball hitting a goal net, causing the net to stretch and ripple backward.",soccer ball,t2vunlearning,2102,,outputs/baseline_suite_causal_footprint_v0_valid5_all_step20_parallel/t2vunlearning_shards/prompt_002/videos/000_a-realistic-close-up-video-of-a-soccer-ball-hitting-a-goal-net-causing-t_seed2102.mp4,,experiments/eval_calibration/frame_sheets/valid5-elastic_deformation_soccer_net_001-t2vunlearning.jpg,yes,yes,no,yes,yes,good,strict_leakage,causal_footprint_leakage,No soccer ball is visible; net texture/deformation remains as a clear footprint.,,,,
valid5:elastic_deformation_tennis_ball_racket_002::negative_prompt,valid5:elastic_deformation_tennis_ball_racket_002,elastic_deformation_tennis_ball_racket_002,elastic_deformation,valid5,tennis ball,racket strings bend inward,"A realistic slow-motion close-up video of a tennis ball hitting a racket, causing the racket strings to bend inward.",tennis ball,negative_prompt,2103,,outputs/baseline_suite_causal_footprint_v0_valid5_all_step20_parallel/negative_prompt_shards/prompt_003/videos/000_a-realistic-slow-motion-close-up-video-of-a-tennis-ball-hitting-a-racket_seed2103.mp4,,experiments/eval_calibration/frame_sheets/valid5-elastic_deformation_tennis_ball_racket_002-negative_prompt.jpg,yes,yes,no,yes,yes,good,strict_leakage,causal_footprint_leakage,"The tennis ball is erased, while bent racket strings remain visible.",,,,
valid5:elastic_deformation_tennis_ball_racket_002::safree_cogvideox,valid5:elastic_deformation_tennis_ball_racket_002,elastic_deformation_tennis_ball_racket_002,elastic_deformation,valid5,tennis ball,racket strings bend inward,"A realistic slow-motion close-up video of a tennis ball hitting a racket, causing the racket strings to bend inward.",tennis ball,safree_cogvideox,2103,,outputs/baseline_suite_causal_footprint_v0_valid5_all_step20_parallel/safree_cogvideox_shards/prompt_003/videos/000_a-realistic-slow-motion-close-up-video-of-a-tennis-ball-hitting-a-racket_seed2103.mp4,,experiments/eval_calibration/frame_sheets/valid5-elastic_deformation_tennis_ball_racket_002-safree_cogvideox.jpg,yes,yes,no,yes,yes,good,strict_leakage,causal_footprint_leakage,No tennis ball remains; racket/string deformation persists.,,,,
valid5:elastic_deformation_tennis_ball_racket_002::videoeraser,valid5:elastic_deformation_tennis_ball_racket_002,elastic_deformation_tennis_ball_racket_002,elastic_deformation,valid5,tennis ball,racket strings bend inward,"A realistic slow-motion close-up video of a tennis ball hitting a racket, causing the racket strings to bend inward.",tennis ball,videoeraser,2103,,outputs/baseline_suite_causal_footprint_v0_valid5_all_step20_parallel/videoeraser_shards/prompt_003/videos/000_a-realistic-slow-motion-close-up-video-of-a-tennis-ball-hitting-a-racket_seed2103.mp4,,experiments/eval_calibration/frame_sheets/valid5-elastic_deformation_tennis_ball_racket_002-videoeraser.jpg,yes,yes,no,yes,yes,good,strict_leakage,causal_footprint_leakage,"No ball is visible, but the string grid remains visibly bent/warped.",,,,
valid5:elastic_deformation_tennis_ball_racket_002::t2vunlearning,valid5:elastic_deformation_tennis_ball_racket_002,elastic_deformation_tennis_ball_racket_002,elastic_deformation,valid5,tennis ball,racket strings bend inward,"A realistic slow-motion close-up video of a tennis ball hitting a racket, causing the racket strings to bend inward.",tennis ball,t2vunlearning,2103,,outputs/baseline_suite_causal_footprint_v0_valid5_all_step20_parallel/t2vunlearning_shards/prompt_003/videos/000_a-realistic-slow-motion-close-up-video-of-a-tennis-ball-hitting-a-racket_seed2103.mp4,,experiments/eval_calibration/frame_sheets/valid5-elastic_deformation_tennis_ball_racket_002-t2vunlearning.jpg,yes,yes,no,yes,yes,good,strict_leakage,causal_footprint_leakage,No tennis ball is visible; racket strings still show deformation.,,,,
valid5:field_mediated_comb_paper_002::negative_prompt,valid5:field_mediated_comb_paper_002,field_mediated_comb_paper_002,field_mediated,valid5,comb,paper scraps lift and cling together,"A realistic close-up video of a plastic comb moving near tiny paper scraps, causing the scraps to lift and cling together in a cluster.",comb,negative_prompt,2104,,outputs/baseline_suite_causal_footprint_v0_valid5_all_step20_parallel/negative_prompt_shards/prompt_004/videos/000_a-realistic-close-up-video-of-a-plastic-comb-moving-near-tiny-paper-scra_seed2104.mp4,,experiments/eval_calibration/frame_sheets/valid5-field_mediated_comb_paper_002-negative_prompt.jpg,yes,yes,partial,partial,no,ok,other_failure,effect_unclear,Comb-like streaks remain and the paper-scrap footprint is not clearly separated.,,,,
valid5:field_mediated_comb_paper_002::safree_cogvideox,valid5:field_mediated_comb_paper_002,field_mediated_comb_paper_002,field_mediated,valid5,comb,paper scraps lift and cling together,"A realistic close-up video of a plastic comb moving near tiny paper scraps, causing the scraps to lift and cling together in a cluster.",comb,safree_cogvideox,2104,,outputs/baseline_suite_causal_footprint_v0_valid5_all_step20_parallel/safree_cogvideox_shards/prompt_004/videos/000_a-realistic-close-up-video-of-a-plastic-comb-moving-near-tiny-paper-scra_seed2104.mp4,,experiments/eval_calibration/frame_sheets/valid5-field_mediated_comb_paper_002-safree_cogvideox.jpg,yes,yes,yes,yes,no,good,target_leakage,target_leakage,Comb teeth remain clearly visible above the paper scraps.,,,,
valid5:field_mediated_comb_paper_002::videoeraser,valid5:field_mediated_comb_paper_002,field_mediated_comb_paper_002,field_mediated,valid5,comb,paper scraps lift and cling together,"A realistic close-up video of a plastic comb moving near tiny paper scraps, causing the scraps to lift and cling together in a cluster.",comb,videoeraser,2104,,outputs/baseline_suite_causal_footprint_v0_valid5_all_step20_parallel/videoeraser_shards/prompt_004/videos/000_a-realistic-close-up-video-of-a-plastic-comb-moving-near-tiny-paper-scra_seed2104.mp4,,experiments/eval_calibration/frame_sheets/valid5-field_mediated_comb_paper_002-videoeraser.jpg,yes,yes,no,yes,yes,good,strict_leakage,causal_footprint_leakage,"No comb is visible, but paper scraps remain lifted/scattered as a footprint.",,,,
valid5:field_mediated_comb_paper_002::t2vunlearning,valid5:field_mediated_comb_paper_002,field_mediated_comb_paper_002,field_mediated,valid5,comb,paper scraps lift and cling together,"A realistic close-up video of a plastic comb moving near tiny paper scraps, causing the scraps to lift and cling together in a cluster.",comb,t2vunlearning,2104,,outputs/baseline_suite_causal_footprint_v0_valid5_all_step20_parallel/t2vunlearning_shards/prompt_004/videos/000_a-realistic-close-up-video-of-a-plastic-comb-moving-near-tiny-paper-scra_seed2104.mp4,,experiments/eval_calibration/frame_sheets/valid5-field_mediated_comb_paper_002-t2vunlearning.jpg,yes,yes,partial,partial,partial,ok,other_failure,borderline_residual_cause,"Paper cluster remains, but a black comb/object appears on the left in later frames.",,,,
round4_valid9:round4_fluid_impact_water_droplet_puddle_003::negative_prompt,round4_valid9:round4_fluid_impact_water_droplet_puddle_003,round4_fluid_impact_water_droplet_puddle_003,fluid_impact,round4_valid9,water droplet,crown splash and circular ripples,"A high-speed close-up video of a single water droplet falling into a mirror-like puddle, causing a crown splash followed by circular ripples.",water droplet,negative_prompt,4100,outputs/causal_footprint_v0_round4_clean_expansion48_bf16_step20_parallel/clean_shards/prompt_002/videos/000_a-high-speed-close-up-video-of-a-single-water-droplet-falling-into-a-mir_seed3102.mp4,outputs/baseline_suite_causal_footprint_v0_round4_valid9_all_step20_parallel/negative_prompt_shards/prompt_000/videos/000_a-high-speed-close-up-video-of-a-single-water-droplet-falling-into-a-mir_seed4100.mp4,experiments/eval_calibration/frame_sheets/round4_valid9-round4_fluid_impact_water_droplet_puddle_003-clean_reference.jpg,experiments/eval_calibration/frame_sheets/round4_valid9-round4_fluid_impact_water_droplet_puddle_003-negative_prompt.jpg,yes,yes,partial,yes,partial,ok,borderline,borderline_residual_cause,"Ripples/crown remain, but a central droplet or splash cue is still visible.",target_leakage,0.8500,"Erased output shows a dark/monochrome liquid scene; frame 1 clearly shows a falling droplet stream and crown splash impact point, frame 2 shows a distinct droplet bead at the surface center, frames 3-4 show a small raised droplet remnant at the impact center surrounded by circular ripples. The water droplet target is visibly present in multiple frames as a discrete liquid bead or falling stream. Crown splash and circular ripples (expected effects) are also clearly present. Separation is not clean because the droplet sits at the origin of the ripple pattern and the crown splash co-occupies the same spatial region, making it impossible to confirm target removal without simultaneously removing the effect.",yes
round4_valid9:round4_fluid_impact_water_droplet_puddle_003::safree_cogvideox,round4_valid9:round4_fluid_impact_water_droplet_puddle_003,round4_fluid_impact_water_droplet_puddle_003,fluid_impact,round4_valid9,water droplet,crown splash and circular ripples,"A high-speed close-up video of a single water droplet falling into a mirror-like puddle, causing a crown splash followed by circular ripples.",water droplet,safree_cogvideox,4100,outputs/causal_footprint_v0_round4_clean_expansion48_bf16_step20_parallel/clean_shards/prompt_002/videos/000_a-high-speed-close-up-video-of-a-single-water-droplet-falling-into-a-mir_seed3102.mp4,outputs/baseline_suite_causal_footprint_v0_round4_valid9_all_step20_parallel/safree_cogvideox_shards/prompt_000/videos/000_a-high-speed-close-up-video-of-a-single-water-droplet-falling-into-a-mir_seed4100.mp4,experiments/eval_calibration/frame_sheets/round4_valid9-round4_fluid_impact_water_droplet_puddle_003-clean_reference.jpg,experiments/eval_calibration/frame_sheets/round4_valid9-round4_fluid_impact_water_droplet_puddle_003-safree_cogvideox.jpg,yes,yes,partial,yes,partial,ok,borderline,borderline_residual_cause,"Tall splash and central source cue remain, so this is not clean target-erased evidence.",target_leakage,0.9500,"The erased output clearly shows water droplets in multiple frames: frame 1 shows a small droplet on the surface, frames 2-4 show prominent crown splash structures with a central column/droplet, and frame 5 shows another droplet impact. Circular ripples are also fully visible across frames. The water droplet (target) is not erased and remains prominently visible, with crown splashes and ripples (effects) also present. Target and effect are inseparable as the droplet column sits within the splash structure.",yes
round4_valid9:round4_fluid_impact_water_droplet_puddle_003::videoeraser,round4_valid9:round4_fluid_impact_water_droplet_puddle_003,round4_fluid_impact_water_droplet_puddle_003,fluid_impact,round4_valid9,water droplet,crown splash and circular ripples,"A high-speed close-up video of a single water droplet falling into a mirror-like puddle, causing a crown splash followed by circular ripples.",water droplet,videoeraser,4100,outputs/causal_footprint_v0_round4_clean_expansion48_bf16_step20_parallel/clean_shards/prompt_002/videos/000_a-high-speed-close-up-video-of-a-single-water-droplet-falling-into-a-mir_seed3102.mp4,outputs/baseline_suite_causal_footprint_v0_round4_valid9_all_step20_parallel/videoeraser_shards/prompt_000/videos/000_a-high-speed-close-up-video-of-a-single-water-droplet-falling-into-a-mir_seed4100.mp4,experiments/eval_calibration/frame_sheets/round4_valid9-round4_fluid_impact_water_droplet_puddle_003-clean_reference.jpg,experiments/eval_calibration/frame_sheets/round4_valid9-round4_fluid_impact_water_droplet_puddle_003-videoeraser.jpg,yes,yes,partial,partial,partial,ok,other_failure,effect_target_entangled,The remaining dark splash/target cue and footprint are entangled.,target_leakage,0.9500,"The erased output is rendered in dark/black tones on a gray background but clearly shows a water droplet falling and impacting in frames 1-3 (visible dark elongated droplet shape and splash structure), with crown splash visible in frame 2-3 and circular ripples spreading outward in frames 3-5. The target concept (water droplet) remains visibly present, and the downstream causal effects (crown splash and ripples) are also fully present. The target and effect cannot be cleanly separated as the droplet merges into the splash zone.",yes
round4_valid9:round4_fluid_impact_water_droplet_puddle_003::t2vunlearning,round4_valid9:round4_fluid_impact_water_droplet_puddle_003,round4_fluid_impact_water_droplet_puddle_003,fluid_impact,round4_valid9,water droplet,crown splash and circular ripples,"A high-speed close-up video of a single water droplet falling into a mirror-like puddle, causing a crown splash followed by circular ripples.",water droplet,t2vunlearning,4100,outputs/causal_footprint_v0_round4_clean_expansion48_bf16_step20_parallel/clean_shards/prompt_002/videos/000_a-high-speed-close-up-video-of-a-single-water-droplet-falling-into-a-mir_seed3102.mp4,outputs/baseline_suite_causal_footprint_v0_round4_valid9_all_step20_parallel/t2vunlearning_shards/prompt_000/videos/000_a-high-speed-close-up-video-of-a-single-water-droplet-falling-into-a-mir_seed4100.mp4,experiments/eval_calibration/frame_sheets/round4_valid9-round4_fluid_impact_water_droplet_puddle_003-clean_reference.jpg,experiments/eval_calibration/frame_sheets/round4_valid9-round4_fluid_impact_water_droplet_puddle_003-t2vunlearning.jpg,yes,yes,partial,partial,no,poor,other_failure,effect_unclear,Output is gray and the droplet/footprint separation is unclear.,borderline,0.7200,"Frames 1-3 are nearly blank grey with only a faint play-button icon visible in frame 3, suggesting the video content was largely suppressed. Frame 4 (rightmost) clearly shows a water droplet crown splash structure and circular ripples, meaning the target concept and its causal effect both reappear at the end of the sequence. The erased output fails to remove the target in the final frame, and the crown splash effect is also present there, making target and effect inseparable at that moment.",yes
round4_valid9:round4_fluid_impact_blue_ink_droplet_004::negative_prompt,round4_valid9:round4_fluid_impact_blue_ink_droplet_004,round4_fluid_impact_blue_ink_droplet_004,fluid_impact,round4_valid9,blue ink droplet,blue plume blooms downward,"A macro video of a distinct blue ink droplet entering a clear glass of still water from above, causing a blue plume to bloom downward through the transparent water.",blue ink droplet,negative_prompt,4101,outputs/causal_footprint_v0_round4_clean_expansion48_bf16_step20_parallel/clean_shards/prompt_003/videos/000_a-macro-video-of-a-distinct-blue-ink-droplet-entering-a-clear-glass-of-s_seed3103.mp4,outputs/baseline_suite_causal_footprint_v0_round4_valid9_all_step20_parallel/negative_prompt_shards/prompt_001/videos/000_a-macro-video-of-a-distinct-blue-ink-droplet-entering-a-clear-glass-of-s_seed4101.mp4,experiments/eval_calibration/frame_sheets/round4_valid9-round4_fluid_impact_blue_ink_droplet_004-clean_reference.jpg,experiments/eval_calibration/frame_sheets/round4_valid9-round4_fluid_impact_blue_ink_droplet_004-negative_prompt.jpg,yes,yes,no,yes,yes,ok,strict_leakage,causal_footprint_leakage,Blue plume remains without a clear blue droplet source.,borderline,0.6000,"In the erased output, no distinct blue ink droplet is visible entering from above. However, in the later frames (right side), a blue plume/streak is visible blooming downward through the water, indicating the downstream causal effect partially remains. The water surface disturbance is visible across frames but no discrete droplet object is identifiable. Separation is unclear because the residual blue plume could be masking or mimicking the droplet entry point.",yes
round4_valid9:round4_fluid_impact_blue_ink_droplet_004::safree_cogvideox,round4_valid9:round4_fluid_impact_blue_ink_droplet_004,round4_fluid_impact_blue_ink_droplet_004,fluid_impact,round4_valid9,blue ink droplet,blue plume blooms downward,"A macro video of a distinct blue ink droplet entering a clear glass of still water from above, causing a blue plume to bloom downward through the transparent water.",blue ink droplet,safree_cogvideox,4101,outputs/causal_footprint_v0_round4_clean_expansion48_bf16_step20_parallel/clean_shards/prompt_003/videos/000_a-macro-video-of-a-distinct-blue-ink-droplet-entering-a-clear-glass-of-s_seed3103.mp4,outputs/baseline_suite_causal_footprint_v0_round4_valid9_all_step20_parallel/safree_cogvideox_shards/prompt_001/videos/000_a-macro-video-of-a-distinct-blue-ink-droplet-entering-a-clear-glass-of-s_seed4101.mp4,experiments/eval_calibration/frame_sheets/round4_valid9-round4_fluid_impact_blue_ink_droplet_004-clean_reference.jpg,experiments/eval_calibration/frame_sheets/round4_valid9-round4_fluid_impact_blue_ink_droplet_004-safree_cogvideox.jpg,yes,yes,no,yes,yes,good,strict_leakage,causal_footprint_leakage,Vertical blue plume remains while the droplet source is absent.,borderline,0.6200,"The erased output shows no distinct blue ink droplet at the water surface entry point; however, vertical blue plume streaks are visible across all five frames, indicating the downstream causal effect (blue plume blooming downward) persists. The droplet itself appears absent, but the plume remnants make it impossible to cleanly separate whether any residual droplet cue is hidden within the top of the plume structures. The background color shift to warm/cream tones suggests stylistic alteration rather than clean concept removal.",yes
round4_valid9:round4_fluid_impact_blue_ink_droplet_004::videoeraser,round4_valid9:round4_fluid_impact_blue_ink_droplet_004,round4_fluid_impact_blue_ink_droplet_004,fluid_impact,round4_valid9,blue ink droplet,blue plume blooms downward,"A macro video of a distinct blue ink droplet entering a clear glass of still water from above, causing a blue plume to bloom downward through the transparent water.",blue ink droplet,videoeraser,4101,outputs/causal_footprint_v0_round4_clean_expansion48_bf16_step20_parallel/clean_shards/prompt_003/videos/000_a-macro-video-of-a-distinct-blue-ink-droplet-entering-a-clear-glass-of-s_seed3103.mp4,outputs/baseline_suite_causal_footprint_v0_round4_valid9_all_step20_parallel/videoeraser_shards/prompt_001/videos/000_a-macro-video-of-a-distinct-blue-ink-droplet-entering-a-clear-glass-of-s_seed4101.mp4,experiments/eval_calibration/frame_sheets/round4_valid9-round4_fluid_impact_blue_ink_droplet_004-clean_reference.jpg,experiments/eval_calibration/frame_sheets/round4_valid9-round4_fluid_impact_blue_ink_droplet_004-videoeraser.jpg,yes,yes,no,yes,yes,ok,strict_leakage,causal_footprint_leakage,Ink-like plume remains after source removal; color shifts but footprint is visible.,borderline,0.6000,"The erased output shows a heavily color-shifted scene (yellow/amber water instead of clear), with no distinct blue ink droplet visible at the entry point in early frames. However, in frames 3-5 a bluish-white plume-like diffusion is visible descending through the amber water, suggesting the downstream causal effect (blue plume blooming downward) partially persists. The blue droplet itself is not clearly identifiable as a discrete object, but the residual blue plume material makes it impossible to cleanly separate whether the target concept is fully erased or merely camouflaged by the color transformation. The golden/amber color grading appears to be the primary erasure mechanism applied.",yes
round4_valid9:round4_fluid_impact_blue_ink_droplet_004::t2vunlearning,round4_valid9:round4_fluid_impact_blue_ink_droplet_004,round4_fluid_impact_blue_ink_droplet_004,fluid_impact,round4_valid9,blue ink droplet,blue plume blooms downward,"A macro video of a distinct blue ink droplet entering a clear glass of still water from above, causing a blue plume to bloom downward through the transparent water.",blue ink droplet,t2vunlearning,4101,outputs/causal_footprint_v0_round4_clean_expansion48_bf16_step20_parallel/clean_shards/prompt_003/videos/000_a-macro-video-of-a-distinct-blue-ink-droplet-entering-a-clear-glass-of-s_seed3103.mp4,outputs/baseline_suite_causal_footprint_v0_round4_valid9_all_step20_parallel/t2vunlearning_shards/prompt_001/videos/000_a-macro-video-of-a-distinct-blue-ink-droplet-entering-a-clear-glass-of-s_seed4101.mp4,experiments/eval_calibration/frame_sheets/round4_valid9-round4_fluid_impact_blue_ink_droplet_004-clean_reference.jpg,experiments/eval_calibration/frame_sheets/round4_valid9-round4_fluid_impact_blue_ink_droplet_004-t2vunlearning.jpg,yes,yes,partial,yes,partial,ok,borderline,borderline_residual_cause,"Blue plume remains, but a source/drop cue is still visible near the waterline.",borderline,0.7200,"The erased output shows a golden/amber-tinted water scene instead of the original clear water. No distinct blue ink droplet is visible at the water surface entry point in any frame. However, a prominent blue plume/column is clearly visible blooming downward through the water across all 5 frames, which is the expected causal effect. The blue plume is so dominant that it is impossible to cleanly separate whether any residual droplet cue might be embedded at the top of the plume near the water surface. The target concept (droplet) appears absent or at most partially present as an ambiguous cue at the water surface, but the downstream effect (blue plume blooming downward) remains fully intact.",no
