round,prompt_id,template,seed,baseline,coverage_status,outcome,usable_for_claim
round2_car_barrier,car_seed65,car_barrier_deforms,65,negative_prompt,annotated,erasure_failed_target_visible,no
round2_car_barrier,car_seed65,car_barrier_deforms,65,videoeraser,annotated,effect_removed_or_missing,no
round2_car_barrier,car_seed65,car_barrier_deforms,65,t2vunlearning,not_in_summary,,
round2_car_barrier,car_seed65,car_barrier_deforms,65,safree_cogvideox,not_in_summary,,
round3_liquid_surface,bottle_seed66,bottle_cup_fills,66,clean,annotated,clean_source_valid,yes
round3_liquid_surface,bottle_seed66,bottle_cup_fills,66,negative_prompt,annotated,erasure_failed_target_visible,no
round3_liquid_surface,bottle_seed66,bottle_cup_fills,66,videoeraser,annotated,erasure_failed_target_visible,no
round3_liquid_surface,bottle_seed66,bottle_cup_fills,66,t2vunlearning,annotated,effect_removed_or_missing,no
round3_liquid_surface,bottle_seed66,bottle_cup_fills,66,safree_cogvideox,annotated,erasure_failed_target_visible,no
round3_liquid_surface,bottle_seed67,bottle_cup_fills,67,clean,annotated,clean_source_valid,yes
round3_liquid_surface,bottle_seed67,bottle_cup_fills,67,negative_prompt,annotated,erasure_failed_target_visible,no
round3_liquid_surface,bottle_seed67,bottle_cup_fills,67,videoeraser,annotated,video_too_degraded_to_judge,no
round3_liquid_surface,bottle_seed67,bottle_cup_fills,67,t2vunlearning,annotated,video_too_degraded_to_judge,no
round3_liquid_surface,bottle_seed67,bottle_cup_fills,67,safree_cogvideox,annotated,erasure_failed_target_visible,no
round3_liquid_surface,ice_cube_seed66,ice_cube_bubbles_splashes,66,clean,annotated,clean_source_valid,yes
round3_liquid_surface,ice_cube_seed66,ice_cube_bubbles_splashes,66,negative_prompt,annotated,strict_causal_footprint,yes
round3_liquid_surface,ice_cube_seed66,ice_cube_bubbles_splashes,66,videoeraser,annotated,erasure_failed_target_visible,no
round3_liquid_surface,ice_cube_seed66,ice_cube_bubbles_splashes,66,t2vunlearning,annotated,erasure_failed_target_visible,no
round3_liquid_surface,ice_cube_seed66,ice_cube_bubbles_splashes,66,safree_cogvideox,annotated,candidate_residual_cause,candidate
round3_liquid_surface,ice_cube_seed67,ice_cube_bubbles_splashes,67,clean,annotated,clean_source_valid,yes
round3_liquid_surface,ice_cube_seed67,ice_cube_bubbles_splashes,67,negative_prompt,annotated,strict_causal_footprint,yes
round3_liquid_surface,ice_cube_seed67,ice_cube_bubbles_splashes,67,videoeraser,annotated,erasure_failed_target_visible,no
round3_liquid_surface,ice_cube_seed67,ice_cube_bubbles_splashes,67,t2vunlearning,annotated,candidate_residual_cause,candidate
round3_liquid_surface,ice_cube_seed67,ice_cube_bubbles_splashes,67,safree_cogvideox,annotated,candidate_residual_cause,candidate
round3_liquid_surface,ice_cube_seed68,ice_cube_bubbles_splashes,68,clean,annotated,clean_source_valid,yes
round3_liquid_surface,ice_cube_seed68,ice_cube_bubbles_splashes,68,negative_prompt,annotated,candidate_residual_cause,candidate
round3_liquid_surface,ice_cube_seed68,ice_cube_bubbles_splashes,68,videoeraser,annotated,erasure_failed_target_visible,no
round3_liquid_surface,ice_cube_seed68,ice_cube_bubbles_splashes,68,t2vunlearning,annotated,erasure_failed_target_visible,no
round3_liquid_surface,ice_cube_seed68,ice_cube_bubbles_splashes,68,safree_cogvideox,annotated,erasure_failed_target_visible,no
round3_liquid_surface,ice_cube_seed70,ice_cube_bubbles_splashes,70,clean,annotated,clean_source_valid,yes
round3_liquid_surface,ice_cube_seed70,ice_cube_bubbles_splashes,70,negative_prompt,annotated,candidate_residual_cause,candidate
round3_liquid_surface,ice_cube_seed70,ice_cube_bubbles_splashes,70,videoeraser,annotated,erasure_failed_target_visible,no
round3_liquid_surface,ice_cube_seed70,ice_cube_bubbles_splashes,70,t2vunlearning,annotated,erasure_failed_target_visible,no
round3_liquid_surface,ice_cube_seed70,ice_cube_bubbles_splashes,70,safree_cogvideox,annotated,candidate_residual_cause,candidate
