sample_id,mechanism,generalization_group,source_object,receiver,expected_footprint,source_visible,footprint_visible,causal_order_valid,receiver_correct,quality_ok,gate_pass,notes
eval_rigid_collision_seen_seen_02,rigid_collision,seen_seen,one small red rubber ball,three small plain cardboard boxes,a tipped contacted object and visible displacement of nearby objects,yes,no,no,yes,yes,no,source appears but the expected downstream receiver response is absent
eval_rigid_collision_seen_seen_03,rigid_collision,seen_seen,one short wooden cylinder,three plain wooden blocks standing upright,a tipped contacted object and visible displacement of nearby objects,yes,no,no,yes,yes,no,source appears but the expected downstream receiver response is absent
eval_rigid_collision_seen_seen_04,rigid_collision,seen_seen,one short wooden cylinder,four small white plastic bowling pins,a tipped contacted object and visible displacement of nearby objects,partial,no,no,yes,yes,no,source appears but the expected downstream receiver response is absent
eval_rigid_collision_unseen_seen_00,rigid_collision,unseen_seen,one small blue wooden cube,three plain wooden blocks standing upright,a tipped contacted object and visible displacement of nearby objects,yes,no,no,yes,yes,no,source appears but the expected downstream receiver response is absent
eval_rigid_collision_unseen_seen_01,rigid_collision,unseen_seen,one small blue wooden cube,four small white plastic bowling pins,a tipped contacted object and visible displacement of nearby objects,yes,no,no,yes,yes,no,source appears but the expected downstream receiver response is absent
eval_rigid_collision_unseen_seen_02,rigid_collision,unseen_seen,one small blue wooden cube,three small plain cardboard boxes,a tipped contacted object and visible displacement of nearby objects,yes,no,no,yes,yes,no,source appears but the expected downstream receiver response is absent
eval_rigid_collision_unseen_seen_03,rigid_collision,unseen_seen,one small yellow toy car,three plain wooden blocks standing upright,a tipped contacted object and visible displacement of nearby objects,yes,no,no,yes,yes,no,source appears but the expected downstream receiver response is absent
eval_rigid_collision_unseen_seen_04,rigid_collision,unseen_seen,one small yellow toy car,four small white plastic bowling pins,a tipped contacted object and visible displacement of nearby objects,yes,no,no,yes,yes,no,source appears but the expected downstream receiver response is absent
eval_rigid_collision_seen_unseen_00,rigid_collision,seen_unseen,one small red rubber ball,four empty aluminum cans standing upright,a tipped contacted object and visible displacement of nearby objects,yes,no,no,yes,yes,no,source appears but the expected downstream receiver response is absent
eval_rigid_collision_seen_unseen_01,rigid_collision,seen_unseen,one small red rubber ball,four rigid plastic cups standing upright,a tipped contacted object and visible displacement of nearby objects,partial,no,no,yes,yes,no,source appears but the expected downstream receiver response is absent
eval_rigid_collision_seen_unseen_02,rigid_collision,seen_unseen,one short wooden cylinder,four empty aluminum cans standing upright,a tipped contacted object and visible displacement of nearby objects,yes,no,no,yes,yes,no,source appears but the expected downstream receiver response is absent
eval_rigid_collision_seen_unseen_03,rigid_collision,seen_unseen,one short wooden cylinder,four rigid plastic cups standing upright,a tipped contacted object and visible displacement of nearby objects,yes,no,no,yes,yes,no,source appears but the expected downstream receiver response is absent
eval_rigid_collision_seen_unseen_04,rigid_collision,seen_unseen,one silver metal puck,four empty aluminum cans standing upright,a tipped contacted object and visible displacement of nearby objects,yes,no,no,yes,yes,no,source appears but the expected downstream receiver response is absent
eval_rigid_collision_unseen_unseen_00,rigid_collision,unseen_unseen,one small blue wooden cube,four empty aluminum cans standing upright,a tipped contacted object and visible displacement of nearby objects,yes,no,no,yes,yes,no,source appears but the expected downstream receiver response is absent
eval_rigid_collision_unseen_unseen_01,rigid_collision,unseen_unseen,one small blue wooden cube,four rigid plastic cups standing upright,a tipped contacted object and visible displacement of nearby objects,partial,no,no,yes,yes,no,source appears but the expected downstream receiver response is absent
eval_rigid_collision_unseen_unseen_02,rigid_collision,unseen_unseen,one small yellow toy car,four empty aluminum cans standing upright,a tipped contacted object and visible displacement of nearby objects,yes,no,no,yes,yes,no,source appears but the expected downstream receiver response is absent
eval_rigid_collision_unseen_unseen_03,rigid_collision,unseen_unseen,one small yellow toy car,four rigid plastic cups standing upright,a tipped contacted object and visible displacement of nearby objects,yes,no,no,yes,yes,no,source appears but the expected downstream receiver response is absent
eval_rigid_collision_unseen_unseen_04,rigid_collision,unseen_unseen,one small blue wooden cube,four empty aluminum cans standing upright,a tipped contacted object and visible displacement of nearby objects,yes,no,no,yes,yes,no,source appears but the expected downstream receiver response is absent
eval_brittle_fracture_seen_seen_00,brittle_fracture,seen_seen,one small wooden mallet,one thin clear glass pane held upright,spreading visible cracks and several separated glass fragments,yes,yes,yes,yes,yes,yes,source-contact-footprint chain visible in temporal order
eval_brittle_fracture_seen_seen_01,brittle_fracture,seen_seen,one small wooden mallet,one empty clear wine glass on a table,spreading visible cracks and several separated glass fragments,yes,yes,yes,yes,yes,yes,source-contact-footprint chain visible in temporal order
eval_brittle_fracture_seen_seen_02,brittle_fracture,seen_seen,one small wooden mallet,one empty clear glass bottle on a table,spreading visible cracks and several separated glass fragments,yes,no,no,yes,yes,no,source appears but the expected downstream receiver response is absent
eval_brittle_fracture_seen_seen_03,brittle_fracture,seen_seen,one small metal hammer,one thin clear glass pane held upright,spreading visible cracks and several separated glass fragments,yes,no,no,yes,yes,no,source appears but the expected downstream receiver response is absent
eval_brittle_fracture_seen_seen_04,brittle_fracture,seen_seen,one small metal hammer,one empty clear wine glass on a table,spreading visible cracks and several separated glass fragments,yes,yes,yes,yes,yes,yes,source-contact-footprint chain visible in temporal order
eval_brittle_fracture_unseen_seen_00,brittle_fracture,unseen_seen,one smooth gray stone,one thin clear glass pane held upright,spreading visible cracks and several separated glass fragments,yes,yes,yes,yes,yes,yes,source-contact-footprint chain visible in temporal order
eval_brittle_fracture_unseen_seen_01,brittle_fracture,unseen_seen,one smooth gray stone,one empty clear wine glass on a table,spreading visible cracks and several separated glass fragments,yes,yes,yes,yes,yes,yes,source-contact-footprint chain visible in temporal order
eval_brittle_fracture_unseen_seen_02,brittle_fracture,unseen_seen,one smooth gray stone,one empty clear glass bottle on a table,spreading visible cracks and several separated glass fragments,yes,no,no,yes,yes,no,source appears but the expected downstream receiver response is absent
eval_brittle_fracture_unseen_seen_03,brittle_fracture,unseen_seen,one short wooden baton,one thin clear glass pane held upright,spreading visible cracks and several separated glass fragments,yes,no,no,yes,yes,no,source appears but the expected downstream receiver response is absent
eval_brittle_fracture_unseen_seen_04,brittle_fracture,unseen_seen,one short wooden baton,one empty clear wine glass on a table,spreading visible cracks and several separated glass fragments,yes,yes,yes,yes,yes,yes,source-contact-footprint chain visible in temporal order
eval_brittle_fracture_seen_unseen_00,brittle_fracture,seen_unseen,one small wooden mallet,one empty clear glass bowl on a table,spreading visible cracks and several separated glass fragments,yes,yes,yes,yes,yes,yes,source-contact-footprint chain visible in temporal order
eval_brittle_fracture_seen_unseen_01,brittle_fracture,seen_unseen,one small wooden mallet,one empty clear glass jar on a table,spreading visible cracks and several separated glass fragments,yes,yes,yes,yes,yes,yes,source-contact-footprint chain visible in temporal order
eval_brittle_fracture_seen_unseen_02,brittle_fracture,seen_unseen,one small metal hammer,one empty clear glass bowl on a table,spreading visible cracks and several separated glass fragments,yes,no,no,yes,yes,no,source appears but the expected downstream receiver response is absent
eval_brittle_fracture_seen_unseen_03,brittle_fracture,seen_unseen,one small metal hammer,one empty clear glass jar on a table,spreading visible cracks and several separated glass fragments,yes,no,no,yes,yes,no,source appears but the expected downstream receiver response is absent
eval_brittle_fracture_seen_unseen_04,brittle_fracture,seen_unseen,one polished steel ball,one empty clear glass bowl on a table,spreading visible cracks and several separated glass fragments,yes,yes,yes,yes,yes,yes,source-contact-footprint chain visible in temporal order
eval_brittle_fracture_unseen_unseen_00,brittle_fracture,unseen_unseen,one smooth gray stone,one empty clear glass bowl on a table,spreading visible cracks and several separated glass fragments,yes,yes,yes,yes,yes,yes,source-contact-footprint chain visible in temporal order
eval_brittle_fracture_unseen_unseen_01,brittle_fracture,unseen_unseen,one smooth gray stone,one empty clear glass jar on a table,spreading visible cracks and several separated glass fragments,yes,yes,no,yes,yes,no,footprint begins before a clear source contact or the clean prefix is violated
eval_brittle_fracture_unseen_unseen_02,brittle_fracture,unseen_unseen,one short wooden baton,one empty clear glass bowl on a table,spreading visible cracks and several separated glass fragments,yes,no,no,yes,yes,no,source appears but the expected downstream receiver response is absent
eval_brittle_fracture_unseen_unseen_03,brittle_fracture,unseen_unseen,one short wooden baton,one empty clear glass jar on a table,spreading visible cracks and several separated glass fragments,yes,no,no,yes,yes,no,source appears but the expected downstream receiver response is absent
eval_brittle_fracture_unseen_unseen_04,brittle_fracture,unseen_unseen,one smooth gray stone,one empty clear glass bowl on a table,spreading visible cracks and several separated glass fragments,yes,yes,yes,yes,yes,yes,source-contact-footprint chain visible in temporal order
eval_powder_impact_seen_seen_00,powder_impact,seen_seen,one small red apple,a shallow dark tray filled with white flour,a short powder plume and a visible impact crater,yes,yes,no,yes,yes,no,footprint begins before a clear source contact or the clean prefix is violated
eval_powder_impact_seen_seen_01,powder_impact,seen_seen,one small red apple,a shallow dark tray filled with white cornstarch,a short powder plume and a visible impact crater,yes,no,no,yes,yes,no,source appears but the expected downstream receiver response is absent
eval_powder_impact_seen_seen_02,powder_impact,seen_seen,one small red apple,a shallow dark tray filled with fine dry sand,a short powder plume and a visible impact crater,yes,partial,partial,yes,yes,no,only part of the expected footprint is visible
eval_powder_impact_seen_seen_03,powder_impact,seen_seen,one small wooden cube,a shallow dark tray filled with white flour,a short powder plume and a visible impact crater,yes,yes,yes,yes,yes,yes,source-contact-footprint chain visible in temporal order
eval_powder_impact_seen_seen_04,powder_impact,seen_seen,one small wooden cube,a shallow dark tray filled with white cornstarch,a short powder plume and a visible impact crater,yes,yes,yes,yes,yes,yes,source-contact-footprint chain visible in temporal order
eval_powder_impact_unseen_seen_00,powder_impact,unseen_seen,one smooth gray stone,a shallow dark tray filled with white flour,a short powder plume and a visible impact crater,yes,yes,yes,yes,yes,yes,source-contact-footprint chain visible in temporal order
eval_powder_impact_unseen_seen_01,powder_impact,unseen_seen,one smooth gray stone,a shallow dark tray filled with white cornstarch,a short powder plume and a visible impact crater,yes,yes,no,yes,yes,no,footprint begins before a clear source contact or the clean prefix is violated
eval_powder_impact_unseen_seen_02,powder_impact,unseen_seen,one smooth gray stone,a shallow dark tray filled with fine dry sand,a short powder plume and a visible impact crater,yes,partial,partial,yes,yes,no,only part of the expected footprint is visible
eval_powder_impact_unseen_seen_03,powder_impact,unseen_seen,one small yellow rubber ball,a shallow dark tray filled with white flour,a short powder plume and a visible impact crater,yes,partial,partial,yes,yes,no,only part of the expected footprint is visible
eval_powder_impact_unseen_seen_04,powder_impact,unseen_seen,one small yellow rubber ball,a shallow dark tray filled with white cornstarch,a short powder plume and a visible impact crater,yes,partial,partial,yes,yes,no,only part of the expected footprint is visible
eval_powder_impact_seen_unseen_00,powder_impact,seen_unseen,one small red apple,a shallow dark tray filled with white powdered sugar,a short powder plume and a visible impact crater,yes,partial,partial,yes,yes,no,only part of the expected footprint is visible
eval_powder_impact_seen_unseen_01,powder_impact,seen_unseen,one small red apple,a shallow light-gray tray filled with cocoa powder,a short powder plume and a visible impact crater,yes,no,no,yes,yes,no,source appears but the expected downstream receiver response is absent
eval_powder_impact_seen_unseen_02,powder_impact,seen_unseen,one small wooden cube,a shallow dark tray filled with white powdered sugar,a short powder plume and a visible impact crater,yes,no,no,yes,yes,no,source appears but the expected downstream receiver response is absent
eval_powder_impact_seen_unseen_03,powder_impact,seen_unseen,one small wooden cube,a shallow light-gray tray filled with cocoa powder,a short powder plume and a visible impact crater,yes,no,no,yes,yes,no,source appears but the expected downstream receiver response is absent
eval_powder_impact_seen_unseen_04,powder_impact,seen_unseen,one polished steel ball,a shallow dark tray filled with white powdered sugar,a short powder plume and a visible impact crater,yes,no,no,yes,yes,no,source appears but the expected downstream receiver response is absent
eval_powder_impact_unseen_unseen_00,powder_impact,unseen_unseen,one smooth gray stone,a shallow dark tray filled with white powdered sugar,a short powder plume and a visible impact crater,yes,yes,yes,yes,yes,yes,source-contact-footprint chain visible in temporal order
eval_powder_impact_unseen_unseen_01,powder_impact,unseen_unseen,one smooth gray stone,a shallow light-gray tray filled with cocoa powder,a short powder plume and a visible impact crater,yes,partial,partial,yes,yes,no,only part of the expected footprint is visible
eval_powder_impact_unseen_unseen_02,powder_impact,unseen_unseen,one small yellow rubber ball,a shallow dark tray filled with white powdered sugar,a short powder plume and a visible impact crater,yes,no,no,yes,yes,no,source appears but the expected downstream receiver response is absent
eval_powder_impact_unseen_unseen_03,powder_impact,unseen_unseen,one small yellow rubber ball,a shallow light-gray tray filled with cocoa powder,a short powder plume and a visible impact crater,yes,no,no,yes,yes,no,source appears but the expected downstream receiver response is absent
eval_powder_impact_unseen_unseen_04,powder_impact,unseen_unseen,one smooth gray stone,a shallow dark tray filled with white powdered sugar,a short powder plume and a visible impact crater,yes,yes,yes,yes,yes,yes,source-contact-footprint chain visible in temporal order
