protocol_version,identification_case_index,mechanism,case_id,case_kind,generalization_group,source_membership,prompt_style,footprint_lexicalization,specificity_subtype,seed,included_streams,additional_streams
causal_role_erasure_7m_single_seed_v2,17,water_impact,eval7m_m00_c32,specificity,specificity,augmentation_bank,direct,,same_footprint_alternative_cause,671582407,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,18,water_impact,eval7m_m00_c33,specificity,specificity,augmentation_bank,natural,,same_noun_noncausal,1093605836,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,19,water_impact,eval7m_m00_c34,specificity,specificity,augmentation_bank,natural,,role_swap_or_near_causal,1697768384,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,20,water_impact,eval7m_m00_c36,specificity,specificity,eval_holdout,direct,,same_noun_noncausal,768074469,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,21,water_impact,eval7m_m00_c37,specificity,specificity,eval_holdout,direct,,role_swap_or_near_causal,934158079,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,22,water_impact,eval7m_m00_c40,specificity,specificity,eval_holdout,natural,,role_swap_or_near_causal,1217153239,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,23,water_impact,eval7m_m00_c41,specificity,specificity,eval_holdout,natural,,same_footprint_alternative_cause,1354341603,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,24,brittle_fracture,eval7m_m02_c00,causal,holdout_source_fresh_receiver,eval_holdout,direct,explicit,,1163306933,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,25,brittle_fracture,eval7m_m02_c03,causal,holdout_source_fresh_receiver,eval_holdout,direct,implicit,,633304625,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,26,brittle_fracture,eval7m_m02_c05,causal,holdout_source_fresh_receiver,eval_holdout,natural,explicit,,803231539,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,27,brittle_fracture,eval7m_m02_c06,causal,holdout_source_fresh_receiver,eval_holdout,natural,implicit,,1232515038,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,28,brittle_fracture,eval7m_m02_c09,causal,holdout_source_seen_receiver,eval_holdout,direct,explicit,,1114921629,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,29,brittle_fracture,eval7m_m02_c10,causal,holdout_source_seen_receiver,eval_holdout,direct,implicit,,365934920,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,30,brittle_fracture,eval7m_m02_c12,causal,holdout_source_seen_receiver,eval_holdout,natural,explicit,,1960444063,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,31,brittle_fracture,eval7m_m02_c15,causal,holdout_source_seen_receiver,eval_holdout,natural,implicit,,1934538458,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,32,brittle_fracture,eval7m_m02_c16,causal,seen_source_fresh_receiver,original_training,direct,explicit,,761753839,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,33,brittle_fracture,eval7m_m02_c19,causal,seen_source_fresh_receiver,augmentation_bank,direct,implicit,,1637997178,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,34,brittle_fracture,eval7m_m02_c21,causal,seen_source_fresh_receiver,augmentation_bank,natural,explicit,,1629457908,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,35,brittle_fracture,eval7m_m02_c22,causal,seen_source_fresh_receiver,original_training,natural,implicit,,2100524709,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,36,brittle_fracture,eval7m_m02_c25,specificity,specificity,original_training,direct,,role_swap_or_near_causal,920600905,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,37,brittle_fracture,eval7m_m02_c26,specificity,specificity,original_training,direct,,same_footprint_alternative_cause,1164233199,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,38,brittle_fracture,eval7m_m02_c27,specificity,specificity,original_training,natural,,same_noun_noncausal,1154704435,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,39,brittle_fracture,eval7m_m02_c29,specificity,specificity,original_training,natural,,same_footprint_alternative_cause,748174868,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,40,brittle_fracture,eval7m_m02_c30,specificity,specificity,augmentation_bank,direct,,same_noun_noncausal,512008189,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,41,brittle_fracture,eval7m_m02_c32,specificity,specificity,augmentation_bank,direct,,same_footprint_alternative_cause,486581599,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,42,brittle_fracture,eval7m_m02_c33,specificity,specificity,augmentation_bank,natural,,same_noun_noncausal,2061544456,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,43,brittle_fracture,eval7m_m02_c34,specificity,specificity,augmentation_bank,natural,,role_swap_or_near_causal,1418425711,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,44,brittle_fracture,eval7m_m02_c36,specificity,specificity,eval_holdout,direct,,same_noun_noncausal,1258861799,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,45,brittle_fracture,eval7m_m02_c37,specificity,specificity,eval_holdout,direct,,role_swap_or_near_causal,1825820051,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,46,brittle_fracture,eval7m_m02_c40,specificity,specificity,eval_holdout,natural,,role_swap_or_near_causal,1191610114,"matched_control,V4","generic_paraphrase,bystander_token"
causal_role_erasure_7m_single_seed_v2,47,brittle_fracture,eval7m_m02_c41,specificity,specificity,eval_holdout,natural,,same_footprint_alternative_cause,1232499844,"matched_control,V4","generic_paraphrase,bystander_token"
