scene_id,family,mechanism,receiver_id,receiver,variant,surface_condition,impact_location,causal_footprint,seed_policy,prompt
wdp0023,liquid_surface,surface_flow,liquid_surface_05,a rectangular glass aquarium filled with water,3,"completely still, with the water surface and its nearest edge clearly visible",near the visible inner edge of the water surface,an asymmetric splash forms and curved ripples travel toward the opposite edge,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a rectangular glass aquarium filled with water is completely still, with the water surface and its nearest edge clearly visible. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts near the visible inner edge of the water surface. Only after contact, an asymmetric splash forms and curved ripples travel toward the opposite edge. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdp0024,liquid_surface,surface_flow,liquid_surface_06,a stainless-steel kitchen sink basin filled with water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a stainless-steel kitchen sink basin filled with water is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdp0025,liquid_surface,surface_flow,liquid_surface_06,a stainless-steel kitchen sink basin filled with water,1,"completely still, with a calm level water surface",slightly left of the center of the water surface,a brief impact cavity closes and circular ripples cross the surface,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a stainless-steel kitchen sink basin filled with water is completely still, with a calm level water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly left of the center of the water surface. Only after contact, a brief impact cavity closes and circular ripples cross the surface. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdp0026,liquid_surface,surface_flow,liquid_surface_06,a stainless-steel kitchen sink basin filled with water,2,"completely still, with a shallow motionless water surface",slightly right of center,a low radial splash forms and several shallow ripples expand outward,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a stainless-steel kitchen sink basin filled with water is completely still, with a shallow motionless water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly right of center. Only after contact, a low radial splash forms and several shallow ripples expand outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdp0027,liquid_surface,surface_flow,liquid_surface_06,a stainless-steel kitchen sink basin filled with water,3,"completely still, with the water surface and its nearest edge clearly visible",near the visible inner edge of the water surface,an asymmetric splash forms and curved ripples travel toward the opposite edge,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a stainless-steel kitchen sink basin filled with water is completely still, with the water surface and its nearest edge clearly visible. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts near the visible inner edge of the water surface. Only after contact, an asymmetric splash forms and curved ripples travel toward the opposite edge. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdp0028,liquid_surface,surface_flow,liquid_surface_07,a white enamel washbasin filled with water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a white enamel washbasin filled with water is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdp0029,liquid_surface,surface_flow,liquid_surface_07,a white enamel washbasin filled with water,1,"completely still, with a calm level water surface",slightly left of the center of the water surface,a brief impact cavity closes and circular ripples cross the surface,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a white enamel washbasin filled with water is completely still, with a calm level water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly left of the center of the water surface. Only after contact, a brief impact cavity closes and circular ripples cross the surface. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdp0030,liquid_surface,surface_flow,liquid_surface_07,a white enamel washbasin filled with water,2,"completely still, with a shallow motionless water surface",slightly right of center,a low radial splash forms and several shallow ripples expand outward,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a white enamel washbasin filled with water is completely still, with a shallow motionless water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly right of center. Only after contact, a low radial splash forms and several shallow ripples expand outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdp0031,liquid_surface,surface_flow,liquid_surface_07,a white enamel washbasin filled with water,3,"completely still, with the water surface and its nearest edge clearly visible",near the visible inner edge of the water surface,an asymmetric splash forms and curved ripples travel toward the opposite edge,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a white enamel washbasin filled with water is completely still, with the water surface and its nearest edge clearly visible. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts near the visible inner edge of the water surface. Only after contact, an asymmetric splash forms and curved ripples travel toward the opposite edge. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdp0032,liquid_surface,surface_flow,liquid_surface_08,a round stone birdbath filled with water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a round stone birdbath filled with water is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdp0033,liquid_surface,surface_flow,liquid_surface_08,a round stone birdbath filled with water,1,"completely still, with a calm level water surface",slightly left of the center of the water surface,a brief impact cavity closes and circular ripples cross the surface,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a round stone birdbath filled with water is completely still, with a calm level water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly left of the center of the water surface. Only after contact, a brief impact cavity closes and circular ripples cross the surface. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdp0034,liquid_surface,surface_flow,liquid_surface_08,a round stone birdbath filled with water,2,"completely still, with a shallow motionless water surface",slightly right of center,a low radial splash forms and several shallow ripples expand outward,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a round stone birdbath filled with water is completely still, with a shallow motionless water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly right of center. Only after contact, a low radial splash forms and several shallow ripples expand outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdp0035,liquid_surface,surface_flow,liquid_surface_08,a round stone birdbath filled with water,3,"completely still, with the water surface and its nearest edge clearly visible",near the visible inner edge of the water surface,an asymmetric splash forms and curved ripples travel toward the opposite edge,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a round stone birdbath filled with water is completely still, with the water surface and its nearest edge clearly visible. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts near the visible inner edge of the water surface. Only after contact, an asymmetric splash forms and curved ripples travel toward the opposite edge. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdp0036,liquid_surface,surface_flow,liquid_surface_09,a small garden fountain basin with the pump turned off,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a small garden fountain basin with the pump turned off is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdp0037,liquid_surface,surface_flow,liquid_surface_09,a small garden fountain basin with the pump turned off,1,"completely still, with a calm level water surface",slightly left of the center of the water surface,a brief impact cavity closes and circular ripples cross the surface,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a small garden fountain basin with the pump turned off is completely still, with a calm level water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly left of the center of the water surface. Only after contact, a brief impact cavity closes and circular ripples cross the surface. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdp0038,liquid_surface,surface_flow,liquid_surface_09,a small garden fountain basin with the pump turned off,2,"completely still, with a shallow motionless water surface",slightly right of center,a low radial splash forms and several shallow ripples expand outward,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a small garden fountain basin with the pump turned off is completely still, with a shallow motionless water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly right of center. Only after contact, a low radial splash forms and several shallow ripples expand outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdp0039,liquid_surface,surface_flow,liquid_surface_09,a small garden fountain basin with the pump turned off,3,"completely still, with the water surface and its nearest edge clearly visible",near the visible inner edge of the water surface,an asymmetric splash forms and curved ripples travel toward the opposite edge,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a small garden fountain basin with the pump turned off is completely still, with the water surface and its nearest edge clearly visible. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts near the visible inner edge of the water surface. Only after contact, an asymmetric splash forms and curved ripples travel toward the opposite edge. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdp0040,liquid_surface,surface_flow,liquid_surface_10,a laboratory beaker filled with clear water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a laboratory beaker filled with clear water is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdp0041,liquid_surface,surface_flow,liquid_surface_10,a laboratory beaker filled with clear water,1,"completely still, with a calm level water surface",slightly left of the center of the water surface,a brief impact cavity closes and circular ripples cross the surface,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a laboratory beaker filled with clear water is completely still, with a calm level water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly left of the center of the water surface. Only after contact, a brief impact cavity closes and circular ripples cross the surface. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdp0042,liquid_surface,surface_flow,liquid_surface_10,a laboratory beaker filled with clear water,2,"completely still, with a shallow motionless water surface",slightly right of center,a low radial splash forms and several shallow ripples expand outward,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a laboratory beaker filled with clear water is completely still, with a shallow motionless water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly right of center. Only after contact, a low radial splash forms and several shallow ripples expand outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdp0043,liquid_surface,surface_flow,liquid_surface_10,a laboratory beaker filled with clear water,3,"completely still, with the water surface and its nearest edge clearly visible",near the visible inner edge of the water surface,an asymmetric splash forms and curved ripples travel toward the opposite edge,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a laboratory beaker filled with clear water is completely still, with the water surface and its nearest edge clearly visible. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts near the visible inner edge of the water surface. Only after contact, an asymmetric splash forms and curved ripples travel toward the opposite edge. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdp0044,liquid_surface,surface_flow,liquid_surface_11,a transparent measuring jug filled with water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a transparent measuring jug filled with water is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdp0045,liquid_surface,surface_flow,liquid_surface_11,a transparent measuring jug filled with water,1,"completely still, with a calm level water surface",slightly left of the center of the water surface,a brief impact cavity closes and circular ripples cross the surface,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a transparent measuring jug filled with water is completely still, with a calm level water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly left of the center of the water surface. Only after contact, a brief impact cavity closes and circular ripples cross the surface. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
