scene_id,train_group_id,receiver_id,receiver,condition,prompt,generated_video,desired_target_video,training_role,training_objective,residual_mask_enabled,residual_mask_factual_video,residual_mask_target_video,reference_end_exclusive,pair_contact_sheet,semantic_status,generated_condition_pass
wdtrain02_target_only,wdtrain02,hard_surface_06,granite countertop,target_only,"A realistic locked-camera macro video of a granite countertop in one continuous shot. Exactly one compact clear water bead is already resting at the center in the first frame and remains in the same place throughout. The surrounding surface stays dry. No falling water, impact, splash, wet patch, ring, trail, or spreading occurs. Nothing else changes.",outputs/waterdrop_train_pilot40_wan/shard_1/videos/002_a-realistic-locked-camera-macro-video-of-a-granite-countertop-in-one-con_seed9600.mp4,outputs/waterdrop_train_pilot40_aligned/wdtrain02/counterfactual_static.mp4,erase,counterfactual_noise_prediction,no,,,2,outputs/waterdrop_train_pilot40_aligned/wdtrain02/factual_counterfactual_contact_sheet.jpg,manual_sft_usable,yes
wdtrain02_unrelated_footprint,wdtrain02,hard_surface_06,granite countertop,unrelated_footprint,"A realistic locked-camera macro video of a granite countertop in one continuous shot. A clearly visible a thin white chalk circle is already centered on the otherwise clean dry surface and remains unchanged throughout. It is a dry solid marking, not water. No water, droplet, wet patch, splash, or ripple appears. The camera, receiver, marking, lighting, and background remain fixed.",outputs/waterdrop_train_pilot40_wan/shard_2/videos/002_a-realistic-locked-camera-macro-video-of-a-granite-countertop-in-one-con_seed9600.mp4,outputs/waterdrop_train_pilot40_wan/shard_2/videos/002_a-realistic-locked-camera-macro-video-of-a-granite-countertop-in-one-con_seed9600.mp4,preserve,frozen_base_distillation,no,,,2,outputs/waterdrop_train_pilot40_aligned/wdtrain02/factual_counterfactual_contact_sheet.jpg,manual_sft_usable,yes
wdtrain04_clean_control,wdtrain04,hard_surface_09,polished concrete slab,clean_control,"A realistic locked-camera macro video of a polished concrete slab in one continuous shot. The surface is completely empty, clean, and dry in every frame. No water, droplet, wet mark, ring, splash, object, person, shadow movement, or lighting change appears. The camera, receiver, texture, and background remain fixed throughout.",outputs/waterdrop_train_pilot40_wan/shard_3/videos/004_a-realistic-locked-camera-macro-video-of-a-polished-concrete-slab-in-one_seed9600.mp4,outputs/waterdrop_train_pilot40_wan/shard_3/videos/004_a-realistic-locked-camera-macro-video-of-a-polished-concrete-slab-in-one_seed9600.mp4,preserve,frozen_base_distillation,no,,,10,outputs/waterdrop_train_pilot40_aligned/wdtrain04/factual_counterfactual_contact_sheet.jpg,manual_sft_usable,yes
wdtrain04_explicit_causal,wdtrain04,hard_surface_09,polished concrete slab,explicit_causal,"A realistic locked-camera macro video of a polished concrete slab in one continuous shot. The clean dry surface is still for the first two seconds. Then exactly one clear water droplet falls from above, strikes the center, and visibly creates a compact circular wet patch and several tiny radial splash marks. The bead and its wet causal footprint remain visible. No other object enters. The camera, receiver, lighting, and background remain fixed.",outputs/waterdrop_train_pilot40_wan/shard_0/videos/004_a-realistic-locked-camera-macro-video-of-a-polished-concrete-slab-in-one_seed9600.mp4,outputs/waterdrop_train_pilot40_aligned/wdtrain04/counterfactual_static.mp4,erase,counterfactual_noise_prediction,yes,outputs/waterdrop_train_pilot40_wan/shard_0/videos/004_a-realistic-locked-camera-macro-video-of-a-polished-concrete-slab-in-one_seed9600.mp4,outputs/waterdrop_train_pilot40_aligned/wdtrain04/counterfactual_static.mp4,10,outputs/waterdrop_train_pilot40_aligned/wdtrain04/factual_counterfactual_contact_sheet.jpg,manual_sft_usable,yes
wdtrain04_target_only,wdtrain04,hard_surface_09,polished concrete slab,target_only,"A realistic locked-camera macro video of a polished concrete slab in one continuous shot. Exactly one compact clear water bead is already resting at the center in the first frame and remains in the same place throughout. The surrounding surface stays dry. No falling water, impact, splash, wet patch, ring, trail, or spreading occurs. Nothing else changes.",outputs/waterdrop_train_pilot40_wan/shard_1/videos/004_a-realistic-locked-camera-macro-video-of-a-polished-concrete-slab-in-one_seed9600.mp4,outputs/waterdrop_train_pilot40_aligned/wdtrain04/counterfactual_static.mp4,erase,counterfactual_noise_prediction,no,,,10,outputs/waterdrop_train_pilot40_aligned/wdtrain04/factual_counterfactual_contact_sheet.jpg,manual_sft_usable,no
wdtrain04_unrelated_footprint,wdtrain04,hard_surface_09,polished concrete slab,unrelated_footprint,"A realistic locked-camera macro video of a polished concrete slab in one continuous shot. A clearly visible a thin white chalk circle is already centered on the otherwise clean dry surface and remains unchanged throughout. It is a dry solid marking, not water. No water, droplet, wet patch, splash, or ripple appears. The camera, receiver, marking, lighting, and background remain fixed.",outputs/waterdrop_train_pilot40_wan/shard_2/videos/004_a-realistic-locked-camera-macro-video-of-a-polished-concrete-slab-in-one_seed9600.mp4,outputs/waterdrop_train_pilot40_wan/shard_2/videos/004_a-realistic-locked-camera-macro-video-of-a-polished-concrete-slab-in-one_seed9600.mp4,preserve,frozen_base_distillation,no,,,10,outputs/waterdrop_train_pilot40_aligned/wdtrain04/factual_counterfactual_contact_sheet.jpg,manual_sft_usable,yes
wdtrain05_clean_control,wdtrain05,hard_surface_10,smooth epoxy floor sample,clean_control,"A realistic locked-camera macro video of a smooth epoxy floor sample in one continuous shot. The surface is completely empty, clean, and dry in every frame. No water, droplet, wet mark, ring, splash, object, person, shadow movement, or lighting change appears. The camera, receiver, texture, and background remain fixed throughout.",outputs/waterdrop_train_pilot40_wan/shard_3/videos/005_a-realistic-locked-camera-macro-video-of-a-smooth-epoxy-floor-sample-in_seed9600.mp4,outputs/waterdrop_train_pilot40_wan/shard_3/videos/005_a-realistic-locked-camera-macro-video-of-a-smooth-epoxy-floor-sample-in_seed9600.mp4,preserve,frozen_base_distillation,no,,,16,outputs/waterdrop_train_pilot40_aligned/wdtrain05/factual_counterfactual_contact_sheet.jpg,manual_sft_usable,yes
wdtrain05_explicit_causal,wdtrain05,hard_surface_10,smooth epoxy floor sample,explicit_causal,"A realistic locked-camera macro video of a smooth epoxy floor sample in one continuous shot. The clean dry surface is still for the first two seconds. Then exactly one clear water droplet falls from above, strikes the center, and visibly creates a small wet ring and a few short outward splash streaks. The bead and its wet causal footprint remain visible. No other object enters. The camera, receiver, lighting, and background remain fixed.",outputs/waterdrop_train_pilot40_wan/shard_0/videos/005_a-realistic-locked-camera-macro-video-of-a-smooth-epoxy-floor-sample-in_seed9600.mp4,outputs/waterdrop_train_pilot40_aligned/wdtrain05/counterfactual_static.mp4,erase,counterfactual_noise_prediction,yes,outputs/waterdrop_train_pilot40_wan/shard_0/videos/005_a-realistic-locked-camera-macro-video-of-a-smooth-epoxy-floor-sample-in_seed9600.mp4,outputs/waterdrop_train_pilot40_aligned/wdtrain05/counterfactual_static.mp4,16,outputs/waterdrop_train_pilot40_aligned/wdtrain05/factual_counterfactual_contact_sheet.jpg,manual_sft_usable,yes
wdtrain05_target_only,wdtrain05,hard_surface_10,smooth epoxy floor sample,target_only,"A realistic locked-camera macro video of a smooth epoxy floor sample in one continuous shot. Exactly one compact clear water bead is already resting at the center in the first frame and remains in the same place throughout. The surrounding surface stays dry. No falling water, impact, splash, wet patch, ring, trail, or spreading occurs. Nothing else changes.",outputs/waterdrop_train_pilot40_wan/shard_1/videos/005_a-realistic-locked-camera-macro-video-of-a-smooth-epoxy-floor-sample-in_seed9600.mp4,outputs/waterdrop_train_pilot40_aligned/wdtrain05/counterfactual_static.mp4,erase,counterfactual_noise_prediction,no,,,16,outputs/waterdrop_train_pilot40_aligned/wdtrain05/factual_counterfactual_contact_sheet.jpg,manual_sft_usable,no
wdtrain05_unrelated_footprint,wdtrain05,hard_surface_10,smooth epoxy floor sample,unrelated_footprint,"A realistic locked-camera macro video of a smooth epoxy floor sample in one continuous shot. A clearly visible a small ring made of fine pale sand grains is already centered on the otherwise clean dry surface and remains unchanged throughout. It is a dry solid marking, not water. No water, droplet, wet patch, splash, or ripple appears. The camera, receiver, marking, lighting, and background remain fixed.",outputs/waterdrop_train_pilot40_wan/shard_2/videos/005_a-realistic-locked-camera-macro-video-of-a-smooth-epoxy-floor-sample-in_seed9600.mp4,outputs/waterdrop_train_pilot40_wan/shard_2/videos/005_a-realistic-locked-camera-macro-video-of-a-smooth-epoxy-floor-sample-in_seed9600.mp4,preserve,frozen_base_distillation,no,,,16,outputs/waterdrop_train_pilot40_aligned/wdtrain05/factual_counterfactual_contact_sheet.jpg,manual_sft_usable,yes
wdtrain06_clean_control,wdtrain06,hard_surface_15,brushed aluminum sheet,clean_control,"A realistic locked-camera macro video of a brushed aluminum sheet in one continuous shot. The surface is completely empty, clean, and dry in every frame. No water, droplet, wet mark, ring, splash, object, person, shadow movement, or lighting change appears. The camera, receiver, texture, and background remain fixed throughout.",outputs/waterdrop_train_pilot40_wan/shard_3/videos/006_a-realistic-locked-camera-macro-video-of-a-brushed-aluminum-sheet-in-one_seed9600.mp4,outputs/waterdrop_train_pilot40_wan/shard_3/videos/006_a-realistic-locked-camera-macro-video-of-a-brushed-aluminum-sheet-in-one_seed9600.mp4,preserve,frozen_base_distillation,no,,,10,outputs/waterdrop_train_pilot40_aligned/wdtrain06/factual_counterfactual_contact_sheet.jpg,manual_sft_usable,yes
wdtrain06_explicit_causal,wdtrain06,hard_surface_15,brushed aluminum sheet,explicit_causal,"A realistic locked-camera macro video of a brushed aluminum sheet in one continuous shot. The clean dry surface is still for the first two seconds. Then exactly one clear water droplet falls from above, strikes the center, and visibly creates a compact circular wet patch and several tiny radial splash marks. The bead and its wet causal footprint remain visible. No other object enters. The camera, receiver, lighting, and background remain fixed.",outputs/waterdrop_train_pilot40_wan/shard_0/videos/006_a-realistic-locked-camera-macro-video-of-a-brushed-aluminum-sheet-in-one_seed9600.mp4,outputs/waterdrop_train_pilot40_aligned/wdtrain06/counterfactual_static.mp4,erase,counterfactual_noise_prediction,yes,outputs/waterdrop_train_pilot40_wan/shard_0/videos/006_a-realistic-locked-camera-macro-video-of-a-brushed-aluminum-sheet-in-one_seed9600.mp4,outputs/waterdrop_train_pilot40_aligned/wdtrain06/counterfactual_static.mp4,10,outputs/waterdrop_train_pilot40_aligned/wdtrain06/factual_counterfactual_contact_sheet.jpg,manual_sft_usable,yes
wdtrain06_target_only,wdtrain06,hard_surface_15,brushed aluminum sheet,target_only,"A realistic locked-camera macro video of a brushed aluminum sheet in one continuous shot. Exactly one compact clear water bead is already resting at the center in the first frame and remains in the same place throughout. The surrounding surface stays dry. No falling water, impact, splash, wet patch, ring, trail, or spreading occurs. Nothing else changes.",outputs/waterdrop_train_pilot40_wan/shard_1/videos/006_a-realistic-locked-camera-macro-video-of-a-brushed-aluminum-sheet-in-one_seed9600.mp4,outputs/waterdrop_train_pilot40_aligned/wdtrain06/counterfactual_static.mp4,erase,counterfactual_noise_prediction,no,,,10,outputs/waterdrop_train_pilot40_aligned/wdtrain06/factual_counterfactual_contact_sheet.jpg,manual_sft_usable,yes
wdtrain06_unrelated_footprint,wdtrain06,hard_surface_15,brushed aluminum sheet,unrelated_footprint,"A realistic locked-camera macro video of a brushed aluminum sheet in one continuous shot. A clearly visible a thin white chalk circle is already centered on the otherwise clean dry surface and remains unchanged throughout. It is a dry solid marking, not water. No water, droplet, wet patch, splash, or ripple appears. The camera, receiver, marking, lighting, and background remain fixed.",outputs/waterdrop_train_pilot40_wan/shard_2/videos/006_a-realistic-locked-camera-macro-video-of-a-brushed-aluminum-sheet-in-one_seed9600.mp4,outputs/waterdrop_train_pilot40_wan/shard_2/videos/006_a-realistic-locked-camera-macro-video-of-a-brushed-aluminum-sheet-in-one_seed9600.mp4,preserve,frozen_base_distillation,no,,,10,outputs/waterdrop_train_pilot40_aligned/wdtrain06/factual_counterfactual_contact_sheet.jpg,manual_sft_usable,yes
wdtrain08_clean_control,wdtrain08,hard_surface_20,black nonstick baking tray,clean_control,"A realistic locked-camera macro video of a black nonstick baking tray in one continuous shot. The surface is completely empty, clean, and dry in every frame. No water, droplet, wet mark, ring, splash, object, person, shadow movement, or lighting change appears. The camera, receiver, texture, and background remain fixed throughout.",outputs/waterdrop_train_pilot40_wan/shard_3/videos/008_a-realistic-locked-camera-macro-video-of-a-black-nonstick-baking-tray-in_seed9600.mp4,outputs/waterdrop_train_pilot40_wan/shard_3/videos/008_a-realistic-locked-camera-macro-video-of-a-black-nonstick-baking-tray-in_seed9600.mp4,preserve,frozen_base_distillation,no,,,2,outputs/waterdrop_train_pilot40_aligned/wdtrain08/factual_counterfactual_contact_sheet.jpg,manual_sft_usable,yes
wdtrain08_explicit_causal,wdtrain08,hard_surface_20,black nonstick baking tray,explicit_causal,"A realistic locked-camera macro video of a black nonstick baking tray in one continuous shot. The clean dry surface is still for the first two seconds. Then exactly one clear water droplet falls from above, strikes the center, and visibly creates a compact circular wet patch and several tiny radial splash marks. The bead and its wet causal footprint remain visible. No other object enters. The camera, receiver, lighting, and background remain fixed.",outputs/waterdrop_train_pilot40_wan/shard_0/videos/008_a-realistic-locked-camera-macro-video-of-a-black-nonstick-baking-tray-in_seed9600.mp4,outputs/waterdrop_train_pilot40_aligned/wdtrain08/counterfactual_static.mp4,erase,counterfactual_noise_prediction,yes,outputs/waterdrop_train_pilot40_wan/shard_0/videos/008_a-realistic-locked-camera-macro-video-of-a-black-nonstick-baking-tray-in_seed9600.mp4,outputs/waterdrop_train_pilot40_aligned/wdtrain08/counterfactual_static.mp4,2,outputs/waterdrop_train_pilot40_aligned/wdtrain08/factual_counterfactual_contact_sheet.jpg,manual_sft_usable,yes
wdtrain08_target_only,wdtrain08,hard_surface_20,black nonstick baking tray,target_only,"A realistic locked-camera macro video of a black nonstick baking tray in one continuous shot. Exactly one compact clear water bead is already resting at the center in the first frame and remains in the same place throughout. The surrounding surface stays dry. No falling water, impact, splash, wet patch, ring, trail, or spreading occurs. Nothing else changes.",outputs/waterdrop_train_pilot40_wan/shard_1/videos/008_a-realistic-locked-camera-macro-video-of-a-black-nonstick-baking-tray-in_seed9600.mp4,outputs/waterdrop_train_pilot40_aligned/wdtrain08/counterfactual_static.mp4,erase,counterfactual_noise_prediction,no,,,2,outputs/waterdrop_train_pilot40_aligned/wdtrain08/factual_counterfactual_contact_sheet.jpg,manual_sft_usable,no
wdtrain08_unrelated_footprint,wdtrain08,hard_surface_20,black nonstick baking tray,unrelated_footprint,"A realistic locked-camera macro video of a black nonstick baking tray in one continuous shot. A clearly visible a thin white chalk circle is already centered on the otherwise clean dry surface and remains unchanged throughout. It is a dry solid marking, not water. No water, droplet, wet patch, splash, or ripple appears. The camera, receiver, marking, lighting, and background remain fixed.",outputs/waterdrop_train_pilot40_wan/shard_2/videos/008_a-realistic-locked-camera-macro-video-of-a-black-nonstick-baking-tray-in_seed9600.mp4,outputs/waterdrop_train_pilot40_wan/shard_2/videos/008_a-realistic-locked-camera-macro-video-of-a-black-nonstick-baking-tray-in_seed9600.mp4,preserve,frozen_base_distillation,no,,,2,outputs/waterdrop_train_pilot40_aligned/wdtrain08/factual_counterfactual_contact_sheet.jpg,manual_sft_usable,yes
