scene_id,source_scene_id,receiver_id,family,receiver,prompt_variant,condition,split,expected_base_target,expected_base_footprint,expected_erased_target,expected_erased_footprint,erase_instruction,fixed_seed,shard,shard_index,video_path,frame_count,fps,estimated_clean_end_exclusive,clean_prefix_max_mae_255,peak_frame0_mae_255,peak_changed_fraction,final_changed_fraction,auto_status,contact_sheet,error
wdreplenish026,wdsimple0242,hard_surface_46,hard_surface,polished jade slab,0,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,2,4,outputs/waterdrop_target_only_replenish30_wan/shard_2/videos/004_a-locked-off-scientific-still-life-recording-not-an-action-scene-before_seed9300.mp4,49,8.0,1,nan,7.057386818910256,0.10305488782051282,0.10291153345352566,reject_no_clean_prefix,outputs/waterdrop_target_only_replenish30_auto_contact_sheets/wdreplenish026_hard_surface_shard2_004.jpg,
wdreplenish003,wdsimple0164,hard_surface_07,hard_surface,white quartz countertop,1,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,3,0,outputs/waterdrop_target_only_replenish30_wan/shard_3/videos/000_a-static-product-shot-video-with-a-fixed-macro-camera-absolutely-nothing_seed9300.mp4,49,8.0,7,0.8391167534722221,1.1857371794871794,0.009705528846153846,0.009457006209935899,candidate,outputs/waterdrop_target_only_replenish30_auto_contact_sheets/wdreplenish003_hard_surface_shard3_000.jpg,
wdreplenish009,wdsimple0184,hard_surface_17,hard_surface,polished brass plate,1,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,3,1,outputs/waterdrop_target_only_replenish30_wan/shard_3/videos/001_a-static-product-shot-video-with-a-fixed-macro-camera-absolutely-nothing_seed9300.mp4,49,8.0,26,1.4690938835470086,2.272985944177351,0.015482271634615385,0.014865660056089743,candidate,outputs/waterdrop_target_only_replenish30_auto_contact_sheets/wdreplenish009_hard_surface_shard3_001.jpg,
wdreplenish015,wdsimple0214,hard_surface_32,hard_surface,glazed pottery lid,1,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,3,2,outputs/waterdrop_target_only_replenish30_wan/shard_3/videos/002_a-static-product-shot-video-with-a-fixed-macro-camera-absolutely-nothing_seed9300.mp4,49,8.0,1,nan,3.1706413595085468,0.02569861778846154,0.02552646734775641,reject_no_clean_prefix,outputs/waterdrop_target_only_replenish30_auto_contact_sheets/wdreplenish015_hard_surface_shard3_002.jpg,
wdreplenish021,wdsimple0226,hard_surface_38,hard_surface,porcelain bathtub ledge,1,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,3,3,outputs/waterdrop_target_only_replenish30_wan/shard_3/videos/003_a-static-product-shot-video-with-a-fixed-macro-camera-absolutely-nothing_seed9300.mp4,49,8.0,6,0.6507353432158121,1.4578342013888888,0.011388221153846153,0.010332156450320514,candidate,outputs/waterdrop_target_only_replenish30_auto_contact_sheets/wdreplenish021_hard_surface_shard3_003.jpg,
wdreplenish027,wdsimple0242,hard_surface_46,hard_surface,polished jade slab,1,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,3,4,outputs/waterdrop_target_only_replenish30_wan/shard_3/videos/004_a-static-product-shot-video-with-a-fixed-macro-camera-absolutely-nothing_seed9300.mp4,49,8.0,1,nan,7.022328225160257,0.09542267628205128,0.09314027443910257,reject_no_clean_prefix,outputs/waterdrop_target_only_replenish30_auto_contact_sheets/wdreplenish027_hard_surface_shard3_004.jpg,
wdreplenish004,wdsimple0174,hard_surface_12,hard_surface,porcelain sink ledge,0,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,4,0,outputs/waterdrop_target_only_replenish30_wan/shard_4/videos/000_a-locked-off-scientific-still-life-recording-not-an-action-scene-before_seed9300.mp4,49,8.0,3,0.4722422542735043,1.710333199786325,0.01731270032051282,0.016278545673076922,review_short_prefix,outputs/waterdrop_target_only_replenish30_auto_contact_sheets/wdreplenish004_hard_surface_shard4_000.jpg,
wdreplenish010,wdsimple0198,hard_surface_24,hard_surface,rigid white PVC board,0,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,4,1,outputs/waterdrop_target_only_replenish30_wan/shard_4/videos/001_a-locked-off-scientific-still-life-recording-not-an-action-scene-before_seed9300.mp4,49,8.0,1,nan,3.4329151642628206,0.04788661858974359,0.04322290665064102,reject_no_clean_prefix,outputs/waterdrop_target_only_replenish30_auto_contact_sheets/wdreplenish010_hard_surface_shard4_001.jpg,
wdreplenish016,wdsimple0218,hard_surface_34,hard_surface,glazed ceramic coaster,0,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,4,2,outputs/waterdrop_target_only_replenish30_wan/shard_4/videos/002_a-locked-off-scientific-still-life-recording-not-an-action-scene-before_seed9300.mp4,49,8.0,39,1.125818810096154,1.955129874465812,0.016431290064102565,0.013629932892628207,candidate,outputs/waterdrop_target_only_replenish30_auto_contact_sheets/wdreplenish016_hard_surface_shard4_002.jpg,
wdreplenish022,wdsimple0228,hard_surface_39,hard_surface,flat section of a painted car hood,0,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,4,3,outputs/waterdrop_target_only_replenish30_wan/shard_4/videos/003_a-locked-off-scientific-still-life-recording-not-an-action-scene-before_seed9300.mp4,49,8.0,3,0.6970002003205128,1.493144030448718,0.00873397435897436,0.008708934294871795,review_short_prefix,outputs/waterdrop_target_only_replenish30_auto_contact_sheets/wdreplenish022_hard_surface_shard4_003.jpg,
wdreplenish028,wdsimple0246,hard_surface_48,hard_surface,glazed porcelain floor tile,0,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,4,4,outputs/waterdrop_target_only_replenish30_wan/shard_4/videos/004_a-locked-off-scientific-still-life-recording-not-an-action-scene-before_seed9300.mp4,49,8.0,1,nan,2.624298043536325,0.02494491185897436,0.02405724158653846,reject_no_clean_prefix,outputs/waterdrop_target_only_replenish30_auto_contact_sheets/wdreplenish028_hard_surface_shard4_004.jpg,
wdreplenish005,wdsimple0174,hard_surface_12,hard_surface,porcelain sink ledge,1,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,5,0,outputs/waterdrop_target_only_replenish30_wan/shard_5/videos/000_a-static-product-shot-video-with-a-fixed-macro-camera-absolutely-nothing_seed9300.mp4,49,8.0,3,0.4916508079594017,1.6179737580128206,0.01714493189102564,0.016006860977564104,review_short_prefix,outputs/waterdrop_target_only_replenish30_auto_contact_sheets/wdreplenish005_hard_surface_shard5_000.jpg,
wdreplenish011,wdsimple0198,hard_surface_24,hard_surface,rigid white PVC board,1,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,5,1,outputs/waterdrop_target_only_replenish30_wan/shard_5/videos/001_a-static-product-shot-video-with-a-fixed-macro-camera-absolutely-nothing_seed9300.mp4,49,8.0,2,0.5757236578525641,1.2549629407051284,0.010857371794871794,0.009888947315705127,review_short_prefix,outputs/waterdrop_target_only_replenish30_auto_contact_sheets/wdreplenish011_hard_surface_shard5_001.jpg,
wdreplenish017,wdsimple0218,hard_surface_34,hard_surface,glazed ceramic coaster,1,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,5,2,outputs/waterdrop_target_only_replenish30_wan/shard_5/videos/002_a-static-product-shot-video-with-a-fixed-macro-camera-absolutely-nothing_seed9300.mp4,49,8.0,1,nan,2.643673210470086,0.032339242788461536,0.0323154547275641,reject_no_clean_prefix,outputs/waterdrop_target_only_replenish30_auto_contact_sheets/wdreplenish017_hard_surface_shard5_002.jpg,
wdreplenish023,wdsimple0228,hard_surface_39,hard_surface,flat section of a painted car hood,1,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,5,3,outputs/waterdrop_target_only_replenish30_wan/shard_5/videos/003_a-static-product-shot-video-with-a-fixed-macro-camera-absolutely-nothing_seed9300.mp4,49,8.0,39,1.2931181557158118,1.4054136618589743,0.003483072916666667,0.003026717748397436,candidate,outputs/waterdrop_target_only_replenish30_auto_contact_sheets/wdreplenish023_hard_surface_shard5_003.jpg,
wdreplenish029,wdsimple0246,hard_surface_48,hard_surface,glazed porcelain floor tile,1,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,5,4,outputs/waterdrop_target_only_replenish30_wan/shard_5/videos/004_a-static-product-shot-video-with-a-fixed-macro-camera-absolutely-nothing_seed9300.mp4,49,8.0,1,nan,2.3601437299679486,0.023875701121794872,0.023009940905448716,reject_no_clean_prefix,outputs/waterdrop_target_only_replenish30_auto_contact_sheets/wdreplenish029_hard_surface_shard5_004.jpg,
