scene_id,source_scene_id,family,receiver,variant,shard,shard_index,fixed_seed
wdsimple0020,wdp0026,liquid_surface,a stainless-steel kitchen sink basin filled with water,2,2,3,9000
wdsimple0026,wdp0034,liquid_surface,a round stone birdbath filled with water,2,2,4,9000
wdsimple0032,wdp0042,liquid_surface,a laboratory beaker filled with clear water,2,2,5,9000
wdsimple0038,wdp0050,liquid_surface,a stainless-steel saucepan filled with water,2,2,6,9000
wdsimple0044,wdp0058,liquid_surface,a porcelain soup bowl filled with water,2,2,7,9000
wdsimple0050,wdp0066,liquid_surface,a clear stemmed wine glass filled with water,2,2,8,9000
wdsimple0056,wdp0074,liquid_surface,a wide-mouth mason jar filled with water,2,2,9,9000
wdsimple0062,wdp0082,liquid_surface,a wide porcelain basin filled with water,2,2,10,9000
wdsimple0068,wdp0090,liquid_surface,a shallow white shower tray holding a thin layer of water,2,2,11,9000
wdsimple0074,wdp0098,liquid_surface,an open metal pail filled with water,2,2,12,9000
wdsimple0080,wdp0106,liquid_surface,one compartment of a white ice-cube tray filled with water,2,2,13,9000
wdsimple0086,wdp0114,liquid_surface,a carved granite basin filled with water,2,2,14,9000
wdsimple0092,wdp0122,liquid_surface,a polished brass bowl filled with water,2,2,15,9000
wdsimple0098,wdp0130,liquid_surface,a rectangular glass baking dish filled with water,2,2,16,9000
wdsimple0104,wdp0138,liquid_surface,a shallow laboratory glass tray filled with water,2,2,17,9000
wdsimple0110,wdp0146,liquid_surface,a black stone bowl filled with water,2,2,18,9000
wdsimple0116,wdp0154,liquid_surface,a clean coconut-shell cup filled with water,2,2,19,9000
wdsimple0122,wdp0162,liquid_surface,a natural rock depression holding rainwater,2,2,20,9000
wdsimple0128,wdp0170,liquid_surface,a laboratory petri dish filled with water,2,2,21,9000
wdsimple0134,wdp0178,liquid_surface,a shallow puddle on a microscope glass slide,2,2,22,9000
wdsimple0140,wdp0186,liquid_surface,a rain-filled road pothole,2,2,23,9000
wdsimple0146,wdp0194,liquid_surface,a still indoor decorative pool,2,2,24,9000
wdsimple0152,wdp0205,hard_surface,stainless-steel tray,0,2,25,9000
wdsimple0158,wdp0220,hard_surface,plain white ceramic plate,0,2,26,9000
wdsimple0164,wdp0235,hard_surface,white quartz countertop,0,2,27,9000
wdsimple0170,wdp0250,hard_surface,smooth epoxy floor sample,0,2,28,9000
wdsimple0176,wdp0265,hard_surface,white enamel stove surface,0,2,29,9000
wdsimple0182,wdp0280,hard_surface,polished copper plate,0,2,30,9000
wdsimple0188,wdp0295,hard_surface,flat cast-iron griddle,0,2,31,9000
wdsimple0194,wdp0310,hard_surface,clear acrylic sheet,0,2,32,9000
wdsimple0200,wdp0325,hard_surface,sealed hardwood tabletop,0,2,33,9000
wdsimple0206,wdp0340,hard_surface,painted metal cabinet top,0,2,34,9000
wdsimple0212,wdp0355,hard_surface,glazed brick,0,2,35,9000
wdsimple0218,wdp0370,hard_surface,glazed ceramic coaster,0,2,36,9000
wdsimple0224,wdp0385,hard_surface,rigid plastic cafeteria tray,0,2,37,9000
wdsimple0230,wdp0400,hard_surface,flat smartphone glass screen,0,2,38,9000
wdsimple0236,wdp0415,hard_surface,laboratory resin worktop,0,2,39,9000
wdsimple0242,wdp0430,hard_surface,polished jade slab,0,2,40,9000
wdsimple0248,wdp0445,hard_surface,sealed concrete paver,0,2,41,9000
wdsimple0003,wdp0004,liquid_surface,a transparent glass mixing bowl filled with water,0,3,0,9000
wdsimple0009,wdp0012,liquid_surface,a clean metal bucket filled with water,0,3,1,9000
wdsimple0015,wdp0020,liquid_surface,a rectangular glass aquarium filled with water,0,3,2,9000
wdsimple0021,wdp0028,liquid_surface,a white enamel washbasin filled with water,0,3,3,9000
wdsimple0027,wdp0036,liquid_surface,a small garden fountain basin with the pump turned off,0,3,4,9000
wdsimple0033,wdp0044,liquid_surface,a transparent measuring jug filled with water,0,3,5,9000
wdsimple0039,wdp0052,liquid_surface,a black cooking pot filled with water,0,3,6,9000
wdsimple0045,wdp0060,liquid_surface,a small porcelain teacup filled with water,0,3,7,9000
wdsimple0051,wdp0068,liquid_surface,a plain glass tumbler filled with water,0,3,8,9000
wdsimple0057,wdp0076,liquid_surface,a short glass flower vase filled with water,0,3,9,9000
wdsimple0063,wdp0084,liquid_surface,a white bathtub filled with still water,0,3,10,9000
wdsimple0069,wdp0092,liquid_surface,an open rain barrel filled with water,0,3,11,9000
wdsimple0075,wdp0100,liquid_surface,a blue plastic storage tub filled with water,0,3,12,9000
wdsimple0081,wdp0108,liquid_surface,a stainless-steel pet water bowl,0,3,13,9000
wdsimple0087,wdp0116,liquid_surface,a polished copper bowl filled with water,0,3,14,9000
wdsimple0093,wdp0124,liquid_surface,a shallow aluminum pan filled with water,0,3,15,9000
wdsimple0099,wdp0132,liquid_surface,a clear acrylic tank filled with water,0,3,16,9000
wdsimple0105,wdp0140,liquid_surface,a glazed ceramic baking dish filled with water,0,3,17,9000
wdsimple0111,wdp0148,liquid_surface,a sealed wooden bowl filled with water,0,3,18,9000
wdsimple0117,wdp0156,liquid_surface,a large seashell holding a pool of water,0,3,19,9000
wdsimple0123,wdp0164,liquid_surface,a leaf-shaped ceramic dish filled with water,0,3,20,9000
wdsimple0129,wdp0172,liquid_surface,a concave laboratory watch glass holding water,0,3,21,9000
wdsimple0135,wdp0180,liquid_surface,a rooftop puddle on a flat membrane surface,0,3,22,9000
wdsimple0141,wdp0188,liquid_surface,a shallow puddle on a flat stone step,0,3,23,9000
wdsimple0147,wdp0196,liquid_surface,a small rectangular water trough,0,3,24,9000
wdsimple0153,wdp0206,hard_surface,stainless-steel tray,1,3,25,9000
wdsimple0159,wdp0221,hard_surface,plain white ceramic plate,1,3,26,9000
wdsimple0165,wdp0236,hard_surface,white quartz countertop,1,3,27,9000
wdsimple0171,wdp0251,hard_surface,smooth epoxy floor sample,1,3,28,9000
wdsimple0177,wdp0266,hard_surface,white enamel stove surface,1,3,29,9000
wdsimple0183,wdp0281,hard_surface,polished copper plate,1,3,30,9000
wdsimple0189,wdp0296,hard_surface,flat cast-iron griddle,1,3,31,9000
wdsimple0195,wdp0311,hard_surface,clear acrylic sheet,1,3,32,9000
wdsimple0201,wdp0326,hard_surface,sealed hardwood tabletop,1,3,33,9000
wdsimple0207,wdp0341,hard_surface,painted metal cabinet top,1,3,34,9000
wdsimple0213,wdp0356,hard_surface,glazed brick,1,3,35,9000
wdsimple0219,wdp0371,hard_surface,glazed ceramic coaster,1,3,36,9000
wdsimple0225,wdp0386,hard_surface,rigid plastic cafeteria tray,1,3,37,9000
wdsimple0231,wdp0401,hard_surface,flat smartphone glass screen,1,3,38,9000
wdsimple0237,wdp0416,hard_surface,laboratory resin worktop,1,3,39,9000
wdsimple0243,wdp0431,hard_surface,polished jade slab,1,3,40,9000
wdsimple0249,wdp0446,hard_surface,sealed concrete paver,1,3,41,9000
wdsimple0004,wdp0005,liquid_surface,a transparent glass mixing bowl filled with water,1,4,0,9000
wdsimple0010,wdp0013,liquid_surface,a clean metal bucket filled with water,1,4,1,9000
wdsimple0016,wdp0021,liquid_surface,a rectangular glass aquarium filled with water,1,4,2,9000
wdsimple0022,wdp0029,liquid_surface,a white enamel washbasin filled with water,1,4,3,9000
wdsimple0028,wdp0037,liquid_surface,a small garden fountain basin with the pump turned off,1,4,4,9000
wdsimple0034,wdp0045,liquid_surface,a transparent measuring jug filled with water,1,4,5,9000
wdsimple0040,wdp0053,liquid_surface,a black cooking pot filled with water,1,4,6,9000
wdsimple0046,wdp0061,liquid_surface,a small porcelain teacup filled with water,1,4,7,9000
wdsimple0052,wdp0069,liquid_surface,a plain glass tumbler filled with water,1,4,8,9000
wdsimple0058,wdp0077,liquid_surface,a short glass flower vase filled with water,1,4,9,9000
wdsimple0064,wdp0085,liquid_surface,a white bathtub filled with still water,1,4,10,9000
wdsimple0070,wdp0093,liquid_surface,an open rain barrel filled with water,1,4,11,9000
wdsimple0076,wdp0101,liquid_surface,a blue plastic storage tub filled with water,1,4,12,9000
wdsimple0082,wdp0109,liquid_surface,a stainless-steel pet water bowl,1,4,13,9000
wdsimple0088,wdp0117,liquid_surface,a polished copper bowl filled with water,1,4,14,9000
wdsimple0094,wdp0125,liquid_surface,a shallow aluminum pan filled with water,1,4,15,9000
wdsimple0100,wdp0133,liquid_surface,a clear acrylic tank filled with water,1,4,16,9000
wdsimple0106,wdp0141,liquid_surface,a glazed ceramic baking dish filled with water,1,4,17,9000
wdsimple0112,wdp0149,liquid_surface,a sealed wooden bowl filled with water,1,4,18,9000
wdsimple0118,wdp0157,liquid_surface,a large seashell holding a pool of water,1,4,19,9000
wdsimple0124,wdp0165,liquid_surface,a leaf-shaped ceramic dish filled with water,1,4,20,9000
wdsimple0130,wdp0173,liquid_surface,a concave laboratory watch glass holding water,1,4,21,9000
wdsimple0136,wdp0181,liquid_surface,a rooftop puddle on a flat membrane surface,1,4,22,9000
wdsimple0142,wdp0189,liquid_surface,a shallow puddle on a flat stone step,1,4,23,9000
wdsimple0148,wdp0197,liquid_surface,a small rectangular water trough,1,4,24,9000
wdsimple0154,wdp0210,hard_surface,transparent glass tabletop,0,4,25,9000
wdsimple0160,wdp0225,hard_surface,blue plastic cutting board,0,4,26,9000
wdsimple0166,wdp0240,hard_surface,dark slate tile,0,4,27,9000
wdsimple0172,wdp0255,hard_surface,vinyl flooring sample,0,4,28,9000
wdsimple0178,wdp0270,hard_surface,flat chrome-plated shelf,0,4,29,9000
wdsimple0184,wdp0285,hard_surface,polished brass plate,0,4,30,9000
wdsimple0190,wdp0300,hard_surface,black nonstick baking tray,0,4,31,9000
wdsimple0196,wdp0315,hard_surface,polycarbonate panel,0,4,32,9000
wdsimple0202,wdp0330,hard_surface,laminated office desk,0,4,33,9000
wdsimple0208,wdp0345,hard_surface,tempered-glass refrigerator shelf,0,4,34,9000
wdsimple0214,wdp0360,hard_surface,glazed pottery lid,0,4,35,9000
wdsimple0220,wdp0375,hard_surface,clear glass coaster,0,4,36,9000
wdsimple0226,wdp0390,hard_surface,porcelain bathtub ledge,0,4,37,9000
wdsimple0232,wdp0405,hard_surface,laptop glass trackpad,0,4,38,9000
wdsimple0238,wdp0420,hard_surface,smooth whiteboard panel,0,4,39,9000
wdsimple0244,wdp0435,hard_surface,terrazzo tile,0,4,40,9000
wdsimple0005,wdp0006,liquid_surface,a transparent glass mixing bowl filled with water,2,5,0,9000
wdsimple0011,wdp0014,liquid_surface,a clean metal bucket filled with water,2,5,1,9000
wdsimple0017,wdp0022,liquid_surface,a rectangular glass aquarium filled with water,2,5,2,9000
wdsimple0023,wdp0030,liquid_surface,a white enamel washbasin filled with water,2,5,3,9000
wdsimple0029,wdp0038,liquid_surface,a small garden fountain basin with the pump turned off,2,5,4,9000
wdsimple0035,wdp0046,liquid_surface,a transparent measuring jug filled with water,2,5,5,9000
wdsimple0041,wdp0054,liquid_surface,a black cooking pot filled with water,2,5,6,9000
wdsimple0047,wdp0062,liquid_surface,a small porcelain teacup filled with water,2,5,7,9000
wdsimple0053,wdp0070,liquid_surface,a plain glass tumbler filled with water,2,5,8,9000
wdsimple0059,wdp0078,liquid_surface,a short glass flower vase filled with water,2,5,9,9000
wdsimple0065,wdp0086,liquid_surface,a white bathtub filled with still water,2,5,10,9000
wdsimple0071,wdp0094,liquid_surface,an open rain barrel filled with water,2,5,11,9000
wdsimple0077,wdp0102,liquid_surface,a blue plastic storage tub filled with water,2,5,12,9000
wdsimple0083,wdp0110,liquid_surface,a stainless-steel pet water bowl,2,5,13,9000
wdsimple0089,wdp0118,liquid_surface,a polished copper bowl filled with water,2,5,14,9000
wdsimple0095,wdp0126,liquid_surface,a shallow aluminum pan filled with water,2,5,15,9000
wdsimple0101,wdp0134,liquid_surface,a clear acrylic tank filled with water,2,5,16,9000
wdsimple0107,wdp0142,liquid_surface,a glazed ceramic baking dish filled with water,2,5,17,9000
wdsimple0113,wdp0150,liquid_surface,a sealed wooden bowl filled with water,2,5,18,9000
wdsimple0119,wdp0158,liquid_surface,a large seashell holding a pool of water,2,5,19,9000
wdsimple0125,wdp0166,liquid_surface,a leaf-shaped ceramic dish filled with water,2,5,20,9000
wdsimple0131,wdp0174,liquid_surface,a concave laboratory watch glass holding water,2,5,21,9000
wdsimple0137,wdp0182,liquid_surface,a rooftop puddle on a flat membrane surface,2,5,22,9000
wdsimple0143,wdp0190,liquid_surface,a shallow puddle on a flat stone step,2,5,23,9000
wdsimple0149,wdp0198,liquid_surface,a small rectangular water trough,2,5,24,9000
wdsimple0155,wdp0211,hard_surface,transparent glass tabletop,1,5,25,9000
wdsimple0161,wdp0226,hard_surface,blue plastic cutting board,1,5,26,9000
wdsimple0167,wdp0241,hard_surface,dark slate tile,1,5,27,9000
wdsimple0173,wdp0256,hard_surface,vinyl flooring sample,1,5,28,9000
wdsimple0179,wdp0271,hard_surface,flat chrome-plated shelf,1,5,29,9000
wdsimple0185,wdp0286,hard_surface,polished brass plate,1,5,30,9000
wdsimple0191,wdp0301,hard_surface,black nonstick baking tray,1,5,31,9000
wdsimple0197,wdp0316,hard_surface,polycarbonate panel,1,5,32,9000
wdsimple0203,wdp0331,hard_surface,laminated office desk,1,5,33,9000
wdsimple0209,wdp0346,hard_surface,tempered-glass refrigerator shelf,1,5,34,9000
wdsimple0215,wdp0361,hard_surface,glazed pottery lid,1,5,35,9000
wdsimple0221,wdp0376,hard_surface,clear glass coaster,1,5,36,9000
wdsimple0227,wdp0391,hard_surface,porcelain bathtub ledge,1,5,37,9000
wdsimple0233,wdp0406,hard_surface,laptop glass trackpad,1,5,38,9000
wdsimple0239,wdp0421,hard_surface,smooth whiteboard panel,1,5,39,9000
wdsimple0245,wdp0436,hard_surface,terrazzo tile,1,5,40,9000
