gate_id,shard,fixed_seed,scene_id,family,mechanism,receiver_id,receiver,variant,surface_condition,impact_location,causal_footprint,seed_policy,prompt
wdg010,part_a,9000,wdp0450,absorbent_surface,absorption,absorbent_surface_00,white paper towel,0,"clean, completely dry, flat, and motionless",the center,the water is absorbed and a small dark wet patch gradually expands,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, white paper towel is clean, completely dry, flat, and motionless. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center. Only after contact, the water is absorbed and a small dark wet patch gradually expands. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdg011,part_a,9000,wdp0471,absorbent_surface,absorption,absorbent_surface_05,white blotting paper,1,"clean, completely dry, flat, and supported on a rigid surface",slightly left of center,the water soaks in and leaves a compact dark damp spot with little outward spread,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, white blotting paper is clean, completely dry, flat, and supported on a rigid surface. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly left of center. Only after contact, the water soaks in and leaves a compact dark damp spot with little outward spread. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdg012,part_a,9000,wdp0496,absorbent_surface,absorption,absorbent_surface_11,paper coffee filter supported flat,2,"clean, completely dry, flat, and showing a clear grain or fiber direction",slightly right of center,an elongated wet mark gradually spreads along the visible grain or fibers,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, paper coffee filter supported flat is clean, completely dry, flat, and showing a clear grain or fiber direction. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly right of center. Only after contact, an elongated wet mark gradually spreads along the visible grain or fibers. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdg013,part_a,9000,wdp0517,absorbent_surface,absorption,absorbent_surface_16,dense felt sheet fixed flat,3,"clean, completely dry, flat, and firmly supported so it cannot move",near one visible edge,an asymmetric wet patch appears and slowly spreads inward from the contact point,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, dense felt sheet fixed flat is clean, completely dry, flat, and firmly supported so it cannot move. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts near one visible edge. Only after contact, an asymmetric wet patch appears and slowly spreads inward from the contact point. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdg014,part_a,9000,wdp0538,absorbent_surface,absorption,absorbent_surface_22,dense foam cleaning sponge,0,"clean, completely dry, flat, and motionless",the center,the water is absorbed and a small dark wet patch gradually expands,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, dense foam cleaning sponge is clean, completely dry, flat, and motionless. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center. Only after contact, the water is absorbed and a small dark wet patch gradually expands. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdg015,part_a,9000,wdp0650,granular_surface,particle_displacement,granular_surface_00,fine dry sand,0,arranged as a smooth level bed and completely undisturbed,the center of the bed,"a small crater forms, a few particles move outward, and the center becomes darker and damp",one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, fine dry sand is arranged as a smooth level bed and completely undisturbed. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the bed. Only after contact, a small crater forms, a few particles move outward, and the center becomes darker and damp. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdg016,part_a,9000,wdp0666,granular_surface,particle_displacement,granular_surface_05,dry potting soil,1,arranged as a small dry mound and completely undisturbed,the top of the mound,"a small indentation forms, several particles scatter down the sides, and a damp clump remains",one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, dry potting soil is arranged as a small dry mound and completely undisturbed. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the top of the mound. Only after contact, a small indentation forms, several particles scatter down the sides, and a damp clump remains. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdg017,part_a,9000,wdp0685,granular_surface,particle_displacement,granular_surface_11,white cornstarch,2,arranged as a lightly compacted dry layer and completely undisturbed,slightly off-center,a shallow dent forms and nearby particles bind into a small darker damp cluster,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, white cornstarch is arranged as a lightly compacted dry layer and completely undisturbed. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly off-center. Only after contact, a shallow dent forms and nearby particles bind into a small darker damp cluster. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdg018,part_a,9000,wdp0698,granular_surface,particle_displacement,granular_surface_16,coarse rock salt,0,arranged as a smooth level bed and completely undisturbed,the center of the bed,"a small crater forms, a few particles move outward, and the center becomes darker and damp",one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, coarse rock salt is arranged as a smooth level bed and completely undisturbed. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the bed. Only after contact, a small crater forms, a few particles move outward, and the center becomes darker and damp. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdg019,part_a,9000,wdp0717,granular_surface,particle_displacement,granular_surface_22,dry loose black tea leaves,1,arranged as a small dry mound and completely undisturbed,the top of the mound,"a small indentation forms, several particles scatter down the sides, and a damp clump remains",one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, dry loose black tea leaves is arranged as a small dry mound and completely undisturbed. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the top of the mound. Only after contact, a small indentation forms, several particles scatter down the sides, and a damp clump remains. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdg020,part_b,9000,wdp0109,liquid_surface,surface_flow,liquid_surface_27,a stainless-steel pet water bowl,1,"completely still, with a calm level water surface",slightly left of the center of the water surface,a brief impact cavity closes and circular ripples cross the surface,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a stainless-steel pet water bowl is completely still, with a calm level water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly left of the center of the water surface. Only after contact, a brief impact cavity closes and circular ripples cross the surface. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdg021,part_b,9000,wdp0134,liquid_surface,surface_flow,liquid_surface_33,a clear acrylic tank filled with water,2,"completely still, with a shallow motionless water surface",slightly right of center,a low radial splash forms and several shallow ripples expand outward,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a clear acrylic tank filled with water is completely still, with a shallow motionless water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly right of center. Only after contact, a low radial splash forms and several shallow ripples expand outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdg022,part_b,9000,wdp0155,liquid_surface,surface_flow,liquid_surface_38,a clean coconut-shell cup filled with water,3,"completely still, with the water surface and its nearest edge clearly visible",near the visible inner edge of the water surface,an asymmetric splash forms and curved ripples travel toward the opposite edge,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a clean coconut-shell cup filled with water is completely still, with the water surface and its nearest edge clearly visible. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts near the visible inner edge of the water surface. Only after contact, an asymmetric splash forms and curved ripples travel toward the opposite edge. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdg023,part_b,9000,wdp0176,liquid_surface,surface_flow,liquid_surface_44,a shallow puddle on a microscope glass slide,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a shallow puddle on a microscope glass slide is completely still, with a perfectly flat water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. Only after contact, a small crown splash rises and concentric ripples spread outward. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdg024,part_b,9000,wdp0197,liquid_surface,surface_flow,liquid_surface_49,a small rectangular water trough,1,"completely still, with a calm level water surface",slightly left of the center of the water surface,a brief impact cavity closes and circular ripples cross the surface,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a small rectangular water trough is completely still, with a calm level water surface. No falling droplet, splash, impact cavity, or ripple is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly left of the center of the water surface. Only after contact, a brief impact cavity closes and circular ripples cross the surface. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdg025,part_b,9000,wdp0335,hard_surface,surface_residue,hard_surface_27,lacquered wood panel,0,"clean, completely dry, horizontal, and motionless",the center,a brief radial splash appears and several clear water beads remain,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, lacquered wood panel is clean, completely dry, horizontal, and motionless. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center. Only after contact, a brief radial splash appears and several clear water beads remain. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdg026,part_b,9000,wdp0366,hard_surface,surface_residue,hard_surface_33,polished stone coaster,1,"clean, completely dry, horizontal, and motionless",slightly left of center,a small splash appears and a thin localized wet spot remains,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, polished stone coaster is clean, completely dry, horizontal, and motionless. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly left of center. Only after contact, a small splash appears and a thin localized wet spot remains. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdg027,part_b,9000,wdp0392,hard_surface,surface_residue,hard_surface_38,porcelain bathtub ledge,2,"clean, dry, horizontal, and covered by a hydrophobic coating",slightly right of center,the water recoils after a tiny splash and gathers into one compact bead,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, porcelain bathtub ledge is clean, dry, horizontal, and covered by a hydrophobic coating. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly right of center. Only after contact, the water recoils after a tiny splash and gathers into one compact bead. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdg028,part_b,9000,wdp0423,hard_surface,surface_residue,hard_surface_44,smooth whiteboard panel,3,"clean, completely dry, horizontal, and framed with one edge clearly visible",near the visible edge,an asymmetric splash appears and a small amount of water gathers against the edge,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, smooth whiteboard panel is clean, completely dry, horizontal, and framed with one edge clearly visible. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts near the visible edge. Only after contact, an asymmetric splash appears and a small amount of water gathers against the edge. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdg029,part_b,9000,wdp0449,hard_surface,surface_residue,hard_surface_49,sealed concrete paver,4,"clean, dry, and held at a gentle fixed incline",the upper-center area,a small splash appears and one bead slides a short distance downhill leaving a wet trail,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, sealed concrete paver is clean, dry, and held at a gentle fixed incline. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the upper-center area. Only after contact, a small splash appears and one bead slides a short distance downhill leaving a wet trail. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdg030,part_b,9000,wdp0559,absorbent_surface,absorption,absorbent_surface_27,dry plaster surface,1,"clean, completely dry, flat, and supported on a rigid surface",slightly left of center,the water soaks in and leaves a compact dark damp spot with little outward spread,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, dry plaster surface is clean, completely dry, flat, and supported on a rigid surface. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly left of center. Only after contact, the water soaks in and leaves a compact dark damp spot with little outward spread. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdg031,part_b,9000,wdp0584,absorbent_surface,absorption,absorbent_surface_33,dry mortar sample,2,"clean, completely dry, flat, and showing a clear grain or fiber direction",slightly right of center,an elongated wet mark gradually spreads along the visible grain or fibers,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, dry mortar sample is clean, completely dry, flat, and showing a clear grain or fiber direction. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly right of center. Only after contact, an elongated wet mark gradually spreads along the visible grain or fibers. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdg032,part_b,9000,wdp0605,absorbent_surface,absorption,absorbent_surface_38,unfinished cedar board,3,"clean, completely dry, flat, and firmly supported so it cannot move",near one visible edge,an asymmetric wet patch appears and slowly spreads inward from the contact point,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, unfinished cedar board is clean, completely dry, flat, and firmly supported so it cannot move. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts near one visible edge. Only after contact, an asymmetric wet patch appears and slowly spreads inward from the contact point. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdg033,part_b,9000,wdp0626,absorbent_surface,absorption,absorbent_surface_44,untreated nubuck fixed flat,0,"clean, completely dry, flat, and motionless",the center,the water is absorbed and a small dark wet patch gradually expands,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, untreated nubuck fixed flat is clean, completely dry, flat, and motionless. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center. Only after contact, the water is absorbed and a small dark wet patch gradually expands. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdg034,part_b,9000,wdp0647,absorbent_surface,absorption,absorbent_surface_49,uncoated paper egg carton surface,1,"clean, completely dry, flat, and supported on a rigid surface",slightly left of center,the water soaks in and leaves a compact dark damp spot with little outward spread,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, uncoated paper egg carton surface is clean, completely dry, flat, and supported on a rigid surface. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly left of center. Only after contact, the water soaks in and leaves a compact dark damp spot with little outward spread. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdg035,part_b,9000,wdp0733,granular_surface,particle_displacement,granular_surface_27,dry cement powder,2,arranged as a lightly compacted dry layer and completely undisturbed,slightly off-center,a shallow dent forms and nearby particles bind into a small darker damp cluster,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, dry cement powder is arranged as a lightly compacted dry layer and completely undisturbed. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly off-center. Only after contact, a shallow dent forms and nearby particles bind into a small darker damp cluster. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdg036,part_b,9000,wdp0749,granular_surface,particle_displacement,granular_surface_33,tiny clear glass beads,0,arranged as a smooth level bed and completely undisturbed,the center of the bed,"a small crater forms, a few particles move outward, and the center becomes darker and damp",one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, tiny clear glass beads is arranged as a smooth level bed and completely undisturbed. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the bed. Only after contact, a small crater forms, a few particles move outward, and the center becomes darker and damp. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdg037,part_b,9000,wdp0765,granular_surface,particle_displacement,granular_surface_38,dry couscous grains,1,arranged as a small dry mound and completely undisturbed,the top of the mound,"a small indentation forms, several particles scatter down the sides, and a damp clump remains",one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, dry couscous grains is arranged as a small dry mound and completely undisturbed. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the top of the mound. Only after contact, a small indentation forms, several particles scatter down the sides, and a damp clump remains. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdg038,part_b,9000,wdp0784,granular_surface,particle_displacement,granular_surface_44,ground paprika powder,2,arranged as a lightly compacted dry layer and completely undisturbed,slightly off-center,a shallow dent forms and nearby particles bind into a small darker damp cluster,one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, ground paprika powder is arranged as a lightly compacted dry layer and completely undisturbed. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly off-center. Only after contact, a shallow dent forms and nearby particles bind into a small darker damp cluster. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
wdg039,part_b,9000,wdp0797,granular_surface,particle_displacement,granular_surface_49,small aquarium gravel,0,arranged as a smooth level bed and completely undisturbed,the center of the bed,"a small crater forms, a few particles move outward, and the center becomes darker and damp",one_seed_only,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, small aquarium gravel is arranged as a smooth level bed and completely undisturbed. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the bed. Only after contact, a small crater forms, a few particles move outward, and the center becomes darker and damp. The camera, lighting, background, receiver geometry, and all other objects remain unchanged."
