scene_id,source_scene_id,receiver_id,family,receiver,prompt_variant,condition,split,expected_base_target,expected_base_footprint,expected_erased_target,expected_erased_footprint,erase_instruction,fixed_seed,prompt
wdreplenish013,wdsimple0202,hard_surface_26,hard_surface,laminated office desk,1,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,"A static product-shot video with a fixed macro camera; absolutely nothing happens. Before recording begins, exactly one compact clear sessile water bead is already resting at the center of a laminated office desk. The same single rounded bead is fully visible in the first frame, every middle frame, and the final frame, unchanged in size, shape, and position. The surrounding hard surface stays completely dry. No object enters the frame and no event occurs: no falling drop, formation, growth, impact, splash, ripple, ring, spreading, trail, or evaporation. Camera, lighting, surface, and background remain identical throughout."
wdreplenish014,wdsimple0214,hard_surface_32,hard_surface,glazed pottery lid,0,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,"A locked-off scientific still-life recording, not an action scene. Before recording begins, exactly one compact clear sessile water bead is already resting at the center of a glazed pottery lid. The same single rounded bead is fully visible in the first frame, every middle frame, and the final frame, unchanged in size, shape, and position. The surrounding hard surface stays completely dry. No object enters the frame and no event occurs: no falling drop, formation, growth, impact, splash, ripple, ring, spreading, trail, or evaporation. Camera, lighting, surface, and background remain identical throughout."
wdreplenish015,wdsimple0214,hard_surface_32,hard_surface,glazed pottery lid,1,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,"A static product-shot video with a fixed macro camera; absolutely nothing happens. Before recording begins, exactly one compact clear sessile water bead is already resting at the center of a glazed pottery lid. The same single rounded bead is fully visible in the first frame, every middle frame, and the final frame, unchanged in size, shape, and position. The surrounding hard surface stays completely dry. No object enters the frame and no event occurs: no falling drop, formation, growth, impact, splash, ripple, ring, spreading, trail, or evaporation. Camera, lighting, surface, and background remain identical throughout."
wdreplenish016,wdsimple0218,hard_surface_34,hard_surface,glazed ceramic coaster,0,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,"A locked-off scientific still-life recording, not an action scene. Before recording begins, exactly one compact clear sessile water bead is already resting at the center of a glazed ceramic coaster. The same single rounded bead is fully visible in the first frame, every middle frame, and the final frame, unchanged in size, shape, and position. The surrounding hard surface stays completely dry. No object enters the frame and no event occurs: no falling drop, formation, growth, impact, splash, ripple, ring, spreading, trail, or evaporation. Camera, lighting, surface, and background remain identical throughout."
wdreplenish017,wdsimple0218,hard_surface_34,hard_surface,glazed ceramic coaster,1,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,"A static product-shot video with a fixed macro camera; absolutely nothing happens. Before recording begins, exactly one compact clear sessile water bead is already resting at the center of a glazed ceramic coaster. The same single rounded bead is fully visible in the first frame, every middle frame, and the final frame, unchanged in size, shape, and position. The surrounding hard surface stays completely dry. No object enters the frame and no event occurs: no falling drop, formation, growth, impact, splash, ripple, ring, spreading, trail, or evaporation. Camera, lighting, surface, and background remain identical throughout."
wdreplenish018,wdsimple0220,hard_surface_35,hard_surface,clear glass coaster,0,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,"A locked-off scientific still-life recording, not an action scene. Before recording begins, exactly one compact clear sessile water bead is already resting at the center of a clear glass coaster. The same single rounded bead is fully visible in the first frame, every middle frame, and the final frame, unchanged in size, shape, and position. The surrounding hard surface stays completely dry. No object enters the frame and no event occurs: no falling drop, formation, growth, impact, splash, ripple, ring, spreading, trail, or evaporation. Camera, lighting, surface, and background remain identical throughout."
wdreplenish019,wdsimple0220,hard_surface_35,hard_surface,clear glass coaster,1,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,"A static product-shot video with a fixed macro camera; absolutely nothing happens. Before recording begins, exactly one compact clear sessile water bead is already resting at the center of a clear glass coaster. The same single rounded bead is fully visible in the first frame, every middle frame, and the final frame, unchanged in size, shape, and position. The surrounding hard surface stays completely dry. No object enters the frame and no event occurs: no falling drop, formation, growth, impact, splash, ripple, ring, spreading, trail, or evaporation. Camera, lighting, surface, and background remain identical throughout."
wdreplenish020,wdsimple0226,hard_surface_38,hard_surface,porcelain bathtub ledge,0,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,"A locked-off scientific still-life recording, not an action scene. Before recording begins, exactly one compact clear sessile water bead is already resting at the center of a porcelain bathtub ledge. The same single rounded bead is fully visible in the first frame, every middle frame, and the final frame, unchanged in size, shape, and position. The surrounding hard surface stays completely dry. No object enters the frame and no event occurs: no falling drop, formation, growth, impact, splash, ripple, ring, spreading, trail, or evaporation. Camera, lighting, surface, and background remain identical throughout."
wdreplenish021,wdsimple0226,hard_surface_38,hard_surface,porcelain bathtub ledge,1,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,"A static product-shot video with a fixed macro camera; absolutely nothing happens. Before recording begins, exactly one compact clear sessile water bead is already resting at the center of a porcelain bathtub ledge. The same single rounded bead is fully visible in the first frame, every middle frame, and the final frame, unchanged in size, shape, and position. The surrounding hard surface stays completely dry. No object enters the frame and no event occurs: no falling drop, formation, growth, impact, splash, ripple, ring, spreading, trail, or evaporation. Camera, lighting, surface, and background remain identical throughout."
wdreplenish022,wdsimple0228,hard_surface_39,hard_surface,flat section of a painted car hood,0,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,"A locked-off scientific still-life recording, not an action scene. Before recording begins, exactly one compact clear sessile water bead is already resting at the center of a flat section of a painted car hood. The same single rounded bead is fully visible in the first frame, every middle frame, and the final frame, unchanged in size, shape, and position. The surrounding hard surface stays completely dry. No object enters the frame and no event occurs: no falling drop, formation, growth, impact, splash, ripple, ring, spreading, trail, or evaporation. Camera, lighting, surface, and background remain identical throughout."
wdreplenish023,wdsimple0228,hard_surface_39,hard_surface,flat section of a painted car hood,1,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,"A static product-shot video with a fixed macro camera; absolutely nothing happens. Before recording begins, exactly one compact clear sessile water bead is already resting at the center of a flat section of a painted car hood. The same single rounded bead is fully visible in the first frame, every middle frame, and the final frame, unchanged in size, shape, and position. The surrounding hard surface stays completely dry. No object enters the frame and no event occurs: no falling drop, formation, growth, impact, splash, ripple, ring, spreading, trail, or evaporation. Camera, lighting, surface, and background remain identical throughout."
wdreplenish024,wdsimple0238,hard_surface_44,hard_surface,smooth whiteboard panel,0,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,"A locked-off scientific still-life recording, not an action scene. Before recording begins, exactly one compact clear sessile water bead is already resting at the center of a smooth whiteboard panel. The same single rounded bead is fully visible in the first frame, every middle frame, and the final frame, unchanged in size, shape, and position. The surrounding hard surface stays completely dry. No object enters the frame and no event occurs: no falling drop, formation, growth, impact, splash, ripple, ring, spreading, trail, or evaporation. Camera, lighting, surface, and background remain identical throughout."
wdreplenish025,wdsimple0238,hard_surface_44,hard_surface,smooth whiteboard panel,1,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,"A static product-shot video with a fixed macro camera; absolutely nothing happens. Before recording begins, exactly one compact clear sessile water bead is already resting at the center of a smooth whiteboard panel. The same single rounded bead is fully visible in the first frame, every middle frame, and the final frame, unchanged in size, shape, and position. The surrounding hard surface stays completely dry. No object enters the frame and no event occurs: no falling drop, formation, growth, impact, splash, ripple, ring, spreading, trail, or evaporation. Camera, lighting, surface, and background remain identical throughout."
wdreplenish026,wdsimple0242,hard_surface_46,hard_surface,polished jade slab,0,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,"A locked-off scientific still-life recording, not an action scene. Before recording begins, exactly one compact clear sessile water bead is already resting at the center of a polished jade slab. The same single rounded bead is fully visible in the first frame, every middle frame, and the final frame, unchanged in size, shape, and position. The surrounding hard surface stays completely dry. No object enters the frame and no event occurs: no falling drop, formation, growth, impact, splash, ripple, ring, spreading, trail, or evaporation. Camera, lighting, surface, and background remain identical throughout."
wdreplenish027,wdsimple0242,hard_surface_46,hard_surface,polished jade slab,1,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,"A static product-shot video with a fixed macro camera; absolutely nothing happens. Before recording begins, exactly one compact clear sessile water bead is already resting at the center of a polished jade slab. The same single rounded bead is fully visible in the first frame, every middle frame, and the final frame, unchanged in size, shape, and position. The surrounding hard surface stays completely dry. No object enters the frame and no event occurs: no falling drop, formation, growth, impact, splash, ripple, ring, spreading, trail, or evaporation. Camera, lighting, surface, and background remain identical throughout."
wdreplenish028,wdsimple0246,hard_surface_48,hard_surface,glazed porcelain floor tile,0,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,"A locked-off scientific still-life recording, not an action scene. Before recording begins, exactly one compact clear sessile water bead is already resting at the center of a glazed porcelain floor tile. The same single rounded bead is fully visible in the first frame, every middle frame, and the final frame, unchanged in size, shape, and position. The surrounding hard surface stays completely dry. No object enters the frame and no event occurs: no falling drop, formation, growth, impact, splash, ripple, ring, spreading, trail, or evaporation. Camera, lighting, surface, and background remain identical throughout."
wdreplenish029,wdsimple0246,hard_surface_48,hard_surface,glazed porcelain floor tile,1,target_only_resting_bead,frozen_test_replenishment_candidate,yes,no,no,no,Remove the water droplet.,9300,"A static product-shot video with a fixed macro camera; absolutely nothing happens. Before recording begins, exactly one compact clear sessile water bead is already resting at the center of a glazed porcelain floor tile. The same single rounded bead is fully visible in the first frame, every middle frame, and the final frame, unchanged in size, shape, and position. The surrounding hard surface stays completely dry. No object enters the frame and no event occurs: no falling drop, formation, growth, impact, splash, ripple, ring, spreading, trail, or evaporation. Camera, lighting, surface, and background remain identical throughout."
