scene_id,train_group_id,condition,receiver,generated_condition_pass,preliminary_sft_usable,semantic_note,review_basis
wdtrain04_clean_control,wdtrain04,clean_control,polished concrete slab,yes,yes,empty dry receiver remains stable,12-frame contact sheet
wdtrain05_explicit_causal,wdtrain05,explicit_causal,smooth epoxy floor sample,yes,yes,causal event and footprint are visible; clean prefix supports aligned target,12-frame contact sheet
wdtrain05_target_only,wdtrain05,target_only,smooth epoxy floor sample,no,yes,"base generation adds delayed formation, impact, or footprint; prompt remains usable as erase conditioning",12-frame contact sheet
wdtrain05_unrelated_footprint,wdtrain05,unrelated_footprint,smooth epoxy floor sample,yes,yes,dry unrelated ring is visible and the receiver is stable,12-frame contact sheet
wdtrain05_clean_control,wdtrain05,clean_control,smooth epoxy floor sample,yes,yes,empty dry receiver remains stable,12-frame contact sheet
wdtrain06_explicit_causal,wdtrain06,explicit_causal,brushed aluminum sheet,yes,yes,causal event and footprint are visible; clean prefix supports aligned target,12-frame contact sheet
wdtrain06_target_only,wdtrain06,target_only,brushed aluminum sheet,yes,yes,one bead is present without a substantial footprint,12-frame contact sheet
wdtrain06_unrelated_footprint,wdtrain06,unrelated_footprint,brushed aluminum sheet,yes,yes,dry unrelated ring is visible and the receiver is stable,12-frame contact sheet
wdtrain06_clean_control,wdtrain06,clean_control,brushed aluminum sheet,yes,yes,empty dry receiver remains stable,12-frame contact sheet
wdtrain07_explicit_causal,wdtrain07,explicit_causal,flat cast-iron griddle,no,no,causal event is visible but there are fewer than two reliable clean-prefix frames,12-frame contact sheet
wdtrain07_target_only,wdtrain07,target_only,flat cast-iron griddle,no,no,"base generation adds delayed formation, impact, or footprint; prompt remains usable as erase conditioning",12-frame contact sheet
wdtrain07_unrelated_footprint,wdtrain07,unrelated_footprint,flat cast-iron griddle,yes,no,dry unrelated ring is visible and the receiver is stable,12-frame contact sheet
wdtrain07_clean_control,wdtrain07,clean_control,flat cast-iron griddle,yes,no,empty dry receiver remains stable,12-frame contact sheet
wdtrain08_explicit_causal,wdtrain08,explicit_causal,black nonstick baking tray,yes,yes,causal event and footprint are visible; clean prefix supports aligned target,12-frame contact sheet
wdtrain08_target_only,wdtrain08,target_only,black nonstick baking tray,no,yes,"base generation adds delayed formation, impact, or footprint; prompt remains usable as erase conditioning",12-frame contact sheet
wdtrain08_unrelated_footprint,wdtrain08,unrelated_footprint,black nonstick baking tray,yes,yes,dry unrelated ring is visible and the receiver is stable,12-frame contact sheet
wdtrain08_clean_control,wdtrain08,clean_control,black nonstick baking tray,yes,yes,empty dry receiver remains stable,12-frame contact sheet
wdtrain09_explicit_causal,wdtrain09,explicit_causal,sealed hardwood tabletop,no,no,causal event is visible but there are fewer than two reliable clean-prefix frames,12-frame contact sheet
wdtrain09_target_only,wdtrain09,target_only,sealed hardwood tabletop,no,no,"base generation adds delayed formation, impact, or footprint; prompt remains usable as erase conditioning",12-frame contact sheet
wdtrain09_unrelated_footprint,wdtrain09,unrelated_footprint,sealed hardwood tabletop,yes,no,dry unrelated ring is visible and the receiver is stable,12-frame contact sheet
wdtrain09_clean_control,wdtrain09,clean_control,sealed hardwood tabletop,yes,no,empty dry receiver remains stable,12-frame contact sheet
