scene_id,source_scene_id,receiver_id,family,receiver,condition,split,expected_base_target,expected_base_footprint,expected_erased_target,expected_erased_footprint,erase_instruction,fixed_seed,prompt
wdresting010,wdsimple0206,hard_surface_28,hard_surface,painted metal cabinet top,target_only_resting_bead,frozen_test_candidate,yes,no,no,no,Remove the water droplet.,9200,"A realistic fixed-camera macro video in one continuous shot. For the entire clip, exactly one single clear spherical water bead rests motionless at the center of a painted metal cabinet top. The compact rounded water bead is already present in the first frame and remains clearly visible in the same place. The hard surface is dry everywhere else. There is no falling water, impact, splash, spreading wet patch, trail, or ripple. The camera, lighting, surface, and background remain fixed throughout."
wdresting011,wdsimple0208,hard_surface_29,hard_surface,tempered-glass refrigerator shelf,target_only_resting_bead,frozen_test_candidate,yes,no,no,no,Remove the water droplet.,9200,"A realistic fixed-camera macro video in one continuous shot. For the entire clip, exactly one single clear spherical water bead rests motionless at the center of a tempered-glass refrigerator shelf. The compact rounded water bead is already present in the first frame and remains clearly visible in the same place. The hard surface is dry everywhere else. There is no falling water, impact, splash, spreading wet patch, trail, or ripple. The camera, lighting, surface, and background remain fixed throughout."
wdresting012,wdsimple0210,hard_surface_30,hard_surface,flat wall mirror,target_only_resting_bead,frozen_test_candidate,yes,no,no,no,Remove the water droplet.,9200,"A realistic fixed-camera macro video in one continuous shot. For the entire clip, exactly one single clear spherical water bead rests motionless at the center of a flat wall mirror. The compact rounded water bead is already present in the first frame and remains clearly visible in the same place. The hard surface is dry everywhere else. There is no falling water, impact, splash, spreading wet patch, trail, or ripple. The camera, lighting, surface, and background remain fixed throughout."
wdresting013,wdsimple0218,hard_surface_34,hard_surface,glazed ceramic coaster,target_only_resting_bead,frozen_test_candidate,yes,no,no,no,Remove the water droplet.,9200,"A realistic fixed-camera macro video in one continuous shot. For the entire clip, exactly one single clear spherical water bead rests motionless at the center of a glazed ceramic coaster. The compact rounded water bead is already present in the first frame and remains clearly visible in the same place. The hard surface is dry everywhere else. There is no falling water, impact, splash, spreading wet patch, trail, or ripple. The camera, lighting, surface, and background remain fixed throughout."
wdresting014,wdsimple0220,hard_surface_35,hard_surface,clear glass coaster,target_only_resting_bead,frozen_test_candidate,yes,no,no,no,Remove the water droplet.,9200,"A realistic fixed-camera macro video in one continuous shot. For the entire clip, exactly one single clear spherical water bead rests motionless at the center of a clear glass coaster. The compact rounded water bead is already present in the first frame and remains clearly visible in the same place. The hard surface is dry everywhere else. There is no falling water, impact, splash, spreading wet patch, trail, or ripple. The camera, lighting, surface, and background remain fixed throughout."
wdresting015,wdsimple0228,hard_surface_39,hard_surface,flat section of a painted car hood,target_only_resting_bead,frozen_test_candidate,yes,no,no,no,Remove the water droplet.,9200,"A realistic fixed-camera macro video in one continuous shot. For the entire clip, exactly one single clear spherical water bead rests motionless at the center of a flat section of a painted car hood. The compact rounded water bead is already present in the first frame and remains clearly visible in the same place. The hard surface is dry everywhere else. There is no falling water, impact, splash, spreading wet patch, trail, or ripple. The camera, lighting, surface, and background remain fixed throughout."
wdresting016,wdsimple0232,hard_surface_41,hard_surface,laptop glass trackpad,target_only_resting_bead,frozen_test_candidate,yes,no,no,no,Remove the water droplet.,9200,"A realistic fixed-camera macro video in one continuous shot. For the entire clip, exactly one single clear spherical water bead rests motionless at the center of a laptop glass trackpad. The compact rounded water bead is already present in the first frame and remains clearly visible in the same place. The hard surface is dry everywhere else. There is no falling water, impact, splash, spreading wet patch, trail, or ripple. The camera, lighting, surface, and background remain fixed throughout."
wdresting017,wdsimple0236,hard_surface_43,hard_surface,laboratory resin worktop,target_only_resting_bead,frozen_test_candidate,yes,no,no,no,Remove the water droplet.,9200,"A realistic fixed-camera macro video in one continuous shot. For the entire clip, exactly one single clear spherical water bead rests motionless at the center of a laboratory resin worktop. The compact rounded water bead is already present in the first frame and remains clearly visible in the same place. The hard surface is dry everywhere else. There is no falling water, impact, splash, spreading wet patch, trail, or ripple. The camera, lighting, surface, and background remain fixed throughout."
wdresting018,wdsimple0242,hard_surface_46,hard_surface,polished jade slab,target_only_resting_bead,frozen_test_candidate,yes,no,no,no,Remove the water droplet.,9200,"A realistic fixed-camera macro video in one continuous shot. For the entire clip, exactly one single clear spherical water bead rests motionless at the center of a polished jade slab. The compact rounded water bead is already present in the first frame and remains clearly visible in the same place. The hard surface is dry everywhere else. There is no falling water, impact, splash, spreading wet patch, trail, or ripple. The camera, lighting, surface, and background remain fixed throughout."
wdresting019,wdsimple0246,hard_surface_48,hard_surface,glazed porcelain floor tile,target_only_resting_bead,frozen_test_candidate,yes,no,no,no,Remove the water droplet.,9200,"A realistic fixed-camera macro video in one continuous shot. For the entire clip, exactly one single clear spherical water bead rests motionless at the center of a glazed porcelain floor tile. The compact rounded water bead is already present in the first frame and remains clearly visible in the same place. The hard surface is dry everywhere else. There is no falling water, impact, splash, spreading wet patch, trail, or ripple. The camera, lighting, surface, and background remain fixed throughout."
