prompt,seed,video_path,early_late_mae,adjacent_mae,motion_rank,selected
A train moves steadily through a rural landscape while fields and utility poles pass behind it.,14006,outputs/generic_preservation32_base/shard_0/videos/006_a-train-moves-steadily-through-a-rural-landscape-while-fields-and-utilit_seed14006.mp4,0.04076212,0.02776988,20,yes
A realistic street video of pedestrians walking along a wide sidewalk while bicycles pass in the background.,14001,outputs/generic_preservation32_base/shard_0/videos/001_a-realistic-street-video-of-pedestrians-walking-along-a-wide-sidewalk-wh_seed14001.mp4,0.03712987,0.01387942,21,no
A wide view of a quiet public plaza where a few people walk between stone buildings.,14019,outputs/generic_preservation32_base/shard_1/videos/003_a-wide-view-of-a-quiet-public-plaza-where-a-few-people-walk-between-ston_seed14019.mp4,0.03600922,0.01040212,22,no
A coastal landscape with gentle ocean waves in the distance and tall grass moving slightly in the breeze.,14004,outputs/generic_preservation32_base/shard_0/videos/004_a-coastal-landscape-with-gentle-ocean-waves-in-the-distance-and-tall-gra_seed14004.mp4,0.03351435,0.02303032,23,no
A person hangs three clean jackets on separate hooks beside an apartment door.,14025,outputs/generic_preservation32_base/shard_1/videos/009_a-person-hangs-three-clean-jackets-on-separate-hooks-beside-an-apartment_seed14025.mp4,0.02954677,0.00836879,24,no
A wide landscape of evergreen trees moving gently in the wind beneath a pale sky.,14027,outputs/generic_preservation32_base/shard_1/videos/011_a-wide-landscape-of-evergreen-trees-moving-gently-in-the-wind-beneath-a_seed14027.mp4,0.02656309,0.00803539,25,no
"A camera observes a ceiling fan rotating steadily in a bright, tidy room.",14020,outputs/generic_preservation32_base/shard_1/videos/004_a-camera-observes-a-ceiling-fan-rotating-steadily-in-a-bright-tidy-room_seed14020.mp4,0.01524203,0.00222167,26,no
"A wooden dining table set with four plates, folded napkins, glasses, and a vase of flowers.",14016,outputs/generic_preservation32_base/shard_1/videos/000_a-wooden-dining-table-set-with-four-plates-folded-napkins-glasses-and-a_seed14016.mp4,0.01079154,0.00222338,27,no
A camera looks across a workshop bench with neatly organized tools and wooden boards.,14029,outputs/generic_preservation32_base/shard_1/videos/013_a-camera-looks-across-a-workshop-bench-with-neatly-organized-tools-and-w_seed14029.mp4,0.00896596,0.00151277,28,no
A fixed-camera video of a quiet reading room with books arranged on wooden shelves and sunlight through the windows.,14000,outputs/generic_preservation32_base/shard_0/videos/000_a-fixed-camera-video-of-a-quiet-reading-room-with-books-arranged-on-wood_seed14000.mp4,0.00785525,0.00155905,29,no
"A kitchen counter with a ceramic bowl, folded towel, cutting board, and several fresh vegetables under steady lighting.",14002,outputs/generic_preservation32_base/shard_0/videos/002_a-kitchen-counter-with-a-ceramic-bowl-folded-towel-cutting-board-and-sev_seed14002.mp4,0.00665766,0.00114619,30,no
"A clean office desk with a laptop, desk lamp, paper calendar, and cup of pencils.",14013,outputs/generic_preservation32_base/shard_0/videos/013_a-clean-office-desk-with-a-laptop-desk-lamp-paper-calendar-and-cup-of-pe_seed14013.mp4,0.00566555,0.00109571,31,no
"A close shot of a digital clock, a small plant, and framed photograph on a bedside table.",14024,outputs/generic_preservation32_base/shard_1/videos/008_a-close-shot-of-a-digital-clock-a-small-plant-and-framed-photograph-on-a_seed14024.mp4,0.00376171,0.00055910,32,no
