scene_id,train_group_id,source_scene_id,receiver_id,family,receiver,condition,split,expected_generated_target,expected_generated_footprint,sft_target_condition,sft_target_scene_id,erase_instruction,fixed_seed,prompt
wdtrain04_unrelated_footprint,wdtrain04,wdsimple0168,hard_surface_09,hard_surface,polished concrete slab,unrelated_footprint,pilot_train,no,yes,unrelated_footprint,wdtrain04_unrelated_footprint,Remove the water droplet.,9600,"A realistic locked-camera macro video of a polished concrete slab in one continuous shot. A clearly visible a thin white chalk circle is already centered on the otherwise clean dry surface and remains unchanged throughout. It is a dry solid marking, not water. No water, droplet, wet patch, splash, or ripple appears. The camera, receiver, marking, lighting, and background remain fixed."
wdtrain04_clean_control,wdtrain04,wdsimple0168,hard_surface_09,hard_surface,polished concrete slab,clean_control,pilot_train,no,no,clean_control,wdtrain04_clean_control,Remove the water droplet.,9600,"A realistic locked-camera macro video of a polished concrete slab in one continuous shot. The surface is completely empty, clean, and dry in every frame. No water, droplet, wet mark, ring, splash, object, person, shadow movement, or lighting change appears. The camera, receiver, texture, and background remain fixed throughout."
wdtrain05_explicit_causal,wdtrain05,wdsimple0170,hard_surface_10,hard_surface,smooth epoxy floor sample,explicit_causal,pilot_train,yes,yes,clean_control,wdtrain05_clean_control,Remove the water droplet.,9600,"A realistic locked-camera macro video of a smooth epoxy floor sample in one continuous shot. The clean dry surface is still for the first two seconds. Then exactly one clear water droplet falls from above, strikes the center, and visibly creates a small wet ring and a few short outward splash streaks. The bead and its wet causal footprint remain visible. No other object enters. The camera, receiver, lighting, and background remain fixed."
wdtrain05_target_only,wdtrain05,wdsimple0170,hard_surface_10,hard_surface,smooth epoxy floor sample,target_only,pilot_train,yes,no,clean_control,wdtrain05_clean_control,Remove the water droplet.,9600,"A realistic locked-camera macro video of a smooth epoxy floor sample in one continuous shot. Exactly one compact clear water bead is already resting at the center in the first frame and remains in the same place throughout. The surrounding surface stays dry. No falling water, impact, splash, wet patch, ring, trail, or spreading occurs. Nothing else changes."
wdtrain05_unrelated_footprint,wdtrain05,wdsimple0170,hard_surface_10,hard_surface,smooth epoxy floor sample,unrelated_footprint,pilot_train,no,yes,unrelated_footprint,wdtrain05_unrelated_footprint,Remove the water droplet.,9600,"A realistic locked-camera macro video of a smooth epoxy floor sample in one continuous shot. A clearly visible a small ring made of fine pale sand grains is already centered on the otherwise clean dry surface and remains unchanged throughout. It is a dry solid marking, not water. No water, droplet, wet patch, splash, or ripple appears. The camera, receiver, marking, lighting, and background remain fixed."
wdtrain05_clean_control,wdtrain05,wdsimple0170,hard_surface_10,hard_surface,smooth epoxy floor sample,clean_control,pilot_train,no,no,clean_control,wdtrain05_clean_control,Remove the water droplet.,9600,"A realistic locked-camera macro video of a smooth epoxy floor sample in one continuous shot. The surface is completely empty, clean, and dry in every frame. No water, droplet, wet mark, ring, splash, object, person, shadow movement, or lighting change appears. The camera, receiver, texture, and background remain fixed throughout."
wdtrain06_explicit_causal,wdtrain06,wdsimple0180,hard_surface_15,hard_surface,brushed aluminum sheet,explicit_causal,pilot_train,yes,yes,clean_control,wdtrain06_clean_control,Remove the water droplet.,9600,"A realistic locked-camera macro video of a brushed aluminum sheet in one continuous shot. The clean dry surface is still for the first two seconds. Then exactly one clear water droplet falls from above, strikes the center, and visibly creates a compact circular wet patch and several tiny radial splash marks. The bead and its wet causal footprint remain visible. No other object enters. The camera, receiver, lighting, and background remain fixed."
wdtrain06_target_only,wdtrain06,wdsimple0180,hard_surface_15,hard_surface,brushed aluminum sheet,target_only,pilot_train,yes,no,clean_control,wdtrain06_clean_control,Remove the water droplet.,9600,"A realistic locked-camera macro video of a brushed aluminum sheet in one continuous shot. Exactly one compact clear water bead is already resting at the center in the first frame and remains in the same place throughout. The surrounding surface stays dry. No falling water, impact, splash, wet patch, ring, trail, or spreading occurs. Nothing else changes."
wdtrain06_unrelated_footprint,wdtrain06,wdsimple0180,hard_surface_15,hard_surface,brushed aluminum sheet,unrelated_footprint,pilot_train,no,yes,unrelated_footprint,wdtrain06_unrelated_footprint,Remove the water droplet.,9600,"A realistic locked-camera macro video of a brushed aluminum sheet in one continuous shot. A clearly visible a thin white chalk circle is already centered on the otherwise clean dry surface and remains unchanged throughout. It is a dry solid marking, not water. No water, droplet, wet patch, splash, or ripple appears. The camera, receiver, marking, lighting, and background remain fixed."
wdtrain06_clean_control,wdtrain06,wdsimple0180,hard_surface_15,hard_surface,brushed aluminum sheet,clean_control,pilot_train,no,no,clean_control,wdtrain06_clean_control,Remove the water droplet.,9600,"A realistic locked-camera macro video of a brushed aluminum sheet in one continuous shot. The surface is completely empty, clean, and dry in every frame. No water, droplet, wet mark, ring, splash, object, person, shadow movement, or lighting change appears. The camera, receiver, texture, and background remain fixed throughout."
wdtrain07_explicit_causal,wdtrain07,wdsimple0188,hard_surface_19,hard_surface,flat cast-iron griddle,explicit_causal,pilot_train,yes,yes,clean_control,wdtrain07_clean_control,Remove the water droplet.,9600,"A realistic locked-camera macro video of a flat cast-iron griddle in one continuous shot. The clean dry surface is still for the first two seconds. Then exactly one clear water droplet falls from above, strikes the center, and visibly creates a small wet ring and a few short outward splash streaks. The bead and its wet causal footprint remain visible. No other object enters. The camera, receiver, lighting, and background remain fixed."
wdtrain07_target_only,wdtrain07,wdsimple0188,hard_surface_19,hard_surface,flat cast-iron griddle,target_only,pilot_train,yes,no,clean_control,wdtrain07_clean_control,Remove the water droplet.,9600,"A realistic locked-camera macro video of a flat cast-iron griddle in one continuous shot. Exactly one compact clear water bead is already resting at the center in the first frame and remains in the same place throughout. The surrounding surface stays dry. No falling water, impact, splash, wet patch, ring, trail, or spreading occurs. Nothing else changes."
wdtrain07_unrelated_footprint,wdtrain07,wdsimple0188,hard_surface_19,hard_surface,flat cast-iron griddle,unrelated_footprint,pilot_train,no,yes,unrelated_footprint,wdtrain07_unrelated_footprint,Remove the water droplet.,9600,"A realistic locked-camera macro video of a flat cast-iron griddle in one continuous shot. A clearly visible a small ring made of fine pale sand grains is already centered on the otherwise clean dry surface and remains unchanged throughout. It is a dry solid marking, not water. No water, droplet, wet patch, splash, or ripple appears. The camera, receiver, marking, lighting, and background remain fixed."
wdtrain07_clean_control,wdtrain07,wdsimple0188,hard_surface_19,hard_surface,flat cast-iron griddle,clean_control,pilot_train,no,no,clean_control,wdtrain07_clean_control,Remove the water droplet.,9600,"A realistic locked-camera macro video of a flat cast-iron griddle in one continuous shot. The surface is completely empty, clean, and dry in every frame. No water, droplet, wet mark, ring, splash, object, person, shadow movement, or lighting change appears. The camera, receiver, texture, and background remain fixed throughout."
wdtrain08_explicit_causal,wdtrain08,wdsimple0190,hard_surface_20,hard_surface,black nonstick baking tray,explicit_causal,pilot_train,yes,yes,clean_control,wdtrain08_clean_control,Remove the water droplet.,9600,"A realistic locked-camera macro video of a black nonstick baking tray in one continuous shot. The clean dry surface is still for the first two seconds. Then exactly one clear water droplet falls from above, strikes the center, and visibly creates a compact circular wet patch and several tiny radial splash marks. The bead and its wet causal footprint remain visible. No other object enters. The camera, receiver, lighting, and background remain fixed."
wdtrain08_target_only,wdtrain08,wdsimple0190,hard_surface_20,hard_surface,black nonstick baking tray,target_only,pilot_train,yes,no,clean_control,wdtrain08_clean_control,Remove the water droplet.,9600,"A realistic locked-camera macro video of a black nonstick baking tray in one continuous shot. Exactly one compact clear water bead is already resting at the center in the first frame and remains in the same place throughout. The surrounding surface stays dry. No falling water, impact, splash, wet patch, ring, trail, or spreading occurs. Nothing else changes."
wdtrain08_unrelated_footprint,wdtrain08,wdsimple0190,hard_surface_20,hard_surface,black nonstick baking tray,unrelated_footprint,pilot_train,no,yes,unrelated_footprint,wdtrain08_unrelated_footprint,Remove the water droplet.,9600,"A realistic locked-camera macro video of a black nonstick baking tray in one continuous shot. A clearly visible a thin white chalk circle is already centered on the otherwise clean dry surface and remains unchanged throughout. It is a dry solid marking, not water. No water, droplet, wet patch, splash, or ripple appears. The camera, receiver, marking, lighting, and background remain fixed."
wdtrain08_clean_control,wdtrain08,wdsimple0190,hard_surface_20,hard_surface,black nonstick baking tray,clean_control,pilot_train,no,no,clean_control,wdtrain08_clean_control,Remove the water droplet.,9600,"A realistic locked-camera macro video of a black nonstick baking tray in one continuous shot. The surface is completely empty, clean, and dry in every frame. No water, droplet, wet mark, ring, splash, object, person, shadow movement, or lighting change appears. The camera, receiver, texture, and background remain fixed throughout."
wdtrain09_explicit_causal,wdtrain09,wdsimple0200,hard_surface_25,hard_surface,sealed hardwood tabletop,explicit_causal,pilot_train,yes,yes,clean_control,wdtrain09_clean_control,Remove the water droplet.,9600,"A realistic locked-camera macro video of a sealed hardwood tabletop in one continuous shot. The clean dry surface is still for the first two seconds. Then exactly one clear water droplet falls from above, strikes the center, and visibly creates a small wet ring and a few short outward splash streaks. The bead and its wet causal footprint remain visible. No other object enters. The camera, receiver, lighting, and background remain fixed."
wdtrain09_target_only,wdtrain09,wdsimple0200,hard_surface_25,hard_surface,sealed hardwood tabletop,target_only,pilot_train,yes,no,clean_control,wdtrain09_clean_control,Remove the water droplet.,9600,"A realistic locked-camera macro video of a sealed hardwood tabletop in one continuous shot. Exactly one compact clear water bead is already resting at the center in the first frame and remains in the same place throughout. The surrounding surface stays dry. No falling water, impact, splash, wet patch, ring, trail, or spreading occurs. Nothing else changes."
wdtrain09_unrelated_footprint,wdtrain09,wdsimple0200,hard_surface_25,hard_surface,sealed hardwood tabletop,unrelated_footprint,pilot_train,no,yes,unrelated_footprint,wdtrain09_unrelated_footprint,Remove the water droplet.,9600,"A realistic locked-camera macro video of a sealed hardwood tabletop in one continuous shot. A clearly visible a small ring made of fine pale sand grains is already centered on the otherwise clean dry surface and remains unchanged throughout. It is a dry solid marking, not water. No water, droplet, wet patch, splash, or ripple appears. The camera, receiver, marking, lighting, and background remain fixed."
wdtrain09_clean_control,wdtrain09,wdsimple0200,hard_surface_25,hard_surface,sealed hardwood tabletop,clean_control,pilot_train,no,no,clean_control,wdtrain09_clean_control,Remove the water droplet.,9600,"A realistic locked-camera macro video of a sealed hardwood tabletop in one continuous shot. The surface is completely empty, clean, and dry in every frame. No water, droplet, wet mark, ring, splash, object, person, shadow movement, or lighting change appears. The camera, receiver, texture, and background remain fixed throughout."
