pair_id,sample_id,batch,seed,receiver,receiver_key,footprint_family,split,prompt,target_concept,expected_effect,factual_video,target_video,clean_reference,reference_end_exclusive,first_frame_reference_mae_255
waterdrop_034,wdt000,seed8600,8600,calm shallow pond,pond,splash_ripple,reserved_external_eval_overlap,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, the perfectly flat surface of a calm shallow pond remains completely still. Then one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water. Only after contact, a small crown splash appears and new concentric ripples spread outward.",single falling water droplet,a crown splash and concentric ripples begin only after contact,outputs/waterdrop_scene_probe30_repeat_wan_seed8600_8629/part_a/videos/000_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8600.mp4,outputs/waterdrop_seed8600_pass12_aligned_pairs/wdt000_seed8600/counterfactual_static.mp4,outputs/waterdrop_seed8600_pass12_aligned_pairs/wdt000_seed8600/clean_reference.png,12,0.7542
waterdrop_035,wdt001,seed8600,8601,glass bowl filled with water,liquid_container,splash_ripple,train_candidate,"A realistic fixed-camera close-up video in one continuous shot. During the first two seconds, a transparent glass bowl filled with water remains completely still and level. Then one large clear water droplet enters from above, falls visibly into the center of the bowl, and contacts the water. Only after contact, a small splash rises and circular ripples spread across the bowl.",single falling water droplet,a small splash and circular ripples begin only after contact,outputs/waterdrop_scene_probe30_repeat_wan_seed8600_8629/part_a/videos/001_a-realistic-fixed-camera-close-up-video-in-one-continuous-shot-during-th_seed8601.mp4,outputs/waterdrop_seed8600_pass12_aligned_pairs/wdt001_seed8601/counterfactual_static.mp4,outputs/waterdrop_seed8600_pass12_aligned_pairs/wdt001_seed8601/clean_reference.png,28,0.8894
waterdrop_036,wdt002,seed8600,8602,ceramic cup filled with water,cup,splash_ripple,reserved_external_eval_overlap,"A realistic fixed-camera close-up video in one continuous shot. During the first two seconds, the water inside a plain white ceramic cup remains calm and motionless. Then one large clear water droplet enters from above, falls visibly into the center of the cup, and contacts the water. Only after contact, the liquid makes a small splash and begins to ripple.",single falling water droplet,the water splashes and ripples only after contact,outputs/waterdrop_scene_probe30_repeat_wan_seed8600_8629/part_a/videos/002_a-realistic-fixed-camera-close-up-video-in-one-continuous-shot-during-th_seed8602.mp4,outputs/waterdrop_seed8600_pass12_aligned_pairs/wdt002_seed8602/counterfactual_static.mp4,outputs/waterdrop_seed8600_pass12_aligned_pairs/wdt002_seed8602/clean_reference.png,24,0.7288
waterdrop_037,wdt003,seed8600,8603,metal bucket filled with water,bucket,splash_ripple,internal_receiver_holdout,"A realistic fixed-camera close-up video in one continuous shot. During the first two seconds, the water inside a clean metal bucket remains flat and motionless. Then one large clear water droplet enters from above, falls visibly into the center of the bucket, and contacts the water. Only after contact, a small splash and spreading ripples appear.",single falling water droplet,a splash and spreading ripples begin only after contact,outputs/waterdrop_scene_probe30_repeat_wan_seed8600_8629/part_a/videos/003_a-realistic-fixed-camera-close-up-video-in-one-continuous-shot-during-th_seed8603.mp4,outputs/waterdrop_seed8600_pass12_aligned_pairs/wdt003_seed8603/counterfactual_static.mp4,outputs/waterdrop_seed8600_pass12_aligned_pairs/wdt003_seed8603/clean_reference.png,12,0.8149
waterdrop_038,wdt004,seed8600,8604,shallow puddle,liquid_container,splash_ripple,train_candidate,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a shallow puddle on a flat dark surface remains completely still. Then one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the puddle. Only after contact, a small splash and concentric ripples appear.",single falling water droplet,a small splash and concentric ripples begin only after contact,outputs/waterdrop_scene_probe30_repeat_wan_seed8600_8629/part_a/videos/004_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8604.mp4,outputs/waterdrop_seed8600_pass12_aligned_pairs/wdt004_seed8604/counterfactual_static.mp4,outputs/waterdrop_seed8600_pass12_aligned_pairs/wdt004_seed8604/clean_reference.png,12,0.6464
waterdrop_039,wdt005,seed8600,8605,aquarium water surface,liquid_container,splash_ripple,train_candidate,"A realistic fixed-camera close-up video in one continuous shot. During the first two seconds, the upper water surface inside a clean empty aquarium remains completely flat and still. Then one large clear water droplet enters from above, falls visibly downward, and contacts the center of the water surface. Only after contact, a small splash and outward-moving ripples appear.",single falling water droplet,a splash and outward-moving ripples begin only after contact,outputs/waterdrop_scene_probe30_repeat_wan_seed8600_8629/part_a/videos/005_a-realistic-fixed-camera-close-up-video-in-one-continuous-shot-during-th_seed8605.mp4,outputs/waterdrop_seed8600_pass12_aligned_pairs/wdt005_seed8605/counterfactual_static.mp4,outputs/waterdrop_seed8600_pass12_aligned_pairs/wdt005_seed8605/clean_reference.png,12,1.6084
waterdrop_040,wdt006,seed8600,8606,dark-gray ceramic tile,hard_surface,splash_wet_mark,train_candidate,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a clean dark-gray ceramic tile remains completely dry and unchanged. Then one large clear water droplet enters from the top of the frame, falls visibly downward, and strikes the center of the tile. Only after impact, water splashes outward and a wet spot forms.",single falling water droplet,a radial splash and wet spot begin only after impact,outputs/waterdrop_scene_probe30_repeat_wan_seed8600_8629/part_a/videos/006_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8606.mp4,outputs/waterdrop_seed8600_pass12_aligned_pairs/wdt006_seed8606/counterfactual_static.mp4,outputs/waterdrop_seed8600_pass12_aligned_pairs/wdt006_seed8606/clean_reference.png,24,1.7444
waterdrop_041,wdt007,seed8600,8607,stainless-steel tray,tray,splash_wet_mark,reserved_external_eval_overlap,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a clean stainless-steel tray remains completely dry and unchanged. Then one large clear water droplet enters from above, falls visibly downward, and strikes the center of the tray. Only after impact, water splashes outward and small beads remain on the metal.",single falling water droplet,a splash and water beads appear only after impact,outputs/waterdrop_scene_probe30_repeat_wan_seed8600_8629/part_a/videos/007_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8607.mp4,outputs/waterdrop_seed8600_pass12_aligned_pairs/wdt007_seed8607/counterfactual_static.mp4,outputs/waterdrop_seed8600_pass12_aligned_pairs/wdt007_seed8607/clean_reference.png,16,0.8398
waterdrop_042,wdt008,seed8600,8608,glass tabletop,glass_tabletop,splash_wet_mark,internal_receiver_holdout,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a clean transparent glass tabletop remains completely dry and unchanged. Then one large clear water droplet enters from above, falls visibly downward, and strikes the center of the glass. Only after impact, water splashes outward and clear beads remain on the surface.",single falling water droplet,a splash and clear water beads appear only after impact,outputs/waterdrop_scene_probe30_repeat_wan_seed8600_8629/part_a/videos/008_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8608.mp4,outputs/waterdrop_seed8600_pass12_aligned_pairs/wdt008_seed8608/counterfactual_static.mp4,outputs/waterdrop_seed8600_pass12_aligned_pairs/wdt008_seed8608/clean_reference.png,12,0.6554
waterdrop_043,wdt011,seed8600,8611,plastic cutting board,cutting_board,splash_wet_mark,reserved_external_eval_overlap,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a clean blue plastic cutting board remains completely dry and unchanged. Then one large clear water droplet enters from above, falls visibly downward, and strikes the center of the board. Only after impact, water splashes outward and small beads remain.",single falling water droplet,a splash and water beads appear only after impact,outputs/waterdrop_scene_probe30_repeat_wan_seed8600_8629/part_a/videos/011_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8611.mp4,outputs/waterdrop_seed8600_pass12_aligned_pairs/wdt011_seed8611/counterfactual_static.mp4,outputs/waterdrop_seed8600_pass12_aligned_pairs/wdt011_seed8611/clean_reference.png,32,0.6579
waterdrop_044,wdt015,seed8600,8615,kitchen sponge,sponge,spreading_wet_patch,internal_receiver_holdout,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a clean yellow kitchen sponge remains completely dry and unchanged. Then one large clear water droplet enters from above, falls visibly downward, and lands at the center of the sponge. Only after contact, the water is absorbed and a darker wet area slowly grows.",single falling water droplet,a darker absorbed wet area grows only after contact,outputs/waterdrop_scene_probe30_repeat_wan_seed8600_8629/part_b/videos/000_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8615.mp4,outputs/waterdrop_seed8600_pass12_aligned_pairs/wdt015_seed8615/counterfactual_static.mp4,outputs/waterdrop_seed8600_pass12_aligned_pairs/wdt015_seed8615/clean_reference.png,4,1.0979
waterdrop_045,wdu000,seed8700,8700,calm shallow pond,pond,splash_ripple,reserved_external_eval_overlap,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, the perfectly flat surface of a calm shallow pond remains completely still. Then one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water. Only after contact, a small crown splash appears and new concentric ripples spread outward.",single falling water droplet,a crown splash and concentric ripples begin only after contact,outputs/waterdrop_scene_probe30_repeat_wan_seed8700_8729/part_a/videos/000_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8700.mp4,outputs/waterdrop_seed8700_pass11_aligned_pairs/wdu000_seed8700/counterfactual_static.mp4,outputs/waterdrop_seed8700_pass11_aligned_pairs/wdu000_seed8700/clean_reference.png,16,0.6522
waterdrop_046,wdu002,seed8700,8702,ceramic cup filled with water,cup,splash_ripple,reserved_external_eval_overlap,"A realistic fixed-camera close-up video in one continuous shot. During the first two seconds, the water inside a plain white ceramic cup remains calm and motionless. Then one large clear water droplet enters from above, falls visibly into the center of the cup, and contacts the water. Only after contact, the liquid makes a small splash and begins to ripple.",single falling water droplet,the water splashes and ripples only after contact,outputs/waterdrop_scene_probe30_repeat_wan_seed8700_8729/part_a/videos/002_a-realistic-fixed-camera-close-up-video-in-one-continuous-shot-during-th_seed8702.mp4,outputs/waterdrop_seed8700_pass11_aligned_pairs/wdu002_seed8702/counterfactual_static.mp4,outputs/waterdrop_seed8700_pass11_aligned_pairs/wdu002_seed8702/clean_reference.png,16,0.6042
waterdrop_047,wdu003,seed8700,8703,metal bucket filled with water,bucket,splash_ripple,internal_receiver_holdout,"A realistic fixed-camera close-up video in one continuous shot. During the first two seconds, the water inside a clean metal bucket remains flat and motionless. Then one large clear water droplet enters from above, falls visibly into the center of the bucket, and contacts the water. Only after contact, a small splash and spreading ripples appear.",single falling water droplet,a splash and spreading ripples begin only after contact,outputs/waterdrop_scene_probe30_repeat_wan_seed8700_8729/part_a/videos/003_a-realistic-fixed-camera-close-up-video-in-one-continuous-shot-during-th_seed8703.mp4,outputs/waterdrop_seed8700_pass11_aligned_pairs/wdu003_seed8703/counterfactual_static.mp4,outputs/waterdrop_seed8700_pass11_aligned_pairs/wdu003_seed8703/clean_reference.png,12,1.0372
waterdrop_048,wdu004,seed8700,8704,shallow puddle,liquid_container,splash_ripple,train_candidate,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a shallow puddle on a flat dark surface remains completely still. Then one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the puddle. Only after contact, a small splash and concentric ripples appear.",single falling water droplet,a small splash and concentric ripples begin only after contact,outputs/waterdrop_scene_probe30_repeat_wan_seed8700_8729/part_a/videos/004_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8704.mp4,outputs/waterdrop_seed8700_pass11_aligned_pairs/wdu004_seed8704/counterfactual_static.mp4,outputs/waterdrop_seed8700_pass11_aligned_pairs/wdu004_seed8704/clean_reference.png,8,0.6380
waterdrop_049,wdu006,seed8700,8706,dark-gray ceramic tile,hard_surface,splash_wet_mark,train_candidate,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a clean dark-gray ceramic tile remains completely dry and unchanged. Then one large clear water droplet enters from the top of the frame, falls visibly downward, and strikes the center of the tile. Only after impact, water splashes outward and a wet spot forms.",single falling water droplet,a radial splash and wet spot begin only after impact,outputs/waterdrop_scene_probe30_repeat_wan_seed8700_8729/part_a/videos/006_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8706.mp4,outputs/waterdrop_seed8700_pass11_aligned_pairs/wdu006_seed8706/counterfactual_static.mp4,outputs/waterdrop_seed8700_pass11_aligned_pairs/wdu006_seed8706/clean_reference.png,20,1.1666
waterdrop_050,wdu007,seed8700,8707,stainless-steel tray,tray,splash_wet_mark,reserved_external_eval_overlap,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a clean stainless-steel tray remains completely dry and unchanged. Then one large clear water droplet enters from above, falls visibly downward, and strikes the center of the tray. Only after impact, water splashes outward and small beads remain on the metal.",single falling water droplet,a splash and water beads appear only after impact,outputs/waterdrop_scene_probe30_repeat_wan_seed8700_8729/part_a/videos/007_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8707.mp4,outputs/waterdrop_seed8700_pass11_aligned_pairs/wdu007_seed8707/counterfactual_static.mp4,outputs/waterdrop_seed8700_pass11_aligned_pairs/wdu007_seed8707/clean_reference.png,16,0.7557
waterdrop_051,wdu008,seed8700,8708,glass tabletop,glass_tabletop,splash_wet_mark,internal_receiver_holdout,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a clean transparent glass tabletop remains completely dry and unchanged. Then one large clear water droplet enters from above, falls visibly downward, and strikes the center of the glass. Only after impact, water splashes outward and clear beads remain on the surface.",single falling water droplet,a splash and clear water beads appear only after impact,outputs/waterdrop_scene_probe30_repeat_wan_seed8700_8729/part_a/videos/008_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8708.mp4,outputs/waterdrop_seed8700_pass11_aligned_pairs/wdu008_seed8708/counterfactual_static.mp4,outputs/waterdrop_seed8700_pass11_aligned_pairs/wdu008_seed8708/clean_reference.png,16,0.7181
waterdrop_052,wdu014,seed8700,8714,brown cardboard,cardboard,spreading_wet_patch,internal_receiver_holdout,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a flat piece of plain brown cardboard remains completely clean and dry. Then one large clear water droplet enters from above, falls visibly downward, and lands at the center of the cardboard. Only after contact, a small dark wet spot appears and slowly spreads outward.",single falling water droplet,a dark wet spot appears and spreads only after contact,outputs/waterdrop_scene_probe30_repeat_wan_seed8700_8729/part_a/videos/014_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8714.mp4,outputs/waterdrop_seed8700_pass11_aligned_pairs/wdu014_seed8714/counterfactual_static.mp4,outputs/waterdrop_seed8700_pass11_aligned_pairs/wdu014_seed8714/clean_reference.png,16,1.2057
waterdrop_053,wdu015,seed8700,8715,kitchen sponge,sponge,spreading_wet_patch,internal_receiver_holdout,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a clean yellow kitchen sponge remains completely dry and unchanged. Then one large clear water droplet enters from above, falls visibly downward, and lands at the center of the sponge. Only after contact, the water is absorbed and a darker wet area slowly grows.",single falling water droplet,a darker absorbed wet area grows only after contact,outputs/waterdrop_scene_probe30_repeat_wan_seed8700_8729/part_b/videos/000_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8715.mp4,outputs/waterdrop_seed8700_pass11_aligned_pairs/wdu015_seed8715/counterfactual_static.mp4,outputs/waterdrop_seed8700_pass11_aligned_pairs/wdu015_seed8715/clean_reference.png,12,1.3942
waterdrop_054,wdu016,seed8700,8716,unfinished pale wood,wood,spreading_wet_patch,train_candidate,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a smooth piece of unfinished pale wood remains completely clean and dry. Then one large clear water droplet enters from above, falls visibly downward, and lands at the center of the wood. Only after contact, a darker wet mark appears and slowly spreads along the grain.",single falling water droplet,a dark wet mark appears and spreads only after contact,outputs/waterdrop_scene_probe30_repeat_wan_seed8700_8729/part_b/videos/001_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed8716.mp4,outputs/waterdrop_seed8700_pass11_aligned_pairs/wdu016_seed8716/counterfactual_static.mp4,outputs/waterdrop_seed8700_pass11_aligned_pairs/wdu016_seed8716/clean_reference.png,16,1.1227
