scene_id,source_scene_id,family,receiver,variant,generation_prompt_type,result_mentioned_in_prompt,erase_instruction,causal_footprint,shard,shard_index,fixed_seed
wdimplicit0084,wdsimple0218,hard_surface,glazed ceramic coaster,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,0,21,9000
wdimplicit0088,wdsimple0226,hard_surface,porcelain bathtub ledge,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,0,22,9000
wdimplicit0092,wdsimple0234,hard_surface,camera filter glass,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,0,23,9000
wdimplicit0096,wdsimple0242,hard_surface,polished jade slab,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,0,24,9000
wdimplicit0001,wdsimple0003,liquid_surface,a transparent glass mixing bowl filled with water,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,1,0,9000
wdimplicit0005,wdsimple0015,liquid_surface,a rectangular glass aquarium filled with water,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,1,1,9000
wdimplicit0009,wdsimple0027,liquid_surface,a small garden fountain basin with the pump turned off,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,1,2,9000
wdimplicit0013,wdsimple0039,liquid_surface,a black cooking pot filled with water,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,1,3,9000
wdimplicit0017,wdsimple0051,liquid_surface,a plain glass tumbler filled with water,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,1,4,9000
wdimplicit0021,wdsimple0063,liquid_surface,a white bathtub filled with still water,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,1,5,9000
wdimplicit0025,wdsimple0075,liquid_surface,a blue plastic storage tub filled with water,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,1,6,9000
wdimplicit0029,wdsimple0087,liquid_surface,a polished copper bowl filled with water,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,1,7,9000
wdimplicit0033,wdsimple0099,liquid_surface,a clear acrylic tank filled with water,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,1,8,9000
wdimplicit0037,wdsimple0111,liquid_surface,a sealed wooden bowl filled with water,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,1,9,9000
wdimplicit0041,wdsimple0123,liquid_surface,a leaf-shaped ceramic dish filled with water,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,1,10,9000
wdimplicit0045,wdsimple0135,liquid_surface,a rooftop puddle on a flat membrane surface,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,1,11,9000
wdimplicit0049,wdsimple0147,liquid_surface,a small rectangular water trough,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,1,12,9000
wdimplicit0053,wdsimple0156,hard_surface,polished dark marble slab,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,1,13,9000
wdimplicit0057,wdsimple0164,hard_surface,white quartz countertop,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,1,14,9000
wdimplicit0061,wdsimple0172,hard_surface,vinyl flooring sample,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,1,15,9000
wdimplicit0065,wdsimple0180,hard_surface,brushed aluminum sheet,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,1,16,9000
wdimplicit0069,wdsimple0188,hard_surface,flat cast-iron griddle,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,1,17,9000
wdimplicit0073,wdsimple0196,hard_surface,polycarbonate panel,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,1,18,9000
wdimplicit0077,wdsimple0204,hard_surface,lacquered wood panel,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,1,19,9000
wdimplicit0081,wdsimple0212,hard_surface,glazed brick,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,1,20,9000
wdimplicit0085,wdsimple0220,hard_surface,clear glass coaster,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,1,21,9000
wdimplicit0089,wdsimple0228,hard_surface,flat section of a painted car hood,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,1,22,9000
wdimplicit0093,wdsimple0236,hard_surface,laboratory resin worktop,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,1,23,9000
wdimplicit0097,wdsimple0244,hard_surface,terrazzo tile,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,1,24,9000
wdimplicit0002,wdsimple0006,liquid_surface,a plain white ceramic cup filled with water,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,2,0,9000
wdimplicit0006,wdsimple0018,liquid_surface,a stainless-steel kitchen sink basin filled with water,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,2,1,9000
wdimplicit0010,wdsimple0030,liquid_surface,a laboratory beaker filled with clear water,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,2,2,9000
wdimplicit0014,wdsimple0042,liquid_surface,a porcelain soup bowl filled with water,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,2,3,9000
wdimplicit0018,wdsimple0054,liquid_surface,a wide-mouth mason jar filled with water,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,2,4,9000
wdimplicit0022,wdsimple0066,liquid_surface,a shallow white shower tray holding a thin layer of water,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,2,5,9000
wdimplicit0026,wdsimple0078,liquid_surface,one compartment of a white ice-cube tray filled with water,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,2,6,9000
wdimplicit0030,wdsimple0090,liquid_surface,a polished brass bowl filled with water,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,2,7,9000
wdimplicit0034,wdsimple0102,liquid_surface,a shallow laboratory glass tray filled with water,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,2,8,9000
wdimplicit0038,wdsimple0114,liquid_surface,a clean coconut-shell cup filled with water,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,2,9,9000
wdimplicit0042,wdsimple0126,liquid_surface,a laboratory petri dish filled with water,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,2,10,9000
wdimplicit0046,wdsimple0138,liquid_surface,a rain-filled road pothole,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,2,11,9000
wdimplicit0050,wdsimple0150,hard_surface,dark-gray ceramic tile,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,2,12,9000
wdimplicit0054,wdsimple0158,hard_surface,plain white ceramic plate,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,2,13,9000
wdimplicit0058,wdsimple0166,hard_surface,dark slate tile,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,2,14,9000
wdimplicit0062,wdsimple0174,hard_surface,porcelain sink ledge,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,2,15,9000
wdimplicit0066,wdsimple0182,hard_surface,polished copper plate,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,2,16,9000
wdimplicit0070,wdsimple0190,hard_surface,black nonstick baking tray,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,2,17,9000
wdimplicit0074,wdsimple0198,hard_surface,rigid white PVC board,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,2,18,9000
wdimplicit0078,wdsimple0206,hard_surface,painted metal cabinet top,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,2,19,9000
wdimplicit0082,wdsimple0214,hard_surface,glazed pottery lid,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,2,20,9000
wdimplicit0086,wdsimple0222,hard_surface,stainless-steel coaster,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,2,21,9000
wdimplicit0090,wdsimple0230,hard_surface,flat smartphone glass screen,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,2,22,9000
wdimplicit0094,wdsimple0238,hard_surface,smooth whiteboard panel,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,2,23,9000
wdimplicit0098,wdsimple0246,hard_surface,glazed porcelain floor tile,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,2,24,9000
wdimplicit0003,wdsimple0009,liquid_surface,a clean metal bucket filled with water,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,3,0,9000
wdimplicit0007,wdsimple0021,liquid_surface,a white enamel washbasin filled with water,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,3,1,9000
wdimplicit0011,wdsimple0033,liquid_surface,a transparent measuring jug filled with water,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,3,2,9000
wdimplicit0015,wdsimple0045,liquid_surface,a small porcelain teacup filled with water,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,3,3,9000
wdimplicit0019,wdsimple0057,liquid_surface,a short glass flower vase filled with water,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,3,4,9000
wdimplicit0023,wdsimple0069,liquid_surface,an open rain barrel filled with water,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,3,5,9000
wdimplicit0027,wdsimple0081,liquid_surface,a stainless-steel pet water bowl,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,3,6,9000
wdimplicit0031,wdsimple0093,liquid_surface,a shallow aluminum pan filled with water,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,3,7,9000
wdimplicit0035,wdsimple0105,liquid_surface,a glazed ceramic baking dish filled with water,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,3,8,9000
wdimplicit0039,wdsimple0117,liquid_surface,a large seashell holding a pool of water,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,3,9,9000
wdimplicit0043,wdsimple0129,liquid_surface,a concave laboratory watch glass holding water,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,3,10,9000
wdimplicit0047,wdsimple0141,liquid_surface,a shallow puddle on a flat stone step,0,implicit_outcome,false,Remove the water droplet.,a small crown splash rises and concentric ripples spread outward,3,11,9000
wdimplicit0051,wdsimple0152,hard_surface,stainless-steel tray,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,3,12,9000
wdimplicit0055,wdsimple0160,hard_surface,blue plastic cutting board,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,3,13,9000
wdimplicit0059,wdsimple0168,hard_surface,polished concrete slab,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,3,14,9000
wdimplicit0063,wdsimple0176,hard_surface,white enamel stove surface,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,3,15,9000
wdimplicit0067,wdsimple0184,hard_surface,polished brass plate,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,3,16,9000
wdimplicit0071,wdsimple0192,hard_surface,clear glass plate,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,3,17,9000
wdimplicit0075,wdsimple0200,hard_surface,sealed hardwood tabletop,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,3,18,9000
wdimplicit0079,wdsimple0208,hard_surface,tempered-glass refrigerator shelf,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,3,19,9000
wdimplicit0083,wdsimple0216,hard_surface,polished stone coaster,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,3,20,9000
wdimplicit0087,wdsimple0224,hard_surface,rigid plastic cafeteria tray,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,3,21,9000
wdimplicit0091,wdsimple0232,hard_surface,laptop glass trackpad,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,3,22,9000
wdimplicit0095,wdsimple0240,hard_surface,polished obsidian slab,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,3,23,9000
wdimplicit0099,wdsimple0248,hard_surface,sealed concrete paver,0,implicit_outcome,false,Remove the water droplet.,a brief radial splash appears and several clear water beads remain,3,24,9000
