scene_id,source_scene_id,family,mechanism,receiver_id,receiver,variant,surface_condition,impact_location,causal_footprint,generation_prompt_type,result_mentioned_in_prompt,erase_instruction,seed_policy,prompt
wdimplicit0014,wdsimple0042,liquid_surface,surface_flow,liquid_surface_14,a porcelain soup bowl filled with water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a porcelain soup bowl filled with water is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0015,wdsimple0045,liquid_surface,surface_flow,liquid_surface_15,a small porcelain teacup filled with water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a small porcelain teacup filled with water is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0016,wdsimple0048,liquid_surface,surface_flow,liquid_surface_16,a clear stemmed wine glass filled with water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a clear stemmed wine glass filled with water is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0017,wdsimple0051,liquid_surface,surface_flow,liquid_surface_17,a plain glass tumbler filled with water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a plain glass tumbler filled with water is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0018,wdsimple0054,liquid_surface,surface_flow,liquid_surface_18,a wide-mouth mason jar filled with water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a wide-mouth mason jar filled with water is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0019,wdsimple0057,liquid_surface,surface_flow,liquid_surface_19,a short glass flower vase filled with water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a short glass flower vase filled with water is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0020,wdsimple0060,liquid_surface,surface_flow,liquid_surface_20,a wide porcelain basin filled with water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a wide porcelain basin filled with water is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0021,wdsimple0063,liquid_surface,surface_flow,liquid_surface_21,a white bathtub filled with still water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a white bathtub filled with still water is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0022,wdsimple0066,liquid_surface,surface_flow,liquid_surface_22,a shallow white shower tray holding a thin layer of water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a shallow white shower tray holding a thin layer of water is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0023,wdsimple0069,liquid_surface,surface_flow,liquid_surface_23,an open rain barrel filled with water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, an open rain barrel filled with water is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0024,wdsimple0072,liquid_surface,surface_flow,liquid_surface_24,an open metal pail filled with water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, an open metal pail filled with water is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0025,wdsimple0075,liquid_surface,surface_flow,liquid_surface_25,a blue plastic storage tub filled with water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a blue plastic storage tub filled with water is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0026,wdsimple0078,liquid_surface,surface_flow,liquid_surface_26,one compartment of a white ice-cube tray filled with water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, one compartment of a white ice-cube tray filled with water is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0027,wdsimple0081,liquid_surface,surface_flow,liquid_surface_27,a stainless-steel pet water bowl,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a stainless-steel pet water bowl is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0028,wdsimple0084,liquid_surface,surface_flow,liquid_surface_28,a carved granite basin filled with water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a carved granite basin filled with water is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0029,wdsimple0087,liquid_surface,surface_flow,liquid_surface_29,a polished copper bowl filled with water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a polished copper bowl filled with water is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0030,wdsimple0090,liquid_surface,surface_flow,liquid_surface_30,a polished brass bowl filled with water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a polished brass bowl filled with water is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0031,wdsimple0093,liquid_surface,surface_flow,liquid_surface_31,a shallow aluminum pan filled with water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a shallow aluminum pan filled with water is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0032,wdsimple0096,liquid_surface,surface_flow,liquid_surface_32,a rectangular glass baking dish filled with water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a rectangular glass baking dish filled with water is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0033,wdsimple0099,liquid_surface,surface_flow,liquid_surface_33,a clear acrylic tank filled with water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a clear acrylic tank filled with water is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0034,wdsimple0102,liquid_surface,surface_flow,liquid_surface_34,a shallow laboratory glass tray filled with water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a shallow laboratory glass tray filled with water is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0035,wdsimple0105,liquid_surface,surface_flow,liquid_surface_35,a glazed ceramic baking dish filled with water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a glazed ceramic baking dish filled with water is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0036,wdsimple0108,liquid_surface,surface_flow,liquid_surface_36,a black stone bowl filled with water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a black stone bowl filled with water is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0037,wdsimple0111,liquid_surface,surface_flow,liquid_surface_37,a sealed wooden bowl filled with water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a sealed wooden bowl filled with water is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0038,wdsimple0114,liquid_surface,surface_flow,liquid_surface_38,a clean coconut-shell cup filled with water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a clean coconut-shell cup filled with water is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0039,wdsimple0117,liquid_surface,surface_flow,liquid_surface_39,a large seashell holding a pool of water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a large seashell holding a pool of water is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0040,wdsimple0120,liquid_surface,surface_flow,liquid_surface_40,a natural rock depression holding rainwater,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a natural rock depression holding rainwater is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0041,wdsimple0123,liquid_surface,surface_flow,liquid_surface_41,a leaf-shaped ceramic dish filled with water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a leaf-shaped ceramic dish filled with water is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0042,wdsimple0126,liquid_surface,surface_flow,liquid_surface_42,a laboratory petri dish filled with water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a laboratory petri dish filled with water is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0043,wdsimple0129,liquid_surface,surface_flow,liquid_surface_43,a concave laboratory watch glass holding water,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a concave laboratory watch glass holding water is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0044,wdsimple0132,liquid_surface,surface_flow,liquid_surface_44,a shallow puddle on a microscope glass slide,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a shallow puddle on a microscope glass slide is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0045,wdsimple0135,liquid_surface,surface_flow,liquid_surface_45,a rooftop puddle on a flat membrane surface,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a rooftop puddle on a flat membrane surface is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0046,wdsimple0138,liquid_surface,surface_flow,liquid_surface_46,a rain-filled road pothole,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a rain-filled road pothole is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0047,wdsimple0141,liquid_surface,surface_flow,liquid_surface_47,a shallow puddle on a flat stone step,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a shallow puddle on a flat stone step is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0048,wdsimple0144,liquid_surface,surface_flow,liquid_surface_48,a still indoor decorative pool,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a still indoor decorative pool is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0049,wdsimple0147,liquid_surface,surface_flow,liquid_surface_49,a small rectangular water trough,0,"completely still, with a perfectly flat water surface",the center of the water surface,a small crown splash rises and concentric ripples spread outward,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, a small rectangular water trough is completely still, with a perfectly flat water surface. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the water surface. The camera and lighting remain fixed throughout."
wdimplicit0050,wdsimple0150,hard_surface,surface_residue,hard_surface_00,dark-gray ceramic tile,0,"clean, completely dry, horizontal, and motionless",the center,a brief radial splash appears and several clear water beads remain,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, dark-gray ceramic tile is clean, completely dry, horizontal, and motionless. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center. The camera and lighting remain fixed throughout."
wdimplicit0051,wdsimple0152,hard_surface,surface_residue,hard_surface_01,stainless-steel tray,0,"clean, completely dry, horizontal, and motionless",the center,a brief radial splash appears and several clear water beads remain,implicit_outcome,false,Remove the water droplet.,one_fixed_seed,"A realistic fixed-camera macro video in one continuous shot. During the first two seconds, stainless-steel tray is clean, completely dry, horizontal, and motionless. No water droplet is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center. The camera and lighting remain fixed throughout."
