review_id,item_index,seed_index,video_path,video_exists,strip_path,strip_exists,target_concept,footprint_definition,source_prompt,target_visible,footprint_visible,scene_structure_preserved,cells_distinguishable,generation_failure,mode_collapse,reviewer_id,notes
c01_010_s02_b4b877d82b,10,2,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_010_s02_b4b877d82b.jpg,true,marker pen,a black line remains on the whiteboard,"A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a clean whiteboard, with no pre-existing marker line. A clearly visible marker pen enters the frame and remains visible before contact. The marker pen draws a line across the board only after the visible contact moment, causing a black line remains on the whiteboard; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_008_s02_5e4814c914,8,2,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_008_s02_5e4814c914.jpg,true,hand,a deep pillow dent forms and remains briefly,"A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with a white pillow, with no pre-existing pillow dent. A clearly visible hand enters the frame and remains visible before contact. The hand presses into the pillow after a short still beginning, causing a deep pillow dent forms and remains briefly; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_003_s02_9d3784d0c0,3,2,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_003_s02_9d3784d0c0.jpg,true,makeup brush,a pink powder cloud blooms upward,"A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a compact of pink powder, with no pre-existing powder cloud. A clearly visible makeup brush enters the frame and remains visible before contact. The makeup brush taps the powder only after the visible contact moment, causing a pink powder cloud blooms upward; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_010_s01_78274c9c97,10,1,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_010_s01_78274c9c97.jpg,true,marker pen,a black line remains on the whiteboard,"A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a clean whiteboard, with no pre-existing marker line. A clearly visible marker pen enters the frame and remains visible before contact. The marker pen draws a line across the board only after the visible contact moment, causing a black line remains on the whiteboard; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_010_s00_5f294a43a9,10,0,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_010_s00_5f294a43a9.jpg,true,marker pen,a black line remains on the whiteboard,"A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a clean whiteboard, with no pre-existing marker line. A clearly visible marker pen enters the frame and remains visible before contact. The marker pen draws a line across the board only after the visible contact moment, causing a black line remains on the whiteboard; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_010_s01_4de8d5fdc3,10,1,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_010_s01_4de8d5fdc3.jpg,true,marker pen,a black line remains on the whiteboard,"A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a clean whiteboard, with no pre-existing marker line. A clearly visible marker pen enters the frame and remains visible before contact. The marker pen draws a line across the board only after the visible contact moment, causing a black line remains on the whiteboard; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_010_s02_ac4004c36b,10,2,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_010_s02_ac4004c36b.jpg,true,marker pen,a black line remains on the whiteboard,"A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a clean whiteboard, with no pre-existing marker line. A clearly visible marker pen enters the frame and remains visible before contact. The marker pen draws a line across the board only after the visible contact moment, causing a black line remains on the whiteboard; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_004_s02_f25885a94f,4,2,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_004_s02_f25885a94f.jpg,true,garden rake,parallel grooves remain in the soil,"A realistic fixed-camera close-up video from a side close-up view. The scene starts with a smooth soil bed, with no pre-existing groove. A clearly visible garden rake enters the frame and remains visible before contact. The garden rake pulls across the soil after the target is clearly visible, causing parallel grooves remain in the soil; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_004_s02_28d6ddf625,4,2,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_004_s02_28d6ddf625.jpg,true,garden rake,parallel grooves remain in the soil,"A realistic fixed-camera close-up video from a side close-up view. The scene starts with a smooth soil bed, with no pre-existing groove. A clearly visible garden rake enters the frame and remains visible before contact. The garden rake pulls across the soil after the target is clearly visible, causing parallel grooves remain in the soil; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_003_s01_68701c9aec,3,1,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_003_s01_68701c9aec.jpg,true,makeup brush,a pink powder cloud blooms upward,"A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a compact of pink powder, with no pre-existing powder cloud. A clearly visible makeup brush enters the frame and remains visible before contact. The makeup brush taps the powder only after the visible contact moment, causing a pink powder cloud blooms upward; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_008_s01_63e0af53f5,8,1,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_008_s01_63e0af53f5.jpg,true,hand,a deep pillow dent forms and remains briefly,"A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with a white pillow, with no pre-existing pillow dent. A clearly visible hand enters the frame and remains visible before contact. The hand presses into the pillow after a short still beginning, causing a deep pillow dent forms and remains briefly; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_003_s02_194681227f,3,2,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_003_s02_194681227f.jpg,true,makeup brush,a pink powder cloud blooms upward,"A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a compact of pink powder, with no pre-existing powder cloud. A clearly visible makeup brush enters the frame and remains visible before contact. The makeup brush taps the powder only after the visible contact moment, causing a pink powder cloud blooms upward; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_008_s00_40d80092f8,8,0,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_008_s00_40d80092f8.jpg,true,hand,a deep pillow dent forms and remains briefly,"A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with a white pillow, with no pre-existing pillow dent. A clearly visible hand enters the frame and remains visible before contact. The hand presses into the pillow after a short still beginning, causing a deep pillow dent forms and remains briefly; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_004_s02_7106f4ce8f,4,2,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_004_s02_7106f4ce8f.jpg,true,garden rake,parallel grooves remain in the soil,"A realistic fixed-camera close-up video from a side close-up view. The scene starts with a smooth soil bed, with no pre-existing groove. A clearly visible garden rake enters the frame and remains visible before contact. The garden rake pulls across the soil after the target is clearly visible, causing parallel grooves remain in the soil; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_004_s01_608fbdee46,4,1,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_004_s01_608fbdee46.jpg,true,garden rake,parallel grooves remain in the soil,"A realistic fixed-camera close-up video from a side close-up view. The scene starts with a smooth soil bed, with no pre-existing groove. A clearly visible garden rake enters the frame and remains visible before contact. The garden rake pulls across the soil after the target is clearly visible, causing parallel grooves remain in the soil; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_008_s02_9c620d9843,8,2,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_008_s02_9c620d9843.jpg,true,hand,a deep pillow dent forms and remains briefly,"A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with a white pillow, with no pre-existing pillow dent. A clearly visible hand enters the frame and remains visible before contact. The hand presses into the pillow after a short still beginning, causing a deep pillow dent forms and remains briefly; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_004_s00_bccfc24d6e,4,0,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_004_s00_bccfc24d6e.jpg,true,garden rake,parallel grooves remain in the soil,"A realistic fixed-camera close-up video from a side close-up view. The scene starts with a smooth soil bed, with no pre-existing groove. A clearly visible garden rake enters the frame and remains visible before contact. The garden rake pulls across the soil after the target is clearly visible, causing parallel grooves remain in the soil; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_004_s00_aafd417eb6,4,0,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_004_s00_aafd417eb6.jpg,true,garden rake,parallel grooves remain in the soil,"A realistic fixed-camera close-up video from a side close-up view. The scene starts with a smooth soil bed, with no pre-existing groove. A clearly visible garden rake enters the frame and remains visible before contact. The garden rake pulls across the soil after the target is clearly visible, causing parallel grooves remain in the soil; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_010_s00_987c7988c5,10,0,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_010_s00_987c7988c5.jpg,true,marker pen,a black line remains on the whiteboard,"A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a clean whiteboard, with no pre-existing marker line. A clearly visible marker pen enters the frame and remains visible before contact. The marker pen draws a line across the board only after the visible contact moment, causing a black line remains on the whiteboard; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_003_s00_ea674e6e1e,3,0,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_003_s00_ea674e6e1e.jpg,true,makeup brush,a pink powder cloud blooms upward,"A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a compact of pink powder, with no pre-existing powder cloud. A clearly visible makeup brush enters the frame and remains visible before contact. The makeup brush taps the powder only after the visible contact moment, causing a pink powder cloud blooms upward; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_003_s00_2ad9fec83e,3,0,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_003_s00_2ad9fec83e.jpg,true,makeup brush,a pink powder cloud blooms upward,"A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a compact of pink powder, with no pre-existing powder cloud. A clearly visible makeup brush enters the frame and remains visible before contact. The makeup brush taps the powder only after the visible contact moment, causing a pink powder cloud blooms upward; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_010_s02_70702284c7,10,2,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_010_s02_70702284c7.jpg,true,marker pen,a black line remains on the whiteboard,"A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a clean whiteboard, with no pre-existing marker line. A clearly visible marker pen enters the frame and remains visible before contact. The marker pen draws a line across the board only after the visible contact moment, causing a black line remains on the whiteboard; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_008_s01_6179cb22e9,8,1,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_008_s01_6179cb22e9.jpg,true,hand,a deep pillow dent forms and remains briefly,"A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with a white pillow, with no pre-existing pillow dent. A clearly visible hand enters the frame and remains visible before contact. The hand presses into the pillow after a short still beginning, causing a deep pillow dent forms and remains briefly; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_004_s00_51fb313f3e,4,0,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_004_s00_51fb313f3e.jpg,true,garden rake,parallel grooves remain in the soil,"A realistic fixed-camera close-up video from a side close-up view. The scene starts with a smooth soil bed, with no pre-existing groove. A clearly visible garden rake enters the frame and remains visible before contact. The garden rake pulls across the soil after the target is clearly visible, causing parallel grooves remain in the soil; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_003_s00_12fd766fdb,3,0,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_003_s00_12fd766fdb.jpg,true,makeup brush,a pink powder cloud blooms upward,"A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a compact of pink powder, with no pre-existing powder cloud. A clearly visible makeup brush enters the frame and remains visible before contact. The makeup brush taps the powder only after the visible contact moment, causing a pink powder cloud blooms upward; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_008_s01_6bcb76dd55,8,1,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_008_s01_6bcb76dd55.jpg,true,hand,a deep pillow dent forms and remains briefly,"A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with a white pillow, with no pre-existing pillow dent. A clearly visible hand enters the frame and remains visible before contact. The hand presses into the pillow after a short still beginning, causing a deep pillow dent forms and remains briefly; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_004_s01_1ed264f4ab,4,1,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_004_s01_1ed264f4ab.jpg,true,garden rake,parallel grooves remain in the soil,"A realistic fixed-camera close-up video from a side close-up view. The scene starts with a smooth soil bed, with no pre-existing groove. A clearly visible garden rake enters the frame and remains visible before contact. The garden rake pulls across the soil after the target is clearly visible, causing parallel grooves remain in the soil; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_004_s00_e474decebb,4,0,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_004_s00_e474decebb.jpg,true,garden rake,parallel grooves remain in the soil,"A realistic fixed-camera close-up video from a side close-up view. The scene starts with a smooth soil bed, with no pre-existing groove. A clearly visible garden rake enters the frame and remains visible before contact. The garden rake pulls across the soil after the target is clearly visible, causing parallel grooves remain in the soil; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_003_s02_21ecfe59be,3,2,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_003_s02_21ecfe59be.jpg,true,makeup brush,a pink powder cloud blooms upward,"A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a compact of pink powder, with no pre-existing powder cloud. A clearly visible makeup brush enters the frame and remains visible before contact. The makeup brush taps the powder only after the visible contact moment, causing a pink powder cloud blooms upward; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_004_s02_3c0d16d72a,4,2,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_004_s02_3c0d16d72a.jpg,true,garden rake,parallel grooves remain in the soil,"A realistic fixed-camera close-up video from a side close-up view. The scene starts with a smooth soil bed, with no pre-existing groove. A clearly visible garden rake enters the frame and remains visible before contact. The garden rake pulls across the soil after the target is clearly visible, causing parallel grooves remain in the soil; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_008_s02_1325c6a969,8,2,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_008_s02_1325c6a969.jpg,true,hand,a deep pillow dent forms and remains briefly,"A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with a white pillow, with no pre-existing pillow dent. A clearly visible hand enters the frame and remains visible before contact. The hand presses into the pillow after a short still beginning, causing a deep pillow dent forms and remains briefly; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_008_s00_a4d6ef3f6a,8,0,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_008_s00_a4d6ef3f6a.jpg,true,hand,a deep pillow dent forms and remains briefly,"A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with a white pillow, with no pre-existing pillow dent. A clearly visible hand enters the frame and remains visible before contact. The hand presses into the pillow after a short still beginning, causing a deep pillow dent forms and remains briefly; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_008_s00_2202a7203f,8,0,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_008_s00_2202a7203f.jpg,true,hand,a deep pillow dent forms and remains briefly,"A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with a white pillow, with no pre-existing pillow dent. A clearly visible hand enters the frame and remains visible before contact. The hand presses into the pillow after a short still beginning, causing a deep pillow dent forms and remains briefly; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_004_s01_ffd47dbd3e,4,1,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_004_s01_ffd47dbd3e.jpg,true,garden rake,parallel grooves remain in the soil,"A realistic fixed-camera close-up video from a side close-up view. The scene starts with a smooth soil bed, with no pre-existing groove. A clearly visible garden rake enters the frame and remains visible before contact. The garden rake pulls across the soil after the target is clearly visible, causing parallel grooves remain in the soil; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_010_s00_28fab4a48c,10,0,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_010_s00_28fab4a48c.jpg,true,marker pen,a black line remains on the whiteboard,"A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a clean whiteboard, with no pre-existing marker line. A clearly visible marker pen enters the frame and remains visible before contact. The marker pen draws a line across the board only after the visible contact moment, causing a black line remains on the whiteboard; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_003_s00_6616974e89,3,0,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_003_s00_6616974e89.jpg,true,makeup brush,a pink powder cloud blooms upward,"A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a compact of pink powder, with no pre-existing powder cloud. A clearly visible makeup brush enters the frame and remains visible before contact. The makeup brush taps the powder only after the visible contact moment, causing a pink powder cloud blooms upward; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_003_s01_32205425d3,3,1,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_003_s01_32205425d3.jpg,true,makeup brush,a pink powder cloud blooms upward,"A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a compact of pink powder, with no pre-existing powder cloud. A clearly visible makeup brush enters the frame and remains visible before contact. The makeup brush taps the powder only after the visible contact moment, causing a pink powder cloud blooms upward; the effect begins only after contact and remains visible for several frames.",,,,,,,,
c01_004_s01_21e3f29c89,4,1,,true,experiments/evaluation/c02_discrete_factorial_gate_20260704_real_s10_f16_240x432/frame_strips/c01_004_s01_21e3f29c89.jpg,true,garden rake,parallel grooves remain in the soil,"A realistic fixed-camera close-up video from a side close-up view. The scene starts with a smooth soil bed, with no pre-existing groove. A clearly visible garden rake enters the frame and remains visible before contact. The garden rake pulls across the soil after the target is clearly visible, causing parallel grooves remain in the soil; the effect begins only after contact and remains visible for several frames.",,,,,,,,
