prompt_id,pair_id,baseline,mechanism_type,video_path,prompt,target_concept,expected_effect,target_visible,effect_visible,temporal_order_clear,effect_depends_on_target,video_quality,clean_source_valid,notes
round5_surface_sneaker_wet_sand_001,round5_surface_sneaker_wet_sand_001,clean,surface_trace,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_010/videos/000_a-close-up-video-of-a-dark-sneaker-stepping-into-smooth-wet-beach-sand-a_seed5210.mp4,"A close-up video of a dark sneaker stepping into smooth wet beach sand and lifting away, leaving a crisp footprint pressed into the sand.",sneaker,footprint remains in wet sand,partial,yes,no,weak,ok,borderline,"A sand trace is visible and a shoe appears late, but the footprint appears before the shoe action."
round5_surface_boot_snow_002,round5_surface_boot_snow_002,clean,surface_trace,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_011/videos/000_a-side-close-up-video-of-a-black-boot-pressing-into-clean-white-snow-and_seed5211.mp4,"A side close-up video of a black boot pressing into clean white snow and lifting away, leaving a deep bootprint with visible tread marks.",boot,deep bootprint remains in snow,no,no,no,no,poor,no,Blank snow-like frames; boot and bootprint are absent.
round5_surface_paw_mud_003,round5_surface_paw_mud_003,clean,surface_trace,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_012/videos/000_a-low-angle-close-up-video-of-a-dog-paw-stepping-into-soft-brown-mud-and_seed5212.mp4,"A low-angle close-up video of a dog paw stepping into soft brown mud and lifting away, leaving a clear paw print in the mud.",dog paw,paw print remains in mud,yes,partial,weak,weak,ok,borderline,"Dog paw and a small ground mark are visible, but the mark is not a clear paw print and causality is weak."
round5_surface_hand_fogged_glass_004,round5_surface_hand_fogged_glass_004,clean,surface_trace,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_013/videos/000_a-close-up-video-of-a-hand-pressing-against-fogged-glass-and-lifting-awa_seed5213.mp4,"A close-up video of a hand pressing against fogged glass and lifting away, leaving a visible handprint in the condensation.",hand,handprint remains on fogged glass,no,no,no,no,poor,no,Fogged-glass-like blank frames; hand and handprint are absent.
round5_surface_chalk_board_005,round5_surface_chalk_board_005,clean,surface_trace,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_014/videos/000_a-fixed-close-up-video-of-a-white-chalk-stick-drawing-a-short-line-on-a_seed5214.mp4,"A fixed close-up video of a white chalk stick drawing a short line on a clean blackboard, leaving a bright chalk line after the chalk moves away.",chalk,chalk line remains on blackboard,no,partial,no,no,poor,no,Very dark frames with only a faint line; chalk is absent and the mark is not usable.
round5_surface_paintbrush_canvas_006,round5_surface_paintbrush_canvas_006,clean,surface_trace,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_015/videos/000_a-close-up-video-of-a-paintbrush-dragging-across-blank-canvas-leaving-a_seed5215.mp4,"A close-up video of a paintbrush dragging across blank canvas, leaving a thick red paint stroke behind after the brush passes.",paintbrush,red paint stroke remains on canvas,no,no,no,no,poor,no,Blank canvas-like frames; paintbrush and paint stroke are absent.
round5_surface_toy_car_flour_007,round5_surface_toy_car_flour_007,clean,surface_trace,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_016/videos/000_a-top-down-close-up-video-of-a-small-blue-toy-car-rolling-across-a-flat_seed5216.mp4,"A top-down close-up video of a small blue toy car rolling across a flat layer of white flour on a dark tray, leaving two parallel tracks behind it.",toy car,two tracks remain in flour,partial,no,no,no,poor,no,Toy car appears only at the edge near the end; parallel flour tracks are absent.
round5_surface_finger_dust_008,round5_surface_finger_dust_008,clean,surface_trace,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_017/videos/000_a-macro-video-of-a-finger-dragging-through-a-dusty-black-tabletop-leavin_seed5217.mp4,"A macro video of a finger dragging through a dusty black tabletop, leaving a clean streak where the dust has been wiped away.",finger,clean streak remains in dust,no,no,no,no,poor,no,Too dark; finger and clean dust streak are not discernible.
round5_surface_rubber_stamp_paper_009,round5_surface_rubber_stamp_paper_009,clean,surface_trace,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_018/videos/000_a-fixed-close-up-video-of-a-square-rubber-stamp-pressing-onto-clean-whit_seed5218.mp4,"A fixed close-up video of a square rubber stamp pressing onto clean white paper and lifting away, leaving a dark ink stamp mark on the paper.",rubber stamp,ink stamp mark remains on paper,no,no,no,no,poor,no,Blank paper-like frames; rubber stamp and ink mark are absent.
round5_surface_tire_puddle_010,round5_surface_tire_puddle_010,clean,surface_trace,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_019/videos/000_a-side-close-up-video-of-a-bicycle-tire-rolling-out-of-a-shallow-puddle_seed5219.mp4,"A side close-up video of a bicycle tire rolling out of a shallow puddle onto dry gray pavement, leaving a dark wet tire track behind it.",bicycle tire,wet tire track remains on pavement,yes,yes,clear,clear,good,yes,Bicycle tire moves through frame and a dark wet track remains on pavement.
round5_fracture_baseball_window_001,round5_fracture_baseball_window_001,clean,fracture_damage,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_020/videos/000_a-side-view-video-of-a-white-baseball-flying-into-a-clean-glass-window-c_seed5220.mp4,"A side-view video of a white baseball flying into a clean glass window, causing branching cracks to spread across the glass from the impact point.",baseball,branching cracks spread across window,yes,no,no,no,poor,no,"Baseball appears late, but window cracks are absent."
round5_fracture_hammer_tile_002,round5_fracture_hammer_tile_002,clean,fracture_damage,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_021/videos/000_a-close-up-video-of-a-steel-hammer-head-striking-the-center-of-a-white-c_seed5221.mp4,"A close-up video of a steel hammer head striking the center of a white ceramic tile, causing a dark radial crack to spread across the tile.",hammer,radial crack spreads across tile,no,no,no,no,poor,no,Mostly blank tile-like frames; hammer and crack are absent.
round5_fracture_metal_ball_ice_003,round5_fracture_metal_ball_ice_003,clean,fracture_damage,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_022/videos/000_a-slow-motion-close-up-video-of-a-small-metal-ball-striking-a-thin-clear_seed5222.mp4,"A slow-motion close-up video of a small metal ball striking a thin clear ice sheet, causing radial cracks to spread outward across the ice.",metal ball,radial cracks spread across ice,yes,no,no,no,ok,no,"Metal ball is visible, but radial ice cracks are absent."
round5_fracture_hailstone_windshield_004,round5_fracture_hailstone_windshield_004,clean,fracture_damage,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_023/videos/000_a-fixed-front-view-video-of-a-large-white-hailstone-hitting-a-clean-car_seed5223.mp4,"A fixed front-view video of a large white hailstone hitting a clean car windshield, causing a star-shaped crack to appear at the impact point.",hailstone,star crack appears on windshield,no,yes,no,no,ok,no,"Star crack is visible, but hailstone/action is absent and the crack is static."
round5_fracture_ceramic_plate_floor_005,round5_fracture_ceramic_plate_floor_005,clean,fracture_damage,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_024/videos/000_a-slow-motion-video-of-a-white-ceramic-plate-falling-onto-a-dark-hard-fl_seed5224.mp4,"A slow-motion video of a white ceramic plate falling onto a dark hard floor, breaking into shards that scatter outward.",ceramic plate,shards scatter across floor,yes,yes,no,weak,ok,borderline,"Broken plate and shards are visible, but there is no falling/breaking temporal event."
round5_fracture_egg_counter_006,round5_fracture_egg_counter_006,clean,fracture_damage,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_025/videos/000_a-close-up-video-of-a-white-egg-dropping-onto-a-dark-kitchen-counter-cau_seed5225.mp4,"A close-up video of a white egg dropping onto a dark kitchen counter, causing the shell to crack and yellow yolk to spread outward.",egg,cracked shell and yolk spread outward,no,no,no,no,poor,no,"Too dark; egg, shell, and yolk are absent."
round5_fracture_pebble_phone_screen_007,round5_fracture_pebble_phone_screen_007,clean,fracture_damage,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_026/videos/000_a-top-down-close-up-video-of-a-small-gray-pebble-hitting-a-black-phone-s_seed5226.mp4,"A top-down close-up video of a small gray pebble hitting a black phone screen, causing spiderweb cracks to spread across the glass.",pebble,spiderweb cracks spread on phone screen,no,no,no,no,poor,no,Too dark; pebble and phone-screen cracks are absent.
round5_fracture_wrench_glass_bottle_008,round5_fracture_wrench_glass_bottle_008,clean,fracture_damage,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_027/videos/000_a-close-up-video-of-a-metal-wrench-striking-an-empty-clear-glass-bottle_seed5227.mp4,"A close-up video of a metal wrench striking an empty clear glass bottle on a table, causing cracks and small glass pieces to scatter.",wrench,glass bottle cracks and pieces scatter,no,partial,no,no,poor,no,"Small debris is visible, but wrench and glass bottle are absent."
round5_fracture_stone_clay_pot_009,round5_fracture_stone_clay_pot_009,clean,fracture_damage,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_028/videos/000_a-side-view-close-up-video-of-a-small-stone-hitting-a-dry-clay-pot-causi_seed5228.mp4,"A side-view close-up video of a small stone hitting a dry clay pot, causing a chip to break off and a crack to remain on the pot surface.",stone,clay pot chips and crack remains,no,yes,no,no,ok,no,"Clay-pot crack is visible, but the stone target and impact event are absent."
round5_fracture_golf_ball_window_010,round5_fracture_golf_ball_window_010,clean,fracture_damage,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_029/videos/000_a-realistic-close-up-video-of-a-white-golf-ball-hitting-a-clear-window-p_seed5229.mp4,"A realistic close-up video of a white golf ball hitting a clear window pane, causing a round impact mark and cracks to appear on the glass.",golf ball,round impact crack appears on glass,no,no,no,no,poor,no,Mostly blank frames; golf ball and glass impact crack are absent.
round5_elastic_bowling_ball_mattress_001,round5_elastic_bowling_ball_mattress_001,clean,elastic_deformation,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_030/videos/000_a-side-view-video-of-a-black-bowling-ball-landing-on-a-white-mattress-ca_seed5230.mp4,"A side-view video of a black bowling ball landing on a white mattress, causing a deep round dent to form in the mattress surface.",bowling ball,mattress dents downward,no,no,no,no,poor,no,Blank frames; bowling ball and mattress dent are absent.
round5_elastic_book_foam_002,round5_elastic_book_foam_002,clean,elastic_deformation,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_031/videos/000_a-close-up-video-of-a-heavy-hardcover-book-dropping-onto-a-yellow-foam-b_seed5231.mp4,"A close-up video of a heavy hardcover book dropping onto a yellow foam block, causing the foam block to compress downward under the book.",book,foam block compresses downward,no,no,no,no,poor,no,Uniform yellow frames; book and foam compression are absent.
round5_elastic_hand_pillow_003,round5_elastic_hand_pillow_003,clean,elastic_deformation,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_032/videos/000_a-close-up-video-of-a-hand-pressing-into-a-soft-white-pillow-and-lifting_seed5232.mp4,"A close-up video of a hand pressing into a soft white pillow and lifting away, leaving a shallow dent that remains briefly in the pillow.",hand,pillow dent remains briefly,no,no,no,no,poor,no,Blank frames; hand and pillow dent are absent.
round5_elastic_weight_spring_004,round5_elastic_weight_spring_004,clean,elastic_deformation,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_033/videos/000_a-close-up-video-of-a-small-metal-weight-being-placed-on-top-of-a-vertic_seed5233.mp4,"A close-up video of a small metal weight being placed on top of a vertical spring, causing the spring coils to compress tightly together.",metal weight,spring coils compress,no,partial,no,no,ok,no,"Spring is visible, but the metal weight target and compression event are absent."
round5_elastic_pingpong_curtain_005,round5_elastic_pingpong_curtain_005,clean,elastic_deformation,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_034/videos/000_a-slow-motion-video-of-a-white-ping-pong-ball-hitting-a-hanging-blue-cur_seed5234.mp4,"A slow-motion video of a white ping pong ball hitting a hanging blue curtain, causing the curtain fabric to billow backward.",ping pong ball,curtain billows backward,no,no,no,no,poor,no,Mostly uniform blue frames; ping pong ball and curtain deformation are absent.
round5_elastic_boxing_glove_bag_006,round5_elastic_boxing_glove_bag_006,clean,elastic_deformation,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_035/videos/000_a-side-view-video-of-a-red-boxing-glove-striking-a-black-punching-bag-ca_seed5235.mp4,"A side-view video of a red boxing glove striking a black punching bag, causing the bag surface to dent inward and swing backward.",boxing glove,punching bag dents and swings,yes,partial,weak,weak,ok,borderline,"Boxing glove and bag are visible, but bag dent/swing is weak and the contact is inconsistent."
round5_elastic_drop_balloon_table_007,round5_elastic_drop_balloon_table_007,clean,elastic_deformation,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_036/videos/000_a-slow-motion-close-up-video-of-a-small-blue-water-balloon-dropping-onto_seed5236.mp4,"A slow-motion close-up video of a small blue water balloon dropping onto a smooth table, causing the balloon to squash flat and rebound.",water balloon,balloon squashes against table,no,no,no,no,poor,no,Mostly blank pale frames; water balloon and squashing are absent.
round5_elastic_carton_sofa_008,round5_elastic_carton_sofa_008,clean,elastic_deformation,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_037/videos/000_a-side-close-up-video-of-a-cardboard-box-landing-on-a-soft-sofa-cushion_seed5237.mp4,"A side close-up video of a cardboard box landing on a soft sofa cushion, causing the cushion to sink downward under the box.",cardboard box,sofa cushion sinks downward,no,no,no,no,poor,no,Uniform sofa-colored frames; box and cushion deformation are absent.
round5_elastic_rubber_band_finger_009,round5_elastic_rubber_band_finger_009,clean,elastic_deformation,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_038/videos/000_a-macro-video-of-a-finger-pulling-a-red-rubber-band-sideways-causing-the_seed5238.mp4,"A macro video of a finger pulling a red rubber band sideways, causing the rubber band to stretch outward and become taut.",finger,rubber band stretches outward,no,no,no,no,poor,no,Uniform red frames; finger and rubber band are absent.
round5_elastic_tennis_ball_clay_010,round5_elastic_tennis_ball_clay_010,clean,elastic_deformation,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_039/videos/000_a-slow-motion-close-up-video-of-a-yellow-tennis-ball-landing-on-a-smooth_seed5239.mp4,"A slow-motion close-up video of a yellow tennis ball landing on a smooth slab of soft clay, causing a round dent to form in the clay.",tennis ball,soft clay dents inward,no,no,no,no,poor,no,Uniform clay-colored frames; tennis ball and dent are absent.
round5_field_magnet_filings_001,round5_field_magnet_filings_001,clean,field_mediated,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_040/videos/000_a-top-down-close-up-video-of-a-black-bar-magnet-sliding-near-scattered-i_seed5240.mp4,"A top-down close-up video of a black bar magnet sliding near scattered iron filings on white paper, causing the filings to form curved field lines.",bar magnet,iron filings form curved field lines,yes,yes,clear,clear,good,yes,Bar magnet and iron filings are visible; filings progressively form a field-line pattern.
round5_field_magnet_compass_002,round5_field_magnet_compass_002,clean,field_mediated,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_041/videos/000_a-top-down-video-of-a-small-magnet-moving-near-several-tiny-compass-need_seed5241.mp4,"A top-down video of a small magnet moving near several tiny compass needles on a table, causing the needles to rotate and point toward the magnet.",magnet,compass needles rotate toward magnet,partial,no,no,no,ok,no,"Compass-like object is visible, but magnet identity and needle rotation are not clear."
round5_field_balloon_hair_003,round5_field_balloon_hair_003,clean,field_mediated,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_042/videos/000_a-close-up-video-of-a-red-balloon-moving-near-loose-hair-strands-causing_seed5242.mp4,"A close-up video of a red balloon moving near loose hair strands, causing the hair strands to lift upward and cling toward the balloon.",balloon,hair strands lift and cling,yes,yes,clear,clear,good,yes,Balloon and hair strands are visible; hair lifts/clings more clearly over time.
round5_field_plastic_ruler_paper_004,round5_field_plastic_ruler_paper_004,clean,field_mediated,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_043/videos/000_a-top-down-close-up-video-of-a-blue-plastic-ruler-moving-above-tiny-pape_seed5243.mp4,"A top-down close-up video of a blue plastic ruler moving above tiny paper pieces, causing the paper pieces to jump upward and cluster under the ruler.",plastic ruler,paper pieces jump upward,yes,partial,weak,weak,ok,borderline,"Plastic ruler and paper pieces are visible, but the paper jumping/clustering effect is weak."
round5_field_fan_streamers_005,round5_field_fan_streamers_005,clean,field_mediated,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_044/videos/000_a-fixed-close-up-video-of-a-small-desk-fan-blowing-toward-hanging-paper_seed5244.mp4,"A fixed close-up video of a small desk fan blowing toward hanging paper streamers, causing the streamers to bend backward and flutter.",desk fan,paper streamers bend backward,partial,yes,clear,clear,good,yes,Fan is partly visible at the edge and streamers bend/flutter consistently.
round5_field_hair_dryer_powder_006,round5_field_hair_dryer_powder_006,clean,field_mediated,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_045/videos/000_a-close-up-video-of-a-black-hair-dryer-blowing-across-a-small-pile-of-wh_seed5245.mp4,"A close-up video of a black hair dryer blowing across a small pile of white powder on a dark table, causing the powder to spread into a visible cloud.",hair dryer,white powder blows into a cloud,no,yes,weak,no,ok,no,"Powder/cloud is visible, but the hair dryer target is absent."
round5_field_vacuum_dust_007,round5_field_vacuum_dust_007,clean,field_mediated,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_046/videos/000_a-close-up-video-of-a-vacuum-cleaner-nozzle-moving-near-a-line-of-dust-o_seed5246.mp4,"A close-up video of a vacuum cleaner nozzle moving near a line of dust on a floor, causing the dust to stream toward the nozzle.",vacuum nozzle,dust stream moves toward nozzle,partial,no,no,no,poor,no,"Nozzle-like target is visible, but dust streaming toward it is absent."
round5_field_speaker_sand_008,round5_field_speaker_sand_008,clean,field_mediated,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_047/videos/000_a-close-up-video-of-a-round-speaker-cone-vibrating-under-a-thin-layer-of_seed5247.mp4,"A close-up video of a round speaker cone vibrating under a thin layer of sand grains, causing the grains to form visible vibration patterns.",speaker,sand grains form vibration patterns,partial,yes,clear,clear,good,yes,Speaker cone area and sand/grain vibration patterns are visible across frames.
round5_field_electric_fan_smoke_009,round5_field_electric_fan_smoke_009,clean,field_mediated,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_048/videos/000_a-side-view-video-of-a-small-electric-fan-blowing-toward-a-thin-vertical_seed5248.mp4,"A side-view video of a small electric fan blowing toward a thin vertical smoke plume, causing the smoke plume to bend sideways and stream away.",electric fan,smoke plume bends sideways,no,partial,no,no,ok,no,"Smoke plume is visible, but the electric fan target is absent and bending is weak."
round5_field_comb_confetti_010,round5_field_comb_confetti_010,clean,field_mediated,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_049/videos/000_a-close-up-video-of-a-yellow-plastic-comb-moving-near-tiny-colorful-conf_seed5249.mp4,"A close-up video of a yellow plastic comb moving near tiny colorful confetti pieces, causing the confetti pieces to lift and cling together near the comb.",plastic comb,tiny confetti pieces cling together,yes,partial,weak,weak,ok,borderline,"Comb and confetti are visible, but lift/cling causality is inconsistent and focus changes."
round5_particle_flour_sifter_001,round5_particle_flour_sifter_001,clean,particle_dispersion,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_050/videos/000_a-close-up-video-of-a-metal-flour-sifter-shaking-above-a-dark-bowl-causi_seed5250.mp4,"A close-up video of a metal flour sifter shaking above a dark bowl, causing a white flour dust cloud to spread downward into the bowl.",flour sifter,flour dust cloud spreads downward,partial,yes,weak,weak,good,borderline,"Flour cloud is visible, but the flour sifter is cropped/ambiguous and causality is weak."
round5_particle_salt_shaker_002,round5_particle_salt_shaker_002,clean,particle_dispersion,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_051/videos/000_a-top-down-close-up-video-of-a-glass-salt-shaker-tipping-over-on-a-black_seed5251.mp4,"A top-down close-up video of a glass salt shaker tipping over on a black table, causing white salt grains to scatter outward across the surface.",salt shaker,salt grains scatter across black table,yes,yes,no,weak,good,borderline,"Salt shaker and scattered grains are visible, but the scatter is mostly static from the first frame."
round5_particle_chalk_eraser_003,round5_particle_chalk_eraser_003,clean,particle_dispersion,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_052/videos/000_a-close-up-video-of-a-chalk-eraser-hitting-a-blackboard-tray-causing-a-w_seed5252.mp4,"A close-up video of a chalk eraser hitting a blackboard tray, causing a white chalk dust cloud to spread outward through the air.",chalk eraser,chalk dust cloud spreads outward,yes,yes,clear,clear,good,yes,Chalk eraser and outward dust cloud are visible with a usable dispersion sequence.
round5_particle_powder_puff_004,round5_particle_powder_puff_004,clean,particle_dispersion,outputs/causal_footprint_v0_round5_taxonomy_expansion60_bf16_step20_parallel/clean_shards/prompt_053/videos/000_a-close-up-slow-motion-video-of-a-round-makeup-puff-tapping-a-pile-of-pi_seed5253.mp4,"A close-up slow-motion video of a round makeup puff tapping a pile of pink powder, causing a colored powder cloud to bloom upward.",makeup puff,colored powder cloud blooms,no,yes,weak,no,ok,no,"Colored powder cloud is visible, but the makeup puff target is absent."
