pair_index,pair_id,source_id,receiver_id,receiver,prompt_variant,seed,video_path,frame_count,fps,mean_adjacent_mae,first_last_mae,max_adjacent_mae,max_to_median_ratio,technical_status,semantic_status,final_status,contact_sheet,notes
11,widyn_train_0011_water_droplet_kitchen_sink_natural,water_droplet,kitchen_sink,a stainless-steel kitchen sink basin filled with water,natural,26011,outputs/water_impact_dynamic_v1/train_targets_v1/videos/011_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-stain_seed26011.mp4,49,8,1.0614,24.5989,2.8433,3.0739,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/011_kitchen_sink_natural.jpg,
12,widyn_train_0012_water_droplet_porcelain_bowl_direct,water_droplet,porcelain_bowl,a plain porcelain soup bowl filled with water,direct,26012,outputs/water_impact_dynamic_v1/train_targets_v1/videos/012_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-plain_seed26012.mp4,49,8,0.1419,0.9070,0.5163,4.1292,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/012_porcelain_bowl_direct.jpg,
13,widyn_train_0013_water_droplet_porcelain_bowl_natural,water_droplet,porcelain_bowl,a plain porcelain soup bowl filled with water,natural,26013,outputs/water_impact_dynamic_v1/train_targets_v1/videos/013_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-plain_seed26013.mp4,49,8,0.9063,14.5759,2.5145,2.9821,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/013_porcelain_bowl_natural.jpg,
14,widyn_train_0014_water_droplet_cooking_pot_direct,water_droplet,cooking_pot,a black cooking pot filled with water,direct,26014,outputs/water_impact_dynamic_v1/train_targets_v1/videos/014_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-black_seed26014.mp4,49,8,13.8130,17.5885,20.3248,1.4924,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/014_cooking_pot_direct.jpg,
15,widyn_train_0015_water_droplet_cooking_pot_natural,water_droplet,cooking_pot,a black cooking pot filled with water,natural,26015,outputs/water_impact_dynamic_v1/train_targets_v1/videos/015_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-black_seed26015.mp4,49,8,0.7272,1.2539,4.1570,9.8874,review_abrupt_transition,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/015_cooking_pot_natural.jpg,visual review accepted despite technical warning
16,widyn_train_0016_water_droplet_garden_birdbath_direct,water_droplet,garden_birdbath,a round stone birdbath filled with water,direct,26016,outputs/water_impact_dynamic_v1/train_targets_v1/videos/016_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-round_seed26016.mp4,49,8,1.1558,3.7258,2.5715,2.2405,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/016_garden_birdbath_direct.jpg,
17,widyn_train_0017_water_droplet_garden_birdbath_natural,water_droplet,garden_birdbath,a round stone birdbath filled with water,natural,26017,outputs/water_impact_dynamic_v1/train_targets_v1/videos/017_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-round_seed26017.mp4,49,8,1.3118,3.7963,3.0431,2.4985,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/017_garden_birdbath_natural.jpg,
18,widyn_train_0018_water_droplet_glass_dish_direct,water_droplet,glass_dish,a rectangular glass baking dish filled with water,direct,26018,outputs/water_impact_dynamic_v1/train_targets_v1/videos/018_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-recta_seed26018.mp4,49,8,0.4431,4.7245,1.1119,3.0056,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/018_glass_dish_direct.jpg,
19,widyn_train_0019_water_droplet_glass_dish_natural,water_droplet,glass_dish,a rectangular glass baking dish filled with water,natural,26019,outputs/water_impact_dynamic_v1/train_targets_v1/videos/019_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-recta_seed26019.mp4,49,8,0.1822,1.1706,0.5922,4.2062,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/019_glass_dish_natural.jpg,
20,widyn_train_0020_water_droplet_plastic_tub_direct,water_droplet,plastic_tub,a blue plastic storage tub filled with water,direct,26020,outputs/water_impact_dynamic_v1/train_targets_v1/videos/020_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-blue_seed26020.mp4,49,8,0.4063,1.8138,1.1142,2.8713,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/020_plastic_tub_direct.jpg,
21,widyn_train_0021_water_droplet_plastic_tub_natural,water_droplet,plastic_tub,a blue plastic storage tub filled with water,natural,26021,outputs/water_impact_dynamic_v1/train_targets_v1/videos/021_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-blue_seed26021.mp4,49,8,0.7256,2.4240,1.3815,1.9288,candidate,reject,reject,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/021_plastic_tub_natural.jpg,receiver collapses into an abstract blue strip
22,widyn_train_0022_water_droplet_laboratory_beaker_direct,water_droplet,laboratory_beaker,a laboratory beaker filled with clear water,direct,26022,outputs/water_impact_dynamic_v1/train_targets_v1/videos/022_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-labor_seed26022.mp4,49,8,0.1267,0.6716,0.4164,3.5624,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/022_laboratory_beaker_direct.jpg,
23,widyn_train_0023_water_droplet_laboratory_beaker_natural,water_droplet,laboratory_beaker,a laboratory beaker filled with clear water,natural,26023,outputs/water_impact_dynamic_v1/train_targets_v1/videos/023_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-labor_seed26023.mp4,49,8,0.1835,0.9350,0.6626,4.8382,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/023_laboratory_beaker_natural.jpg,
24,widyn_train_0024_ice_cube_shallow_pond_direct,ice_cube,shallow_pond,a calm shallow pond,direct,26024,outputs/water_impact_dynamic_v1/train_targets_v1/videos/024_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-calm_seed26024.mp4,49,8,0.6000,2.2837,1.1330,2.1031,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/024_shallow_pond_direct.jpg,
25,widyn_train_0025_ice_cube_shallow_pond_natural,ice_cube,shallow_pond,a calm shallow pond,natural,26025,outputs/water_impact_dynamic_v1/train_targets_v1/videos/025_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-calm_seed26025.mp4,49,8,0.4443,1.3750,0.8519,2.1189,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/025_shallow_pond_natural.jpg,
26,widyn_train_0026_ice_cube_glass_bowl_direct,ice_cube,glass_bowl,a transparent glass mixing bowl filled with water,direct,26026,outputs/water_impact_dynamic_v1/train_targets_v1/videos/026_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-trans_seed26026.mp4,49,8,0.1749,1.1877,0.6660,4.9845,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/026_glass_bowl_direct.jpg,
27,widyn_train_0027_ice_cube_glass_bowl_natural,ice_cube,glass_bowl,a transparent glass mixing bowl filled with water,natural,26027,outputs/water_impact_dynamic_v1/train_targets_v1/videos/027_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-trans_seed26027.mp4,49,8,0.2885,5.4695,5.3516,38.0858,review_abrupt_transition,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/027_glass_bowl_natural.jpg,visual review accepted despite technical warning
28,widyn_train_0028_ice_cube_white_basin_direct,ice_cube,white_basin,a wide white ceramic basin filled with water,direct,26028,outputs/water_impact_dynamic_v1/train_targets_v1/videos/028_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-wide_seed26028.mp4,49,8,0.1545,0.9010,0.5331,4.6216,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/028_white_basin_direct.jpg,
29,widyn_train_0029_ice_cube_white_basin_natural,ice_cube,white_basin,a wide white ceramic basin filled with water,natural,26029,outputs/water_impact_dynamic_v1/train_targets_v1/videos/029_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-wide_seed26029.mp4,49,8,0.4335,1.3480,0.8498,2.0731,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/029_white_basin_natural.jpg,
30,widyn_train_0030_ice_cube_glass_tank_direct,ice_cube,glass_tank,a clear rectangular glass tank filled with water,direct,26030,outputs/water_impact_dynamic_v1/train_targets_v1/videos/030_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-clear_seed26030.mp4,49,8,0.2936,1.4986,0.8350,3.2334,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/030_glass_tank_direct.jpg,
31,widyn_train_0031_ice_cube_glass_tank_natural,ice_cube,glass_tank,a clear rectangular glass tank filled with water,natural,26031,outputs/water_impact_dynamic_v1/train_targets_v1/videos/031_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-clear_seed26031.mp4,49,8,0.1783,1.3638,0.7783,5.9410,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/031_glass_tank_natural.jpg,
32,widyn_train_0032_ice_cube_metal_bucket_direct,ice_cube,metal_bucket,a clean metal bucket filled with water,direct,26032,outputs/water_impact_dynamic_v1/train_targets_v1/videos/032_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-clean_seed26032.mp4,49,8,0.4491,1.5907,0.8472,1.9269,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/032_metal_bucket_direct.jpg,
33,widyn_train_0033_ice_cube_metal_bucket_natural,ice_cube,metal_bucket,a clean metal bucket filled with water,natural,26033,outputs/water_impact_dynamic_v1/train_targets_v1/videos/033_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-clean_seed26033.mp4,49,8,6.1608,7.3907,10.2151,1.7053,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/033_metal_bucket_natural.jpg,
34,widyn_train_0034_ice_cube_kitchen_sink_direct,ice_cube,kitchen_sink,a stainless-steel kitchen sink basin filled with water,direct,26034,outputs/water_impact_dynamic_v1/train_targets_v1/videos/034_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-stain_seed26034.mp4,49,8,0.4420,2.1542,0.8644,2.0820,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/034_kitchen_sink_direct.jpg,
35,widyn_train_0035_ice_cube_kitchen_sink_natural,ice_cube,kitchen_sink,a stainless-steel kitchen sink basin filled with water,natural,26035,outputs/water_impact_dynamic_v1/train_targets_v1/videos/035_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-stain_seed26035.mp4,49,8,0.2002,1.2581,0.6494,4.0858,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/035_kitchen_sink_natural.jpg,
36,widyn_train_0036_ice_cube_porcelain_bowl_direct,ice_cube,porcelain_bowl,a plain porcelain soup bowl filled with water,direct,26036,outputs/water_impact_dynamic_v1/train_targets_v1/videos/036_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-plain_seed26036.mp4,49,8,0.1115,0.7533,0.4850,6.1564,candidate,reject,reject,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/036_porcelain_bowl_direct.jpg,receiver is a plate-like shape rather than a porcelain water bowl
37,widyn_train_0037_ice_cube_porcelain_bowl_natural,ice_cube,porcelain_bowl,a plain porcelain soup bowl filled with water,natural,26037,outputs/water_impact_dynamic_v1/train_targets_v1/videos/037_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-plain_seed26037.mp4,49,8,0.2345,0.8188,0.7553,3.7997,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/037_porcelain_bowl_natural.jpg,
38,widyn_train_0038_ice_cube_cooking_pot_direct,ice_cube,cooking_pot,a black cooking pot filled with water,direct,26038,outputs/water_impact_dynamic_v1/train_targets_v1/videos/038_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-black_seed26038.mp4,49,8,1.0649,4.5298,2.4616,2.5023,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/038_cooking_pot_direct.jpg,
39,widyn_train_0039_ice_cube_cooking_pot_natural,ice_cube,cooking_pot,a black cooking pot filled with water,natural,26039,outputs/water_impact_dynamic_v1/train_targets_v1/videos/039_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-black_seed26039.mp4,49,8,2.8990,10.8199,8.2749,3.2235,candidate,reject,reject,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/039_cooking_pot_natural.jpg,a human hand enters and stirs the water
40,widyn_train_0040_ice_cube_garden_birdbath_direct,ice_cube,garden_birdbath,a round stone birdbath filled with water,direct,26040,outputs/water_impact_dynamic_v1/train_targets_v1/videos/040_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-round_seed26040.mp4,49,8,0.4120,2.2128,1.6147,5.4285,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/040_garden_birdbath_direct.jpg,
41,widyn_train_0041_ice_cube_garden_birdbath_natural,ice_cube,garden_birdbath,a round stone birdbath filled with water,natural,26041,outputs/water_impact_dynamic_v1/train_targets_v1/videos/041_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-round_seed26041.mp4,49,8,3.0632,5.0268,4.4914,1.3800,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/041_garden_birdbath_natural.jpg,
42,widyn_train_0042_ice_cube_glass_dish_direct,ice_cube,glass_dish,a rectangular glass baking dish filled with water,direct,26042,outputs/water_impact_dynamic_v1/train_targets_v1/videos/042_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-recta_seed26042.mp4,49,8,0.1581,1.3078,0.8206,7.2893,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/042_glass_dish_direct.jpg,
43,widyn_train_0043_ice_cube_glass_dish_natural,ice_cube,glass_dish,a rectangular glass baking dish filled with water,natural,26043,outputs/water_impact_dynamic_v1/train_targets_v1/videos/043_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-recta_seed26043.mp4,49,8,0.1594,1.0958,0.6015,4.9149,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/043_glass_dish_natural.jpg,
44,widyn_train_0044_ice_cube_plastic_tub_direct,ice_cube,plastic_tub,a blue plastic storage tub filled with water,direct,26044,outputs/water_impact_dynamic_v1/train_targets_v1/videos/044_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-blue_seed26044.mp4,49,8,1.0044,2.2283,1.3168,1.3645,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/044_plastic_tub_direct.jpg,
45,widyn_train_0045_ice_cube_plastic_tub_natural,ice_cube,plastic_tub,a blue plastic storage tub filled with water,natural,26045,outputs/water_impact_dynamic_v1/train_targets_v1/videos/045_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-blue_seed26045.mp4,49,8,2.0513,6.5369,3.2346,1.5875,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/045_plastic_tub_natural.jpg,
46,widyn_train_0046_ice_cube_laboratory_beaker_direct,ice_cube,laboratory_beaker,a laboratory beaker filled with clear water,direct,26046,outputs/water_impact_dynamic_v1/train_targets_v1/videos/046_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-labor_seed26046.mp4,49,8,0.1811,1.0614,0.5470,3.6799,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/046_laboratory_beaker_direct.jpg,
47,widyn_train_0047_ice_cube_laboratory_beaker_natural,ice_cube,laboratory_beaker,a laboratory beaker filled with clear water,natural,26047,outputs/water_impact_dynamic_v1/train_targets_v1/videos/047_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-labor_seed26047.mp4,49,8,0.1408,0.9618,0.5696,5.5187,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/047_laboratory_beaker_natural.jpg,
48,widyn_train_0048_red_apple_shallow_pond_direct,red_apple,shallow_pond,a calm shallow pond,direct,26048,outputs/water_impact_dynamic_v1/train_targets_v1/videos/048_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-calm_seed26048.mp4,49,8,0.3314,1.1774,0.9048,3.0262,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/048_shallow_pond_direct.jpg,
49,widyn_train_0049_red_apple_shallow_pond_natural,red_apple,shallow_pond,a calm shallow pond,natural,26049,outputs/water_impact_dynamic_v1/train_targets_v1/videos/049_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-calm_seed26049.mp4,49,8,0.2314,1.1184,0.6144,2.9329,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/049_shallow_pond_natural.jpg,
50,widyn_train_0050_red_apple_glass_bowl_direct,red_apple,glass_bowl,a transparent glass mixing bowl filled with water,direct,26050,outputs/water_impact_dynamic_v1/train_targets_v1/videos/050_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-trans_seed26050.mp4,49,8,0.4844,2.2022,0.9809,2.0536,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/050_glass_bowl_direct.jpg,
51,widyn_train_0051_red_apple_glass_bowl_natural,red_apple,glass_bowl,a transparent glass mixing bowl filled with water,natural,26051,outputs/water_impact_dynamic_v1/train_targets_v1/videos/051_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-trans_seed26051.mp4,49,8,0.1682,1.2215,0.6114,4.7132,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/051_glass_bowl_natural.jpg,
52,widyn_train_0052_red_apple_white_basin_direct,red_apple,white_basin,a wide white ceramic basin filled with water,direct,26052,outputs/water_impact_dynamic_v1/train_targets_v1/videos/052_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-wide_seed26052.mp4,49,8,0.1313,0.7362,0.4448,4.3093,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/052_white_basin_direct.jpg,
53,widyn_train_0053_red_apple_white_basin_natural,red_apple,white_basin,a wide white ceramic basin filled with water,natural,26053,outputs/water_impact_dynamic_v1/train_targets_v1/videos/053_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-wide_seed26053.mp4,49,8,0.2860,1.0146,0.6811,2.5219,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/053_white_basin_natural.jpg,
54,widyn_train_0054_red_apple_glass_tank_direct,red_apple,glass_tank,a clear rectangular glass tank filled with water,direct,26054,outputs/water_impact_dynamic_v1/train_targets_v1/videos/054_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-clear_seed26054.mp4,49,8,0.1520,0.7089,0.3248,2.3608,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/054_glass_tank_direct.jpg,
55,widyn_train_0055_red_apple_glass_tank_natural,red_apple,glass_tank,a clear rectangular glass tank filled with water,natural,26055,outputs/water_impact_dynamic_v1/train_targets_v1/videos/055_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-clear_seed26055.mp4,49,8,0.1906,1.1085,0.5549,3.8799,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/055_glass_tank_natural.jpg,
56,widyn_train_0056_red_apple_metal_bucket_direct,red_apple,metal_bucket,a clean metal bucket filled with water,direct,26056,outputs/water_impact_dynamic_v1/train_targets_v1/videos/056_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-clean_seed26056.mp4,49,8,0.5828,1.7045,1.0139,1.8089,candidate,reject,reject,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/056_metal_bucket_direct.jpg,receiver is a blue tank-like box rather than a metal bucket
57,widyn_train_0057_red_apple_metal_bucket_natural,red_apple,metal_bucket,a clean metal bucket filled with water,natural,26057,outputs/water_impact_dynamic_v1/train_targets_v1/videos/057_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-clean_seed26057.mp4,49,8,3.3165,4.7755,5.9612,1.8554,candidate,reject,reject,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/057_metal_bucket_natural.jpg,large white surface patches resemble an unwanted footprint
58,widyn_train_0058_red_apple_kitchen_sink_direct,red_apple,kitchen_sink,a stainless-steel kitchen sink basin filled with water,direct,26058,outputs/water_impact_dynamic_v1/train_targets_v1/videos/058_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-stain_seed26058.mp4,49,8,0.9174,10.0376,2.8302,3.7767,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/058_kitchen_sink_direct.jpg,
59,widyn_train_0059_red_apple_kitchen_sink_natural,red_apple,kitchen_sink,a stainless-steel kitchen sink basin filled with water,natural,26059,outputs/water_impact_dynamic_v1/train_targets_v1/videos/059_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-stain_seed26059.mp4,49,8,0.3811,1.6632,0.9009,2.5471,candidate,accept,accept,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/059_kitchen_sink_natural.jpg,
60,widyn_train_0060_red_apple_porcelain_bowl_direct,red_apple,porcelain_bowl,a plain porcelain soup bowl filled with water,direct,26060,outputs/water_impact_dynamic_v1/train_targets_v1/videos/060_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-plain_seed26060.mp4,49,8,0.0771,0.8254,0.5894,9.9881,reject_nearly_static,reject,reject,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/060_porcelain_bowl_direct.jpg,target is nearly static
61,widyn_train_0061_red_apple_porcelain_bowl_natural,red_apple,porcelain_bowl,a plain porcelain soup bowl filled with water,natural,26061,outputs/water_impact_dynamic_v1/train_targets_v1/videos/061_a-simple-realistic-close-up-video-in-one-continuous-shot-showing-a-plain_seed26061.mp4,49,8,0.2266,0.6993,0.7008,3.5160,candidate,reject,reject,outputs/water_impact_dynamic_v1/train_targets_v1_contact_sheets/061_porcelain_bowl_natural.jpg,receiver is not visible
