protocol_version,pair_id,split,generalization_group,mechanism,source_id,source_object,source_seen,receiver_id,receiver,receiver_seen,prompt_variant,training_prompt,target_generation_prompt,expected_factual_event,expected_counterfactual_state,seed,num_frames,fps,factual_video,desired_target_video
water_impact_dynamic_v1,widyn_train_0010_water_droplet_kitchen_sink_direct,train,seen_source_seen_receiver,object_enters_water,water_droplet,one large clear water droplet,yes,kitchen_sink,a stainless-steel kitchen sink basin filled with water,yes,direct,"A simple realistic locked-camera video in one continuous shot. One large clear water droplet falls naturally from above, enters the center of the water in a stainless-steel kitchen sink basin filled with water, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. The receiver, camera, lighting, and background remain consistent.","A simple realistic locked-camera video in one continuous shot showing a stainless-steel kitchen sink basin filled with water. The water moves gently throughout the shot with subtle natural surface undulations and slowly changing reflections. Nothing falls into or strikes the water. No impact splash, impact cavity, or impact-generated circular wave appears. The receiver, camera, lighting, and background remain consistent.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26010,49,8,,
water_impact_dynamic_v1,widyn_train_0011_water_droplet_kitchen_sink_natural,train,seen_source_seen_receiver,object_enters_water,water_droplet,one large clear water droplet,yes,kitchen_sink,a stainless-steel kitchen sink basin filled with water,yes,natural,"A simple realistic locked-camera video in one continuous shot. In a single natural motion, one large clear water droplet drops into the center of the water in a stainless-steel kitchen sink basin filled with water. After it touches the water, a short splash rises and expanding ripples travel outward. The receiver, camera, lighting, and background remain consistent.","A simple realistic locked-camera video in one continuous shot showing a stainless-steel kitchen sink basin filled with water. Soft ambient air creates mild continuous movement on the water surface, while reflected light shifts naturally over time. Nothing falls into or strikes the water. No impact splash, impact cavity, or impact-generated circular wave appears. The receiver, camera, lighting, and background remain consistent.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26011,49,8,,
water_impact_dynamic_v1,widyn_train_0012_water_droplet_porcelain_bowl_direct,train,seen_source_seen_receiver,object_enters_water,water_droplet,one large clear water droplet,yes,porcelain_bowl,a plain porcelain soup bowl filled with water,yes,direct,"A simple realistic locked-camera video in one continuous shot. One large clear water droplet falls naturally from above, enters the center of the water in a plain porcelain soup bowl filled with water, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. The receiver, camera, lighting, and background remain consistent.","A simple realistic locked-camera video in one continuous shot showing a plain porcelain soup bowl filled with water. The water moves gently throughout the shot with subtle natural surface undulations and slowly changing reflections. Nothing falls into or strikes the water. No impact splash, impact cavity, or impact-generated circular wave appears. The receiver, camera, lighting, and background remain consistent.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26012,49,8,,
water_impact_dynamic_v1,widyn_train_0013_water_droplet_porcelain_bowl_natural,train,seen_source_seen_receiver,object_enters_water,water_droplet,one large clear water droplet,yes,porcelain_bowl,a plain porcelain soup bowl filled with water,yes,natural,"A simple realistic locked-camera video in one continuous shot. In a single natural motion, one large clear water droplet drops into the center of the water in a plain porcelain soup bowl filled with water. After it touches the water, a short splash rises and expanding ripples travel outward. The receiver, camera, lighting, and background remain consistent.","A simple realistic locked-camera video in one continuous shot showing a plain porcelain soup bowl filled with water. Soft ambient air creates mild continuous movement on the water surface, while reflected light shifts naturally over time. Nothing falls into or strikes the water. No impact splash, impact cavity, or impact-generated circular wave appears. The receiver, camera, lighting, and background remain consistent.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26013,49,8,,
water_impact_dynamic_v1,widyn_train_0014_water_droplet_cooking_pot_direct,train,seen_source_seen_receiver,object_enters_water,water_droplet,one large clear water droplet,yes,cooking_pot,a black cooking pot filled with water,yes,direct,"A simple realistic locked-camera video in one continuous shot. One large clear water droplet falls naturally from above, enters the center of the water in a black cooking pot filled with water, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. The receiver, camera, lighting, and background remain consistent.","A simple realistic locked-camera video in one continuous shot showing a black cooking pot filled with water. The water moves gently throughout the shot with subtle natural surface undulations and slowly changing reflections. Nothing falls into or strikes the water. No impact splash, impact cavity, or impact-generated circular wave appears. The receiver, camera, lighting, and background remain consistent.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26014,49,8,,
water_impact_dynamic_v1,widyn_train_0015_water_droplet_cooking_pot_natural,train,seen_source_seen_receiver,object_enters_water,water_droplet,one large clear water droplet,yes,cooking_pot,a black cooking pot filled with water,yes,natural,"A simple realistic locked-camera video in one continuous shot. In a single natural motion, one large clear water droplet drops into the center of the water in a black cooking pot filled with water. After it touches the water, a short splash rises and expanding ripples travel outward. The receiver, camera, lighting, and background remain consistent.","A simple realistic locked-camera video in one continuous shot showing a black cooking pot filled with water. Soft ambient air creates mild continuous movement on the water surface, while reflected light shifts naturally over time. Nothing falls into or strikes the water. No impact splash, impact cavity, or impact-generated circular wave appears. The receiver, camera, lighting, and background remain consistent.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26015,49,8,,
water_impact_dynamic_v1,widyn_train_0016_water_droplet_garden_birdbath_direct,train,seen_source_seen_receiver,object_enters_water,water_droplet,one large clear water droplet,yes,garden_birdbath,a round stone birdbath filled with water,yes,direct,"A simple realistic locked-camera video in one continuous shot. One large clear water droplet falls naturally from above, enters the center of the water in a round stone birdbath filled with water, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. The receiver, camera, lighting, and background remain consistent.","A simple realistic locked-camera video in one continuous shot showing a round stone birdbath filled with water. The water moves gently throughout the shot with subtle natural surface undulations and slowly changing reflections. Nothing falls into or strikes the water. No impact splash, impact cavity, or impact-generated circular wave appears. The receiver, camera, lighting, and background remain consistent.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26016,49,8,,
water_impact_dynamic_v1,widyn_train_0017_water_droplet_garden_birdbath_natural,train,seen_source_seen_receiver,object_enters_water,water_droplet,one large clear water droplet,yes,garden_birdbath,a round stone birdbath filled with water,yes,natural,"A simple realistic locked-camera video in one continuous shot. In a single natural motion, one large clear water droplet drops into the center of the water in a round stone birdbath filled with water. After it touches the water, a short splash rises and expanding ripples travel outward. The receiver, camera, lighting, and background remain consistent.","A simple realistic locked-camera video in one continuous shot showing a round stone birdbath filled with water. Soft ambient air creates mild continuous movement on the water surface, while reflected light shifts naturally over time. Nothing falls into or strikes the water. No impact splash, impact cavity, or impact-generated circular wave appears. The receiver, camera, lighting, and background remain consistent.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26017,49,8,,
water_impact_dynamic_v1,widyn_train_0018_water_droplet_glass_dish_direct,train,seen_source_seen_receiver,object_enters_water,water_droplet,one large clear water droplet,yes,glass_dish,a rectangular glass baking dish filled with water,yes,direct,"A simple realistic locked-camera video in one continuous shot. One large clear water droplet falls naturally from above, enters the center of the water in a rectangular glass baking dish filled with water, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. The receiver, camera, lighting, and background remain consistent.","A simple realistic locked-camera video in one continuous shot showing a rectangular glass baking dish filled with water. The water moves gently throughout the shot with subtle natural surface undulations and slowly changing reflections. Nothing falls into or strikes the water. No impact splash, impact cavity, or impact-generated circular wave appears. The receiver, camera, lighting, and background remain consistent.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26018,49,8,,
water_impact_dynamic_v1,widyn_train_0019_water_droplet_glass_dish_natural,train,seen_source_seen_receiver,object_enters_water,water_droplet,one large clear water droplet,yes,glass_dish,a rectangular glass baking dish filled with water,yes,natural,"A simple realistic locked-camera video in one continuous shot. In a single natural motion, one large clear water droplet drops into the center of the water in a rectangular glass baking dish filled with water. After it touches the water, a short splash rises and expanding ripples travel outward. The receiver, camera, lighting, and background remain consistent.","A simple realistic locked-camera video in one continuous shot showing a rectangular glass baking dish filled with water. Soft ambient air creates mild continuous movement on the water surface, while reflected light shifts naturally over time. Nothing falls into or strikes the water. No impact splash, impact cavity, or impact-generated circular wave appears. The receiver, camera, lighting, and background remain consistent.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26019,49,8,,
water_impact_dynamic_v1,widyn_train_0020_water_droplet_plastic_tub_direct,train,seen_source_seen_receiver,object_enters_water,water_droplet,one large clear water droplet,yes,plastic_tub,a blue plastic storage tub filled with water,yes,direct,"A simple realistic locked-camera video in one continuous shot. One large clear water droplet falls naturally from above, enters the center of the water in a blue plastic storage tub filled with water, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. The receiver, camera, lighting, and background remain consistent.","A simple realistic locked-camera video in one continuous shot showing a blue plastic storage tub filled with water. The water moves gently throughout the shot with subtle natural surface undulations and slowly changing reflections. Nothing falls into or strikes the water. No impact splash, impact cavity, or impact-generated circular wave appears. The receiver, camera, lighting, and background remain consistent.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26020,49,8,,
water_impact_dynamic_v1,widyn_train_0021_water_droplet_plastic_tub_natural,train,seen_source_seen_receiver,object_enters_water,water_droplet,one large clear water droplet,yes,plastic_tub,a blue plastic storage tub filled with water,yes,natural,"A simple realistic locked-camera video in one continuous shot. In a single natural motion, one large clear water droplet drops into the center of the water in a blue plastic storage tub filled with water. After it touches the water, a short splash rises and expanding ripples travel outward. The receiver, camera, lighting, and background remain consistent.","A simple realistic locked-camera video in one continuous shot showing a blue plastic storage tub filled with water. Soft ambient air creates mild continuous movement on the water surface, while reflected light shifts naturally over time. Nothing falls into or strikes the water. No impact splash, impact cavity, or impact-generated circular wave appears. The receiver, camera, lighting, and background remain consistent.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26021,49,8,,
water_impact_dynamic_v1,widyn_train_0022_water_droplet_laboratory_beaker_direct,train,seen_source_seen_receiver,object_enters_water,water_droplet,one large clear water droplet,yes,laboratory_beaker,a laboratory beaker filled with clear water,yes,direct,"A simple realistic locked-camera video in one continuous shot. One large clear water droplet falls naturally from above, enters the center of the water in a laboratory beaker filled with clear water, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. The receiver, camera, lighting, and background remain consistent.","A simple realistic locked-camera video in one continuous shot showing a laboratory beaker filled with clear water. The water moves gently throughout the shot with subtle natural surface undulations and slowly changing reflections. Nothing falls into or strikes the water. No impact splash, impact cavity, or impact-generated circular wave appears. The receiver, camera, lighting, and background remain consistent.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26022,49,8,,
water_impact_dynamic_v1,widyn_train_0023_water_droplet_laboratory_beaker_natural,train,seen_source_seen_receiver,object_enters_water,water_droplet,one large clear water droplet,yes,laboratory_beaker,a laboratory beaker filled with clear water,yes,natural,"A simple realistic locked-camera video in one continuous shot. In a single natural motion, one large clear water droplet drops into the center of the water in a laboratory beaker filled with clear water. After it touches the water, a short splash rises and expanding ripples travel outward. The receiver, camera, lighting, and background remain consistent.","A simple realistic locked-camera video in one continuous shot showing a laboratory beaker filled with clear water. Soft ambient air creates mild continuous movement on the water surface, while reflected light shifts naturally over time. Nothing falls into or strikes the water. No impact splash, impact cavity, or impact-generated circular wave appears. The receiver, camera, lighting, and background remain consistent.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26023,49,8,,
water_impact_dynamic_v1,widyn_train_0024_ice_cube_shallow_pond_direct,train,seen_source_seen_receiver,object_enters_water,ice_cube,one small transparent ice cube,yes,shallow_pond,a calm shallow pond,yes,direct,"A simple realistic locked-camera video in one continuous shot. One small transparent ice cube falls naturally from above, enters the center of the water in a calm shallow pond, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. The receiver, camera, lighting, and background remain consistent.","A simple realistic locked-camera video in one continuous shot showing a calm shallow pond. The water moves gently throughout the shot with subtle natural surface undulations and slowly changing reflections. Nothing falls into or strikes the water. No impact splash, impact cavity, or impact-generated circular wave appears. The receiver, camera, lighting, and background remain consistent.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26024,49,8,,
water_impact_dynamic_v1,widyn_train_0025_ice_cube_shallow_pond_natural,train,seen_source_seen_receiver,object_enters_water,ice_cube,one small transparent ice cube,yes,shallow_pond,a calm shallow pond,yes,natural,"A simple realistic locked-camera video in one continuous shot. In a single natural motion, one small transparent ice cube drops into the center of the water in a calm shallow pond. After it touches the water, a short splash rises and expanding ripples travel outward. The receiver, camera, lighting, and background remain consistent.","A simple realistic locked-camera video in one continuous shot showing a calm shallow pond. Soft ambient air creates mild continuous movement on the water surface, while reflected light shifts naturally over time. Nothing falls into or strikes the water. No impact splash, impact cavity, or impact-generated circular wave appears. The receiver, camera, lighting, and background remain consistent.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26025,49,8,,
water_impact_dynamic_v1,widyn_train_0026_ice_cube_glass_bowl_direct,train,seen_source_seen_receiver,object_enters_water,ice_cube,one small transparent ice cube,yes,glass_bowl,a transparent glass mixing bowl filled with water,yes,direct,"A simple realistic locked-camera video in one continuous shot. One small transparent ice cube falls naturally from above, enters the center of the water in a transparent glass mixing bowl filled with water, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. The receiver, camera, lighting, and background remain consistent.","A simple realistic locked-camera video in one continuous shot showing a transparent glass mixing bowl filled with water. The water moves gently throughout the shot with subtle natural surface undulations and slowly changing reflections. Nothing falls into or strikes the water. No impact splash, impact cavity, or impact-generated circular wave appears. The receiver, camera, lighting, and background remain consistent.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26026,49,8,,
water_impact_dynamic_v1,widyn_train_0027_ice_cube_glass_bowl_natural,train,seen_source_seen_receiver,object_enters_water,ice_cube,one small transparent ice cube,yes,glass_bowl,a transparent glass mixing bowl filled with water,yes,natural,"A simple realistic locked-camera video in one continuous shot. In a single natural motion, one small transparent ice cube drops into the center of the water in a transparent glass mixing bowl filled with water. After it touches the water, a short splash rises and expanding ripples travel outward. The receiver, camera, lighting, and background remain consistent.","A simple realistic locked-camera video in one continuous shot showing a transparent glass mixing bowl filled with water. Soft ambient air creates mild continuous movement on the water surface, while reflected light shifts naturally over time. Nothing falls into or strikes the water. No impact splash, impact cavity, or impact-generated circular wave appears. The receiver, camera, lighting, and background remain consistent.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26027,49,8,,
water_impact_dynamic_v1,widyn_train_0028_ice_cube_white_basin_direct,train,seen_source_seen_receiver,object_enters_water,ice_cube,one small transparent ice cube,yes,white_basin,a wide white ceramic basin filled with water,yes,direct,"A simple realistic locked-camera video in one continuous shot. One small transparent ice cube falls naturally from above, enters the center of the water in a wide white ceramic basin filled with water, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. The receiver, camera, lighting, and background remain consistent.","A simple realistic locked-camera video in one continuous shot showing a wide white ceramic basin filled with water. The water moves gently throughout the shot with subtle natural surface undulations and slowly changing reflections. Nothing falls into or strikes the water. No impact splash, impact cavity, or impact-generated circular wave appears. The receiver, camera, lighting, and background remain consistent.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26028,49,8,,
water_impact_dynamic_v1,widyn_train_0029_ice_cube_white_basin_natural,train,seen_source_seen_receiver,object_enters_water,ice_cube,one small transparent ice cube,yes,white_basin,a wide white ceramic basin filled with water,yes,natural,"A simple realistic locked-camera video in one continuous shot. In a single natural motion, one small transparent ice cube drops into the center of the water in a wide white ceramic basin filled with water. After it touches the water, a short splash rises and expanding ripples travel outward. The receiver, camera, lighting, and background remain consistent.","A simple realistic locked-camera video in one continuous shot showing a wide white ceramic basin filled with water. Soft ambient air creates mild continuous movement on the water surface, while reflected light shifts naturally over time. Nothing falls into or strikes the water. No impact splash, impact cavity, or impact-generated circular wave appears. The receiver, camera, lighting, and background remain consistent.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26029,49,8,,
water_impact_dynamic_v1,widyn_train_0030_ice_cube_glass_tank_direct,train,seen_source_seen_receiver,object_enters_water,ice_cube,one small transparent ice cube,yes,glass_tank,a clear rectangular glass tank filled with water,yes,direct,"A simple realistic locked-camera video in one continuous shot. One small transparent ice cube falls naturally from above, enters the center of the water in a clear rectangular glass tank filled with water, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. The receiver, camera, lighting, and background remain consistent.","A simple realistic locked-camera video in one continuous shot showing a clear rectangular glass tank filled with water. The water moves gently throughout the shot with subtle natural surface undulations and slowly changing reflections. Nothing falls into or strikes the water. No impact splash, impact cavity, or impact-generated circular wave appears. The receiver, camera, lighting, and background remain consistent.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26030,49,8,,
water_impact_dynamic_v1,widyn_train_0031_ice_cube_glass_tank_natural,train,seen_source_seen_receiver,object_enters_water,ice_cube,one small transparent ice cube,yes,glass_tank,a clear rectangular glass tank filled with water,yes,natural,"A simple realistic locked-camera video in one continuous shot. In a single natural motion, one small transparent ice cube drops into the center of the water in a clear rectangular glass tank filled with water. After it touches the water, a short splash rises and expanding ripples travel outward. The receiver, camera, lighting, and background remain consistent.","A simple realistic locked-camera video in one continuous shot showing a clear rectangular glass tank filled with water. Soft ambient air creates mild continuous movement on the water surface, while reflected light shifts naturally over time. Nothing falls into or strikes the water. No impact splash, impact cavity, or impact-generated circular wave appears. The receiver, camera, lighting, and background remain consistent.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26031,49,8,,
water_impact_dynamic_v1,widyn_train_0032_ice_cube_metal_bucket_direct,train,seen_source_seen_receiver,object_enters_water,ice_cube,one small transparent ice cube,yes,metal_bucket,a clean metal bucket filled with water,yes,direct,"A simple realistic locked-camera video in one continuous shot. One small transparent ice cube falls naturally from above, enters the center of the water in a clean metal bucket filled with water, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. The receiver, camera, lighting, and background remain consistent.","A simple realistic locked-camera video in one continuous shot showing a clean metal bucket filled with water. The water moves gently throughout the shot with subtle natural surface undulations and slowly changing reflections. Nothing falls into or strikes the water. No impact splash, impact cavity, or impact-generated circular wave appears. The receiver, camera, lighting, and background remain consistent.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26032,49,8,,
water_impact_dynamic_v1,widyn_train_0033_ice_cube_metal_bucket_natural,train,seen_source_seen_receiver,object_enters_water,ice_cube,one small transparent ice cube,yes,metal_bucket,a clean metal bucket filled with water,yes,natural,"A simple realistic locked-camera video in one continuous shot. In a single natural motion, one small transparent ice cube drops into the center of the water in a clean metal bucket filled with water. After it touches the water, a short splash rises and expanding ripples travel outward. The receiver, camera, lighting, and background remain consistent.","A simple realistic locked-camera video in one continuous shot showing a clean metal bucket filled with water. Soft ambient air creates mild continuous movement on the water surface, while reflected light shifts naturally over time. Nothing falls into or strikes the water. No impact splash, impact cavity, or impact-generated circular wave appears. The receiver, camera, lighting, and background remain consistent.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26033,49,8,,
water_impact_dynamic_v1,widyn_train_0034_ice_cube_kitchen_sink_direct,train,seen_source_seen_receiver,object_enters_water,ice_cube,one small transparent ice cube,yes,kitchen_sink,a stainless-steel kitchen sink basin filled with water,yes,direct,"A simple realistic locked-camera video in one continuous shot. One small transparent ice cube falls naturally from above, enters the center of the water in a stainless-steel kitchen sink basin filled with water, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. The receiver, camera, lighting, and background remain consistent.","A simple realistic locked-camera video in one continuous shot showing a stainless-steel kitchen sink basin filled with water. The water moves gently throughout the shot with subtle natural surface undulations and slowly changing reflections. Nothing falls into or strikes the water. No impact splash, impact cavity, or impact-generated circular wave appears. The receiver, camera, lighting, and background remain consistent.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26034,49,8,,
