eval_index,source_test_index,protocol_version,pair_id,split,generalization_group,mechanism,source_id,source_object,source_seen,receiver_id,receiver,receiver_seen,prompt_variant,training_prompt,target_generation_prompt,expected_factual_event,expected_counterfactual_state,seed,num_frames,fps,factual_video,desired_target_video
10,22,water_impact_dynamic_v1,widyn_test_0022_pine_cone_white_basin_direct,test,unseen_source,object_enters_water,pine_cone,one small brown pine cone,no,white_basin,a wide white ceramic basin filled with water,yes,direct,"A simple realistic close-up video in one continuous shot. One small brown pine cone falls naturally from above, enters the center of the water in a wide white ceramic basin filled with water, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a wide white ceramic basin filled with water. The water surface stays smooth, level, and undisturbed. A soft reflected highlight moves slowly from left to right across the water and receiver. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26022,49,8,,
11,23,water_impact_dynamic_v1,widyn_test_0023_pine_cone_glass_tank_natural,test,unseen_source,object_enters_water,pine_cone,one small brown pine cone,no,glass_tank,a clear rectangular glass tank filled with water,yes,natural,"A simple realistic close-up video in one continuous shot. In a single natural motion, one small brown pine cone drops into the center of the water in a clear rectangular glass tank filled with water. After it touches the water, a short splash rises and expanding ripples travel outward. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a clear rectangular glass tank filled with water. The calm level water keeps a smooth surface while reflected light and faint ambient highlights move gradually across the scene. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26023,49,8,,
12,25,water_impact_dynamic_v1,widyn_test_0025_water_droplet_bathtub_natural,test,unseen_receiver,object_enters_water,water_droplet,one large clear water droplet,yes,bathtub,a white bathtub filled with water,no,natural,"A simple realistic close-up video in one continuous shot. In a single natural motion, one large clear water droplet drops into the center of the water in a white bathtub filled with water. After it touches the water, a short splash rises and expanding ripples travel outward. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a white bathtub filled with water. The calm level water keeps a smooth surface while reflected light and faint ambient highlights move gradually across the scene. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26025,49,8,,
13,27,water_impact_dynamic_v1,widyn_test_0027_water_droplet_stone_basin_natural,test,unseen_receiver,object_enters_water,water_droplet,one large clear water droplet,yes,stone_basin,a carved granite basin filled with water,no,natural,"A simple realistic close-up video in one continuous shot. In a single natural motion, one large clear water droplet drops into the center of the water in a carved granite basin filled with water. After it touches the water, a short splash rises and expanding ripples travel outward. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a carved granite basin filled with water. The calm level water keeps a smooth surface while reflected light and faint ambient highlights move gradually across the scene. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26027,49,8,,
14,30,water_impact_dynamic_v1,widyn_test_0030_water_droplet_pet_bowl_direct,test,unseen_receiver,object_enters_water,water_droplet,one large clear water droplet,yes,pet_bowl,a stainless-steel pet water bowl,no,direct,"A simple realistic close-up video in one continuous shot. One large clear water droplet falls naturally from above, enters the center of the water in a stainless-steel pet water bowl, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a stainless-steel pet water bowl. The water surface stays smooth, level, and undisturbed. A soft reflected highlight moves slowly from left to right across the water and receiver. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26030,49,8,,
15,32,water_impact_dynamic_v1,widyn_test_0032_ice_cube_copper_bowl_direct,test,unseen_receiver,object_enters_water,ice_cube,one small transparent ice cube,yes,copper_bowl,a polished copper bowl filled with water,no,direct,"A simple realistic close-up video in one continuous shot. One small transparent ice cube falls naturally from above, enters the center of the water in a polished copper bowl filled with water, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a polished copper bowl filled with water. The water surface stays smooth, level, and undisturbed. A soft reflected highlight moves slowly from left to right across the water and receiver. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26032,49,8,,
16,34,water_impact_dynamic_v1,widyn_test_0034_ice_cube_rain_barrel_direct,test,unseen_receiver,object_enters_water,ice_cube,one small transparent ice cube,yes,rain_barrel,an open rain barrel filled with water,no,direct,"A simple realistic close-up video in one continuous shot. One small transparent ice cube falls naturally from above, enters the center of the water in an open rain barrel filled with water, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing an open rain barrel filled with water. The water surface stays smooth, level, and undisturbed. A soft reflected highlight moves slowly from left to right across the water and receiver. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26034,49,8,,
17,35,water_impact_dynamic_v1,widyn_test_0035_ice_cube_stone_basin_natural,test,unseen_receiver,object_enters_water,ice_cube,one small transparent ice cube,yes,stone_basin,a carved granite basin filled with water,no,natural,"A simple realistic close-up video in one continuous shot. In a single natural motion, one small transparent ice cube drops into the center of the water in a carved granite basin filled with water. After it touches the water, a short splash rises and expanding ripples travel outward. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a carved granite basin filled with water. The calm level water keeps a smooth surface while reflected light and faint ambient highlights move gradually across the scene. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26035,49,8,,
18,36,water_impact_dynamic_v1,widyn_test_0036_ice_cube_acrylic_tank_direct,test,unseen_receiver,object_enters_water,ice_cube,one small transparent ice cube,yes,acrylic_tank,a clear acrylic tank filled with water,no,direct,"A simple realistic close-up video in one continuous shot. One small transparent ice cube falls naturally from above, enters the center of the water in a clear acrylic tank filled with water, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a clear acrylic tank filled with water. The water surface stays smooth, level, and undisturbed. A soft reflected highlight moves slowly from left to right across the water and receiver. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26036,49,8,,
19,39,water_impact_dynamic_v1,widyn_test_0039_ice_cube_mason_jar_natural,test,unseen_receiver,object_enters_water,ice_cube,one small transparent ice cube,yes,mason_jar,a wide-mouth mason jar filled with water,no,natural,"A simple realistic close-up video in one continuous shot. In a single natural motion, one small transparent ice cube drops into the center of the water in a wide-mouth mason jar filled with water. After it touches the water, a short splash rises and expanding ripples travel outward. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a wide-mouth mason jar filled with water. The calm level water keeps a smooth surface while reflected light and faint ambient highlights move gradually across the scene. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26039,49,8,,
20,41,water_impact_dynamic_v1,widyn_test_0041_red_apple_bathtub_natural,test,unseen_receiver,object_enters_water,red_apple,one small red apple,yes,bathtub,a white bathtub filled with water,no,natural,"A simple realistic close-up video in one continuous shot. In a single natural motion, one small red apple drops into the center of the water in a white bathtub filled with water. After it touches the water, a short splash rises and expanding ripples travel outward. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a white bathtub filled with water. The calm level water keeps a smooth surface while reflected light and faint ambient highlights move gradually across the scene. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26041,49,8,,
21,42,water_impact_dynamic_v1,widyn_test_0042_red_apple_rain_barrel_direct,test,unseen_receiver,object_enters_water,red_apple,one small red apple,yes,rain_barrel,an open rain barrel filled with water,no,direct,"A simple realistic close-up video in one continuous shot. One small red apple falls naturally from above, enters the center of the water in an open rain barrel filled with water, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing an open rain barrel filled with water. The water surface stays smooth, level, and undisturbed. A soft reflected highlight moves slowly from left to right across the water and receiver. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26042,49,8,,
22,44,water_impact_dynamic_v1,widyn_test_0044_red_apple_acrylic_tank_direct,test,unseen_receiver,object_enters_water,red_apple,one small red apple,yes,acrylic_tank,a clear acrylic tank filled with water,no,direct,"A simple realistic close-up video in one continuous shot. One small red apple falls naturally from above, enters the center of the water in a clear acrylic tank filled with water, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a clear acrylic tank filled with water. The water surface stays smooth, level, and undisturbed. A soft reflected highlight moves slowly from left to right across the water and receiver. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26044,49,8,,
23,45,water_impact_dynamic_v1,widyn_test_0045_red_apple_water_trough_natural,test,unseen_receiver,object_enters_water,red_apple,one small red apple,yes,water_trough,a small rectangular water trough,no,natural,"A simple realistic close-up video in one continuous shot. In a single natural motion, one small red apple drops into the center of the water in a small rectangular water trough. After it touches the water, a short splash rises and expanding ripples travel outward. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a small rectangular water trough. The calm level water keeps a smooth surface while reflected light and faint ambient highlights move gradually across the scene. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26045,49,8,,
24,49,water_impact_dynamic_v1,widyn_test_0049_gray_stone_rain_barrel_natural,test,unseen_source_and_receiver,object_enters_water,gray_stone,one smooth gray stone,no,rain_barrel,an open rain barrel filled with water,no,natural,"A simple realistic close-up video in one continuous shot. In a single natural motion, one smooth gray stone drops into the center of the water in an open rain barrel filled with water. After it touches the water, a short splash rises and expanding ripples travel outward. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing an open rain barrel filled with water. The calm level water keeps a smooth surface while reflected light and faint ambient highlights move gradually across the scene. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26049,49,8,,
25,50,water_impact_dynamic_v1,widyn_test_0050_gray_stone_acrylic_tank_direct,test,unseen_source_and_receiver,object_enters_water,gray_stone,one smooth gray stone,no,acrylic_tank,a clear acrylic tank filled with water,no,direct,"A simple realistic close-up video in one continuous shot. One smooth gray stone falls naturally from above, enters the center of the water in a clear acrylic tank filled with water, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a clear acrylic tank filled with water. The water surface stays smooth, level, and undisturbed. A soft reflected highlight moves slowly from left to right across the water and receiver. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26050,49,8,,
26,51,water_impact_dynamic_v1,widyn_test_0051_gray_stone_pet_bowl_natural,test,unseen_source_and_receiver,object_enters_water,gray_stone,one smooth gray stone,no,pet_bowl,a stainless-steel pet water bowl,no,natural,"A simple realistic close-up video in one continuous shot. In a single natural motion, one smooth gray stone drops into the center of the water in a stainless-steel pet water bowl. After it touches the water, a short splash rises and expanding ripples travel outward. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a stainless-steel pet water bowl. The calm level water keeps a smooth surface while reflected light and faint ambient highlights move gradually across the scene. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26051,49,8,,
27,52,water_impact_dynamic_v1,widyn_test_0052_yellow_ball_bathtub_direct,test,unseen_source_and_receiver,object_enters_water,yellow_ball,one small yellow rubber ball,no,bathtub,a white bathtub filled with water,no,direct,"A simple realistic close-up video in one continuous shot. One small yellow rubber ball falls naturally from above, enters the center of the water in a white bathtub filled with water, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a white bathtub filled with water. The water surface stays smooth, level, and undisturbed. A soft reflected highlight moves slowly from left to right across the water and receiver. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26052,49,8,,
28,53,water_impact_dynamic_v1,widyn_test_0053_yellow_ball_stone_basin_natural,test,unseen_source_and_receiver,object_enters_water,yellow_ball,one small yellow rubber ball,no,stone_basin,a carved granite basin filled with water,no,natural,"A simple realistic close-up video in one continuous shot. In a single natural motion, one small yellow rubber ball drops into the center of the water in a carved granite basin filled with water. After it touches the water, a short splash rises and expanding ripples travel outward. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a carved granite basin filled with water. The calm level water keeps a smooth surface while reflected light and faint ambient highlights move gradually across the scene. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26053,49,8,,
29,54,water_impact_dynamic_v1,widyn_test_0054_yellow_ball_water_trough_direct,test,unseen_source_and_receiver,object_enters_water,yellow_ball,one small yellow rubber ball,no,water_trough,a small rectangular water trough,no,direct,"A simple realistic close-up video in one continuous shot. One small yellow rubber ball falls naturally from above, enters the center of the water in a small rectangular water trough, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a small rectangular water trough. The water surface stays smooth, level, and undisturbed. A soft reflected highlight moves slowly from left to right across the water and receiver. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26054,49,8,,
30,56,water_impact_dynamic_v1,widyn_test_0056_walnut_copper_bowl_direct,test,unseen_source_and_receiver,object_enters_water,walnut,one whole brown walnut,no,copper_bowl,a polished copper bowl filled with water,no,direct,"A simple realistic close-up video in one continuous shot. One whole brown walnut falls naturally from above, enters the center of the water in a polished copper bowl filled with water, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a polished copper bowl filled with water. The water surface stays smooth, level, and undisturbed. A soft reflected highlight moves slowly from left to right across the water and receiver. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26056,49,8,,
31,57,water_impact_dynamic_v1,widyn_test_0057_walnut_rain_barrel_natural,test,unseen_source_and_receiver,object_enters_water,walnut,one whole brown walnut,no,rain_barrel,an open rain barrel filled with water,no,natural,"A simple realistic close-up video in one continuous shot. In a single natural motion, one whole brown walnut drops into the center of the water in an open rain barrel filled with water. After it touches the water, a short splash rises and expanding ripples travel outward. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing an open rain barrel filled with water. The calm level water keeps a smooth surface while reflected light and faint ambient highlights move gradually across the scene. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26057,49,8,,
32,60,water_impact_dynamic_v1,widyn_test_0060_strawberry_bathtub_direct,test,unseen_source_and_receiver,object_enters_water,strawberry,one ripe red strawberry,no,bathtub,a white bathtub filled with water,no,direct,"A simple realistic close-up video in one continuous shot. One ripe red strawberry falls naturally from above, enters the center of the water in a white bathtub filled with water, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a white bathtub filled with water. The water surface stays smooth, level, and undisturbed. A soft reflected highlight moves slowly from left to right across the water and receiver. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26060,49,8,,
33,65,water_impact_dynamic_v1,widyn_test_0065_ceramic_bead_rain_barrel_natural,test,unseen_source_and_receiver,object_enters_water,ceramic_bead,one white ceramic bead,no,rain_barrel,an open rain barrel filled with water,no,natural,"A simple realistic close-up video in one continuous shot. In a single natural motion, one white ceramic bead drops into the center of the water in an open rain barrel filled with water. After it touches the water, a short splash rises and expanding ripples travel outward. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing an open rain barrel filled with water. The calm level water keeps a smooth surface while reflected light and faint ambient highlights move gradually across the scene. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26065,49,8,,
34,69,water_impact_dynamic_v1,widyn_test_0069_pine_cone_stone_basin_natural,test,unseen_source_and_receiver,object_enters_water,pine_cone,one small brown pine cone,no,stone_basin,a carved granite basin filled with water,no,natural,"A simple realistic close-up video in one continuous shot. In a single natural motion, one small brown pine cone drops into the center of the water in a carved granite basin filled with water. After it touches the water, a short splash rises and expanding ripples travel outward. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a carved granite basin filled with water. The calm level water keeps a smooth surface while reflected light and faint ambient highlights move gradually across the scene. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26069,49,8,,
35,70,water_impact_dynamic_v1,widyn_test_0070_pine_cone_water_trough_direct,test,unseen_source_and_receiver,object_enters_water,pine_cone,one small brown pine cone,no,water_trough,a small rectangular water trough,no,direct,"A simple realistic close-up video in one continuous shot. One small brown pine cone falls naturally from above, enters the center of the water in a small rectangular water trough, and makes contact. The contact produces a visible brief splash followed by circular ripples spreading across the water. A soft reflected highlight moves slowly from left to right across the water and receiver throughout the shot. The viewpoint, receiver, and background geometry remain stable.","A simple realistic close-up video in one continuous shot showing a small rectangular water trough. The water surface stays smooth, level, and undisturbed. A soft reflected highlight moves slowly from left to right across the water and receiver. The viewpoint, receiver, and background geometry remain stable.","source enters water, then splash and expanding ripples",same receiver with natural water motion but no source or impact footprint,26070,49,8,,
