# Waterdrop prompt gate40 v1, part_b; fixed seed 9000.
# Format: <prompt> | <target> | <effect>

A realistic fixed-camera macro video in one continuous shot. During the first two seconds, dry plaster surface is clean, completely dry, flat, and supported on a rigid surface. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly left of center. Only after contact, the water soaks in and leaves a compact dark damp spot with little outward spread. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | the water soaks in and leaves a compact dark damp spot with little outward spread
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, dry mortar sample is clean, completely dry, flat, and showing a clear grain or fiber direction. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly right of center. Only after contact, an elongated wet mark gradually spreads along the visible grain or fibers. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | an elongated wet mark gradually spreads along the visible grain or fibers
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, unfinished cedar board is clean, completely dry, flat, and firmly supported so it cannot move. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts near one visible edge. Only after contact, an asymmetric wet patch appears and slowly spreads inward from the contact point. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | an asymmetric wet patch appears and slowly spreads inward from the contact point
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, untreated nubuck fixed flat is clean, completely dry, flat, and motionless. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center. Only after contact, the water is absorbed and a small dark wet patch gradually expands. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | the water is absorbed and a small dark wet patch gradually expands
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, uncoated paper egg carton surface is clean, completely dry, flat, and supported on a rigid surface. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly left of center. Only after contact, the water soaks in and leaves a compact dark damp spot with little outward spread. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | the water soaks in and leaves a compact dark damp spot with little outward spread
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, dry cement powder is arranged as a lightly compacted dry layer and completely undisturbed. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly off-center. Only after contact, a shallow dent forms and nearby particles bind into a small darker damp cluster. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a shallow dent forms and nearby particles bind into a small darker damp cluster
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, tiny clear glass beads is arranged as a smooth level bed and completely undisturbed. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the bed. Only after contact, a small crater forms, a few particles move outward, and the center becomes darker and damp. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a small crater forms, a few particles move outward, and the center becomes darker and damp
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, dry couscous grains is arranged as a small dry mound and completely undisturbed. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the top of the mound. Only after contact, a small indentation forms, several particles scatter down the sides, and a damp clump remains. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a small indentation forms, several particles scatter down the sides, and a damp clump remains
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, ground paprika powder is arranged as a lightly compacted dry layer and completely undisturbed. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts slightly off-center. Only after contact, a shallow dent forms and nearby particles bind into a small darker damp cluster. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a shallow dent forms and nearby particles bind into a small darker damp cluster
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, small aquarium gravel is arranged as a smooth level bed and completely undisturbed. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center of the bed. Only after contact, a small crater forms, a few particles move outward, and the center becomes darker and damp. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a small crater forms, a few particles move outward, and the center becomes darker and damp
