# Ball-block causal-chain clean-source candidates
# Scene is fixed; only wording varies.
# Format: <prompt> | <target> | <effect>

A realistic locked-camera side shot shows four wooden blocks upright on a smooth gray floor. A red rubber ball moves from left to right by rolling, hits the blocks, and causes all four to topple afterward. | red rubber ball | four wooden blocks topple over after the impact
In a simple studio filmed from a fixed side angle, four wooden blocks stand upright at first. A red rubber ball rolls across the flat gray floor from left to right, contacts the blocks, and the blocks fall after the collision. | red rubber ball | four wooden blocks topple over after the impact
A realistic side-view video with a stationary camera shows four wooden blocks arranged upright on a gray floor. A red rubber ball rolls from the left toward them, clearly hits them, and all four blocks topple after impact. | red rubber ball | four wooden blocks topple over after the impact
A single continuous fixed side shot captures four upright wooden blocks on a level gray studio floor. A red rubber ball enters from the left, rolls into the blocks, and causes them to topple after the hit. | red rubber ball | four wooden blocks topple over after the impact
A plain studio setup is filmed from a locked side perspective. Four wooden blocks are standing upright on the gray floor before a red rubber ball rolls left to right and strikes them. The four blocks then topple. | red rubber ball | four wooden blocks topple over after the impact
A realistic fixed side-view scene shows a red rubber ball on the left and four upright wooden blocks farther right on a flat gray floor. The ball rolls into the blocks, and the blocks topple after the collision. | red rubber ball | four wooden blocks topple over after the impact
A stationary side camera films a simple gray-floor studio scene. Four wooden blocks stand upright initially. A red rubber ball rolls from the left, hits the four blocks, and they fall over only after being hit. | red rubber ball | four wooden blocks topple over after the impact
A realistic side-on video is recorded with a fixed camera. Four wooden blocks begin upright on a smooth gray studio floor. A red rubber ball rolls from left to right, strikes them, and the four blocks topple afterward. | red rubber ball | four wooden blocks topple over after the impact
A locked side-view camera shows four upright wooden blocks on a level gray floor in a simple studio. A red rubber ball rolls in from the left, makes direct contact with the blocks, and all four topple after the contact. | red rubber ball | four wooden blocks topple over after the impact
A realistic one-shot studio clip maintains a fixed side view. At first, four wooden blocks stand upright on the gray floor. A red rubber ball rolls toward them from the left, hits them, and causes the blocks to fall afterward. | red rubber ball | four wooden blocks topple over after the impact
A simple fixed-camera side view shows four wooden blocks standing upright on a flat gray floor. A red rubber ball travels from left to right by rolling, collides with the blocks, and all four blocks topple after impact. | red rubber ball | four wooden blocks topple over after the impact
A realistic stationary side shot begins with four upright wooden blocks on a plain gray studio floor. A red rubber ball rolls into view from the left, strikes the blocks, and the four blocks then fall over. | red rubber ball | four wooden blocks topple over after the impact
A continuous studio video from a locked side camera shows four wooden blocks upright at the start. A red rubber ball rolls left to right across the gray floor and hits them. After the hit, all four wooden blocks topple. | red rubber ball | four wooden blocks topple over after the impact
A realistic fixed side-angle video shows four wooden blocks standing upright on a level gray floor. A red rubber ball approaches from the left while rolling, collides with the blocks, and causes all four blocks to topple afterward. | red rubber ball | four wooden blocks topple over after the impact
A stationary camera records the scene from the side in a simple studio. Four wooden blocks begin upright on the flat gray floor. A red rubber ball rolls from left to right, strikes the blocks, and the blocks fall following impact. | red rubber ball | four wooden blocks topple over after the impact
A realistic locked side-view shot presents four upright wooden blocks on a smooth gray floor. A red rubber ball enters from the left, rolls directly into the blocks, and all four blocks topple after the collision. | red rubber ball | four wooden blocks topple over after the impact
A plain studio video uses a fixed side camera and a flat gray floor. Four wooden blocks are upright before a red rubber ball rolls from left to right and clearly hits them. The four blocks topple only after the ball makes contact. | red rubber ball | four wooden blocks topple over after the impact
A realistic single-take side view shows four wooden blocks standing upright on a gray studio floor. A red rubber ball rolls steadily in from the left, collides with the blocks, and makes all four blocks fall afterward. | red rubber ball | four wooden blocks topple over after the impact
A fixed side-facing camera captures a simple studio scene with four upright wooden blocks on a level gray floor. A red rubber ball rolls from left to right, strikes the blocks, and the four blocks topple after being struck. | red rubber ball | four wooden blocks topple over after the impact
A realistic side-view clip with no camera motion begins with four wooden blocks upright on a flat gray floor. A red rubber ball rolls in from the left and hits them. Following the collision, all four blocks fall over. | red rubber ball | four wooden blocks topple over after the impact
A simple studio scene is recorded in a fixed side profile. Four wooden blocks initially stand upright on the smooth gray floor. A red rubber ball rolls left to right into the blocks, and they topple only after impact. | red rubber ball | four wooden blocks topple over after the impact
A realistic stationary side-view video shows four upright wooden blocks on a plain gray studio floor. A red rubber ball approaches from the left, visibly collides with the blocks, and all four wooden blocks topple afterward. | red rubber ball | four wooden blocks topple over after the impact
A locked side camera records one continuous shot of four wooden blocks standing upright on a flat gray floor. A red rubber ball rolls from left to right, hits the blocks, and causes all four to fall after contact. | red rubber ball | four wooden blocks topple over after the impact
A realistic fixed-camera side shot in a simple studio starts with four wooden blocks upright on a level gray floor. A red rubber ball rolls in from the left, strikes the blocks, and after the impact all four wooden blocks topple over. | red rubber ball | four wooden blocks topple over after the impact
