# Exported benchmark-v2 candidate prompts
# Status: candidate_v2; not clean-source-gated yet
# Format: <prompt> | <target> | <effect>

A realistic fixed-camera close-up video under bright studio lighting. The scene starts with an intact thin sugar-glass pane, with no pre-existing crack. A clearly visible red rubber ball enters the frame and remains visible before contact. The red rubber ball hits the center of the pane only after the visible contact moment, causing radial cracks spread outward across the glass; the effect begins only after contact and remains visible for several frames. | red rubber ball | radial cracks spread outward across the glass
A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with a clean gray tile floor, with no pre-existing crack or shard. A clearly visible white ceramic mug enters the frame and remains visible before contact. The white ceramic mug drops onto the tile in the middle of the clip, causing ceramic shards and thin cracks spread from the impact point; the effect begins only after contact and remains visible for several frames. | white ceramic mug | ceramic shards and thin cracks spread from the impact point
A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with a clean gray tile floor, with no pre-existing crack or shard. A clearly visible white ceramic mug enters the frame and remains visible before contact. The white ceramic mug drops onto the tile after a short still beginning, causing ceramic shards and thin cracks spread from the impact point; the effect begins only after contact and remains visible for several frames. | white ceramic mug | ceramic shards and thin cracks spread from the impact point
A realistic fixed-camera close-up video from a top-down macro view. The scene starts with a clean gray tile floor, with no pre-existing crack or shard. A clearly visible white ceramic mug enters the frame and remains visible before contact. The white ceramic mug drops onto the tile after the surface is shown clean, causing ceramic shards and thin cracks spread from the impact point; the effect begins only after contact and remains visible for several frames. | white ceramic mug | ceramic shards and thin cracks spread from the impact point
A realistic fixed-camera close-up video from a side close-up view. The scene starts with a clean gray tile floor, with no pre-existing crack or shard. A clearly visible white ceramic mug enters the frame and remains visible before contact. The white ceramic mug drops onto the tile after the target is clearly visible, causing ceramic shards and thin cracks spread from the impact point; the effect begins only after contact and remains visible for several frames. | white ceramic mug | ceramic shards and thin cracks spread from the impact point
A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a clean gray tile floor, with no pre-existing crack or shard. A clearly visible white ceramic mug enters the frame and remains visible before contact. The white ceramic mug drops onto the tile only after the visible contact moment, causing ceramic shards and thin cracks spread from the impact point; the effect begins only after contact and remains visible for several frames. | white ceramic mug | ceramic shards and thin cracks spread from the impact point
A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with an intact phone screen on a white table, with no pre-existing screen crack. A clearly visible small metal nut enters the frame and remains visible before contact. The small metal nut falls onto the screen in the middle of the clip, causing a spiderweb crack appears on the phone screen; the effect begins only after contact and remains visible for several frames. | small metal nut | a spiderweb crack appears on the phone screen
A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with an intact phone screen on a white table, with no pre-existing screen crack. A clearly visible small metal nut enters the frame and remains visible before contact. The small metal nut falls onto the screen after a short still beginning, causing a spiderweb crack appears on the phone screen; the effect begins only after contact and remains visible for several frames. | small metal nut | a spiderweb crack appears on the phone screen
A realistic fixed-camera close-up video from a top-down macro view. The scene starts with an intact phone screen on a white table, with no pre-existing screen crack. A clearly visible small metal nut enters the frame and remains visible before contact. The small metal nut falls onto the screen after the surface is shown clean, causing a spiderweb crack appears on the phone screen; the effect begins only after contact and remains visible for several frames. | small metal nut | a spiderweb crack appears on the phone screen
A realistic fixed-camera close-up video from a side close-up view. The scene starts with an intact phone screen on a white table, with no pre-existing screen crack. A clearly visible small metal nut enters the frame and remains visible before contact. The small metal nut falls onto the screen after the target is clearly visible, causing a spiderweb crack appears on the phone screen; the effect begins only after contact and remains visible for several frames. | small metal nut | a spiderweb crack appears on the phone screen
A realistic fixed-camera close-up video under bright studio lighting. The scene starts with an intact phone screen on a white table, with no pre-existing screen crack. A clearly visible small metal nut enters the frame and remains visible before contact. The small metal nut falls onto the screen only after the visible contact moment, causing a spiderweb crack appears on the phone screen; the effect begins only after contact and remains visible for several frames. | small metal nut | a spiderweb crack appears on the phone screen
A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with a clear acrylic sheet, with no pre-existing impact crack. A clearly visible yellow golf ball enters the frame and remains visible before contact. The yellow golf ball strikes the sheet in the middle of the clip, causing a circular impact crack appears and spreads; the effect begins only after contact and remains visible for several frames. | yellow golf ball | a circular impact crack appears and spreads
A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with a clear acrylic sheet, with no pre-existing impact crack. A clearly visible yellow golf ball enters the frame and remains visible before contact. The yellow golf ball strikes the sheet after a short still beginning, causing a circular impact crack appears and spreads; the effect begins only after contact and remains visible for several frames. | yellow golf ball | a circular impact crack appears and spreads
A realistic fixed-camera close-up video from a top-down macro view. The scene starts with a clear acrylic sheet, with no pre-existing impact crack. A clearly visible yellow golf ball enters the frame and remains visible before contact. The yellow golf ball strikes the sheet after the surface is shown clean, causing a circular impact crack appears and spreads; the effect begins only after contact and remains visible for several frames. | yellow golf ball | a circular impact crack appears and spreads
A realistic fixed-camera close-up video from a side close-up view. The scene starts with a clear acrylic sheet, with no pre-existing impact crack. A clearly visible yellow golf ball enters the frame and remains visible before contact. The yellow golf ball strikes the sheet after the target is clearly visible, causing a circular impact crack appears and spreads; the effect begins only after contact and remains visible for several frames. | yellow golf ball | a circular impact crack appears and spreads
A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a clear acrylic sheet, with no pre-existing impact crack. A clearly visible yellow golf ball enters the frame and remains visible before contact. The yellow golf ball strikes the sheet only after the visible contact moment, causing a circular impact crack appears and spreads; the effect begins only after contact and remains visible for several frames. | yellow golf ball | a circular impact crack appears and spreads
A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with a smooth clay pot, with no pre-existing chip or crack. A clearly visible wooden mallet enters the frame and remains visible before contact. The wooden mallet taps the side of the pot in the middle of the clip, causing a small chip and crack line remain on the clay; the effect begins only after contact and remains visible for several frames. | wooden mallet | a small chip and crack line remain on the clay
A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with a smooth clay pot, with no pre-existing chip or crack. A clearly visible wooden mallet enters the frame and remains visible before contact. The wooden mallet taps the side of the pot after a short still beginning, causing a small chip and crack line remain on the clay; the effect begins only after contact and remains visible for several frames. | wooden mallet | a small chip and crack line remain on the clay
A realistic fixed-camera close-up video from a top-down macro view. The scene starts with a smooth clay pot, with no pre-existing chip or crack. A clearly visible wooden mallet enters the frame and remains visible before contact. The wooden mallet taps the side of the pot after the surface is shown clean, causing a small chip and crack line remain on the clay; the effect begins only after contact and remains visible for several frames. | wooden mallet | a small chip and crack line remain on the clay
A realistic fixed-camera close-up video from a side close-up view. The scene starts with a smooth clay pot, with no pre-existing chip or crack. A clearly visible wooden mallet enters the frame and remains visible before contact. The wooden mallet taps the side of the pot after the target is clearly visible, causing a small chip and crack line remain on the clay; the effect begins only after contact and remains visible for several frames. | wooden mallet | a small chip and crack line remain on the clay
A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a smooth clay pot, with no pre-existing chip or crack. A clearly visible wooden mallet enters the frame and remains visible before contact. The wooden mallet taps the side of the pot only after the visible contact moment, causing a small chip and crack line remain on the clay; the effect begins only after contact and remains visible for several frames. | wooden mallet | a small chip and crack line remain on the clay
A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with a thin frozen puddle surface, with no pre-existing ice crack. A clearly visible ice cube enters the frame and remains visible before contact. The ice cube lands on the ice in the middle of the clip, causing branching white cracks spread through the ice; the effect begins only after contact and remains visible for several frames. | ice cube | branching white cracks spread through the ice
A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with a thin frozen puddle surface, with no pre-existing ice crack. A clearly visible ice cube enters the frame and remains visible before contact. The ice cube lands on the ice after a short still beginning, causing branching white cracks spread through the ice; the effect begins only after contact and remains visible for several frames. | ice cube | branching white cracks spread through the ice
A realistic fixed-camera close-up video from a top-down macro view. The scene starts with a thin frozen puddle surface, with no pre-existing ice crack. A clearly visible ice cube enters the frame and remains visible before contact. The ice cube lands on the ice after the surface is shown clean, causing branching white cracks spread through the ice; the effect begins only after contact and remains visible for several frames. | ice cube | branching white cracks spread through the ice
A realistic fixed-camera close-up video from a side close-up view. The scene starts with a thin frozen puddle surface, with no pre-existing ice crack. A clearly visible ice cube enters the frame and remains visible before contact. The ice cube lands on the ice after the target is clearly visible, causing branching white cracks spread through the ice; the effect begins only after contact and remains visible for several frames. | ice cube | branching white cracks spread through the ice
A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a thin frozen puddle surface, with no pre-existing ice crack. A clearly visible ice cube enters the frame and remains visible before contact. The ice cube lands on the ice only after the visible contact moment, causing branching white cracks spread through the ice; the effect begins only after contact and remains visible for several frames. | ice cube | branching white cracks spread through the ice
A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with an intact mirror tile, with no pre-existing mirror crack. A clearly visible black hockey puck enters the frame and remains visible before contact. The black hockey puck slides into the mirror tile in the middle of the clip, causing a star-shaped crack spreads across the mirror; the effect begins only after contact and remains visible for several frames. | black hockey puck | a star-shaped crack spreads across the mirror
A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with an intact mirror tile, with no pre-existing mirror crack. A clearly visible black hockey puck enters the frame and remains visible before contact. The black hockey puck slides into the mirror tile after a short still beginning, causing a star-shaped crack spreads across the mirror; the effect begins only after contact and remains visible for several frames. | black hockey puck | a star-shaped crack spreads across the mirror
A realistic fixed-camera close-up video from a top-down macro view. The scene starts with an intact mirror tile, with no pre-existing mirror crack. A clearly visible black hockey puck enters the frame and remains visible before contact. The black hockey puck slides into the mirror tile after the surface is shown clean, causing a star-shaped crack spreads across the mirror; the effect begins only after contact and remains visible for several frames. | black hockey puck | a star-shaped crack spreads across the mirror
A realistic fixed-camera close-up video from a side close-up view. The scene starts with an intact mirror tile, with no pre-existing mirror crack. A clearly visible black hockey puck enters the frame and remains visible before contact. The black hockey puck slides into the mirror tile after the target is clearly visible, causing a star-shaped crack spreads across the mirror; the effect begins only after contact and remains visible for several frames. | black hockey puck | a star-shaped crack spreads across the mirror
A realistic fixed-camera close-up video under bright studio lighting. The scene starts with an intact mirror tile, with no pre-existing mirror crack. A clearly visible black hockey puck enters the frame and remains visible before contact. The black hockey puck slides into the mirror tile only after the visible contact moment, causing a star-shaped crack spreads across the mirror; the effect begins only after contact and remains visible for several frames. | black hockey puck | a star-shaped crack spreads across the mirror
A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with a plain white ceramic plate, with no pre-existing chip or crack. A clearly visible small hammer enters the frame and remains visible before contact. The small hammer strikes the plate edge in the middle of the clip, causing a visible chip and hairline crack appear; the effect begins only after contact and remains visible for several frames. | small hammer | a visible chip and hairline crack appear
A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with a plain white ceramic plate, with no pre-existing chip or crack. A clearly visible small hammer enters the frame and remains visible before contact. The small hammer strikes the plate edge after a short still beginning, causing a visible chip and hairline crack appear; the effect begins only after contact and remains visible for several frames. | small hammer | a visible chip and hairline crack appear
A realistic fixed-camera close-up video from a top-down macro view. The scene starts with a plain white ceramic plate, with no pre-existing chip or crack. A clearly visible small hammer enters the frame and remains visible before contact. The small hammer strikes the plate edge after the surface is shown clean, causing a visible chip and hairline crack appear; the effect begins only after contact and remains visible for several frames. | small hammer | a visible chip and hairline crack appear
A realistic fixed-camera close-up video from a side close-up view. The scene starts with a plain white ceramic plate, with no pre-existing chip or crack. A clearly visible small hammer enters the frame and remains visible before contact. The small hammer strikes the plate edge after the target is clearly visible, causing a visible chip and hairline crack appear; the effect begins only after contact and remains visible for several frames. | small hammer | a visible chip and hairline crack appear
A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a plain white ceramic plate, with no pre-existing chip or crack. A clearly visible small hammer enters the frame and remains visible before contact. The small hammer strikes the plate edge only after the visible contact moment, causing a visible chip and hairline crack appear; the effect begins only after contact and remains visible for several frames. | small hammer | a visible chip and hairline crack appear
A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with a brittle plaster slab, with no pre-existing dent or crack. A clearly visible marble ball enters the frame and remains visible before contact. The marble ball drops onto the slab in the middle of the clip, causing a round dent and branching cracks appear; the effect begins only after contact and remains visible for several frames. | marble ball | a round dent and branching cracks appear
A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with a brittle plaster slab, with no pre-existing dent or crack. A clearly visible marble ball enters the frame and remains visible before contact. The marble ball drops onto the slab after a short still beginning, causing a round dent and branching cracks appear; the effect begins only after contact and remains visible for several frames. | marble ball | a round dent and branching cracks appear
A realistic fixed-camera close-up video from a top-down macro view. The scene starts with a brittle plaster slab, with no pre-existing dent or crack. A clearly visible marble ball enters the frame and remains visible before contact. The marble ball drops onto the slab after the surface is shown clean, causing a round dent and branching cracks appear; the effect begins only after contact and remains visible for several frames. | marble ball | a round dent and branching cracks appear
A realistic fixed-camera close-up video from a side close-up view. The scene starts with a brittle plaster slab, with no pre-existing dent or crack. A clearly visible marble ball enters the frame and remains visible before contact. The marble ball drops onto the slab after the target is clearly visible, causing a round dent and branching cracks appear; the effect begins only after contact and remains visible for several frames. | marble ball | a round dent and branching cracks appear
A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a brittle plaster slab, with no pre-existing dent or crack. A clearly visible marble ball enters the frame and remains visible before contact. The marble ball drops onto the slab only after the visible contact moment, causing a round dent and branching cracks appear; the effect begins only after contact and remains visible for several frames. | marble ball | a round dent and branching cracks appear
A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with a dry mud tile, with no pre-existing mud crack. A clearly visible stone cube enters the frame and remains visible before contact. The stone cube falls onto the tile in the middle of the clip, causing dry mud cracks radiate from the impact point; the effect begins only after contact and remains visible for several frames. | stone cube | dry mud cracks radiate from the impact point
A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with a dry mud tile, with no pre-existing mud crack. A clearly visible stone cube enters the frame and remains visible before contact. The stone cube falls onto the tile after a short still beginning, causing dry mud cracks radiate from the impact point; the effect begins only after contact and remains visible for several frames. | stone cube | dry mud cracks radiate from the impact point
A realistic fixed-camera close-up video from a top-down macro view. The scene starts with a dry mud tile, with no pre-existing mud crack. A clearly visible stone cube enters the frame and remains visible before contact. The stone cube falls onto the tile after the surface is shown clean, causing dry mud cracks radiate from the impact point; the effect begins only after contact and remains visible for several frames. | stone cube | dry mud cracks radiate from the impact point
A realistic fixed-camera close-up video from a side close-up view. The scene starts with a dry mud tile, with no pre-existing mud crack. A clearly visible stone cube enters the frame and remains visible before contact. The stone cube falls onto the tile after the target is clearly visible, causing dry mud cracks radiate from the impact point; the effect begins only after contact and remains visible for several frames. | stone cube | dry mud cracks radiate from the impact point
A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a dry mud tile, with no pre-existing mud crack. A clearly visible stone cube enters the frame and remains visible before contact. The stone cube falls onto the tile only after the visible contact moment, causing dry mud cracks radiate from the impact point; the effect begins only after contact and remains visible for several frames. | stone cube | dry mud cracks radiate from the impact point
A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with a thin chocolate shell, with no pre-existing chocolate crack. A clearly visible metal spoon enters the frame and remains visible before contact. The metal spoon taps the shell in the middle of the clip, causing jagged cracks spread across the chocolate; the effect begins only after contact and remains visible for several frames. | metal spoon | jagged cracks spread across the chocolate
A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with a thin chocolate shell, with no pre-existing chocolate crack. A clearly visible metal spoon enters the frame and remains visible before contact. The metal spoon taps the shell after a short still beginning, causing jagged cracks spread across the chocolate; the effect begins only after contact and remains visible for several frames. | metal spoon | jagged cracks spread across the chocolate
A realistic fixed-camera close-up video from a top-down macro view. The scene starts with a thin chocolate shell, with no pre-existing chocolate crack. A clearly visible metal spoon enters the frame and remains visible before contact. The metal spoon taps the shell after the surface is shown clean, causing jagged cracks spread across the chocolate; the effect begins only after contact and remains visible for several frames. | metal spoon | jagged cracks spread across the chocolate
A realistic fixed-camera close-up video from a side close-up view. The scene starts with a thin chocolate shell, with no pre-existing chocolate crack. A clearly visible metal spoon enters the frame and remains visible before contact. The metal spoon taps the shell after the target is clearly visible, causing jagged cracks spread across the chocolate; the effect begins only after contact and remains visible for several frames. | metal spoon | jagged cracks spread across the chocolate
A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a thin chocolate shell, with no pre-existing chocolate crack. A clearly visible metal spoon enters the frame and remains visible before contact. The metal spoon taps the shell only after the visible contact moment, causing jagged cracks spread across the chocolate; the effect begins only after contact and remains visible for several frames. | metal spoon | jagged cracks spread across the chocolate
A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with a clean windshield test panel, with no pre-existing windshield crack. A clearly visible small brick enters the frame and remains visible before contact. The small brick hits the panel in the middle of the clip, causing spiderweb cracks spread from the contact point; the effect begins only after contact and remains visible for several frames. | small brick | spiderweb cracks spread from the contact point
A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with a clean windshield test panel, with no pre-existing windshield crack. A clearly visible small brick enters the frame and remains visible before contact. The small brick hits the panel after a short still beginning, causing spiderweb cracks spread from the contact point; the effect begins only after contact and remains visible for several frames. | small brick | spiderweb cracks spread from the contact point
A realistic fixed-camera close-up video from a top-down macro view. The scene starts with a clean windshield test panel, with no pre-existing windshield crack. A clearly visible small brick enters the frame and remains visible before contact. The small brick hits the panel after the surface is shown clean, causing spiderweb cracks spread from the contact point; the effect begins only after contact and remains visible for several frames. | small brick | spiderweb cracks spread from the contact point
A realistic fixed-camera close-up video from a side close-up view. The scene starts with a clean windshield test panel, with no pre-existing windshield crack. A clearly visible small brick enters the frame and remains visible before contact. The small brick hits the panel after the target is clearly visible, causing spiderweb cracks spread from the contact point; the effect begins only after contact and remains visible for several frames. | small brick | spiderweb cracks spread from the contact point
A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a clean windshield test panel, with no pre-existing windshield crack. A clearly visible small brick enters the frame and remains visible before contact. The small brick hits the panel only after the visible contact moment, causing spiderweb cracks spread from the contact point; the effect begins only after contact and remains visible for several frames. | small brick | spiderweb cracks spread from the contact point
A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with a thin ice sheet, with no pre-existing ice crack. A clearly visible clear glass bead enters the frame and remains visible before contact. The clear glass bead drops onto the ice sheet in the middle of the clip, causing concentric cracks spread across the ice; the effect begins only after contact and remains visible for several frames. | clear glass bead | concentric cracks spread across the ice
A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with a thin ice sheet, with no pre-existing ice crack. A clearly visible clear glass bead enters the frame and remains visible before contact. The clear glass bead drops onto the ice sheet after a short still beginning, causing concentric cracks spread across the ice; the effect begins only after contact and remains visible for several frames. | clear glass bead | concentric cracks spread across the ice
A realistic fixed-camera close-up video from a top-down macro view. The scene starts with a thin ice sheet, with no pre-existing ice crack. A clearly visible clear glass bead enters the frame and remains visible before contact. The clear glass bead drops onto the ice sheet after the surface is shown clean, causing concentric cracks spread across the ice; the effect begins only after contact and remains visible for several frames. | clear glass bead | concentric cracks spread across the ice
A realistic fixed-camera close-up video from a side close-up view. The scene starts with a thin ice sheet, with no pre-existing ice crack. A clearly visible clear glass bead enters the frame and remains visible before contact. The clear glass bead drops onto the ice sheet after the target is clearly visible, causing concentric cracks spread across the ice; the effect begins only after contact and remains visible for several frames. | clear glass bead | concentric cracks spread across the ice
A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a thin ice sheet, with no pre-existing ice crack. A clearly visible clear glass bead enters the frame and remains visible before contact. The clear glass bead drops onto the ice sheet only after the visible contact moment, causing concentric cracks spread across the ice; the effect begins only after contact and remains visible for several frames. | clear glass bead | concentric cracks spread across the ice
A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with a brittle black slate tile, with no pre-existing slate crack. A clearly visible steel ball bearing enters the frame and remains visible before contact. The steel ball bearing falls onto the slate in the middle of the clip, causing pale branching cracks appear on the slate; the effect begins only after contact and remains visible for several frames. | steel ball bearing | pale branching cracks appear on the slate
A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with a brittle black slate tile, with no pre-existing slate crack. A clearly visible steel ball bearing enters the frame and remains visible before contact. The steel ball bearing falls onto the slate after a short still beginning, causing pale branching cracks appear on the slate; the effect begins only after contact and remains visible for several frames. | steel ball bearing | pale branching cracks appear on the slate
A realistic fixed-camera close-up video from a top-down macro view. The scene starts with a brittle black slate tile, with no pre-existing slate crack. A clearly visible steel ball bearing enters the frame and remains visible before contact. The steel ball bearing falls onto the slate after the surface is shown clean, causing pale branching cracks appear on the slate; the effect begins only after contact and remains visible for several frames. | steel ball bearing | pale branching cracks appear on the slate
A realistic fixed-camera close-up video from a side close-up view. The scene starts with a brittle black slate tile, with no pre-existing slate crack. A clearly visible steel ball bearing enters the frame and remains visible before contact. The steel ball bearing falls onto the slate after the target is clearly visible, causing pale branching cracks appear on the slate; the effect begins only after contact and remains visible for several frames. | steel ball bearing | pale branching cracks appear on the slate
A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a brittle black slate tile, with no pre-existing slate crack. A clearly visible steel ball bearing enters the frame and remains visible before contact. The steel ball bearing falls onto the slate only after the visible contact moment, causing pale branching cracks appear on the slate; the effect begins only after contact and remains visible for several frames. | steel ball bearing | pale branching cracks appear on the slate
A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with a flat patch of wet tan sand, with no pre-existing print or mark. A clearly visible blue sneaker enters the frame and remains visible before contact. The blue sneaker steps down and lifts away in the middle of the clip, causing a sharp shoeprint remains in the wet sand; the effect begins only after contact and remains visible for several frames. | blue sneaker | a sharp shoeprint remains in the wet sand
A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with a flat patch of wet tan sand, with no pre-existing print or mark. A clearly visible blue sneaker enters the frame and remains visible before contact. The blue sneaker steps down and lifts away after a short still beginning, causing a sharp shoeprint remains in the wet sand; the effect begins only after contact and remains visible for several frames. | blue sneaker | a sharp shoeprint remains in the wet sand
A realistic fixed-camera close-up video from a top-down macro view. The scene starts with a flat patch of wet tan sand, with no pre-existing print or mark. A clearly visible blue sneaker enters the frame and remains visible before contact. The blue sneaker steps down and lifts away after the surface is shown clean, causing a sharp shoeprint remains in the wet sand; the effect begins only after contact and remains visible for several frames. | blue sneaker | a sharp shoeprint remains in the wet sand
A realistic fixed-camera close-up video from a side close-up view. The scene starts with a flat patch of wet tan sand, with no pre-existing print or mark. A clearly visible blue sneaker enters the frame and remains visible before contact. The blue sneaker steps down and lifts away after the target is clearly visible, causing a sharp shoeprint remains in the wet sand; the effect begins only after contact and remains visible for several frames. | blue sneaker | a sharp shoeprint remains in the wet sand
A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a flat patch of wet tan sand, with no pre-existing print or mark. A clearly visible blue sneaker enters the frame and remains visible before contact. The blue sneaker steps down and lifts away only after the visible contact moment, causing a sharp shoeprint remains in the wet sand; the effect begins only after contact and remains visible for several frames. | blue sneaker | a sharp shoeprint remains in the wet sand
A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with a clean fogged glass panel, with no pre-existing handprint. A clearly visible bare hand enters the frame and remains visible before contact. The bare hand presses flat against the glass in the middle of the clip, causing a handprint remains on the fogged glass; the effect begins only after contact and remains visible for several frames. | bare hand | a handprint remains on the fogged glass
A realistic fixed-camera close-up video in slow motion with a locked camera. The scene starts with a clean fogged glass panel, with no pre-existing handprint. A clearly visible bare hand enters the frame and remains visible before contact. The bare hand presses flat against the glass after a short still beginning, causing a handprint remains on the fogged glass; the effect begins only after contact and remains visible for several frames. | bare hand | a handprint remains on the fogged glass
A realistic fixed-camera close-up video from a top-down macro view. The scene starts with a clean fogged glass panel, with no pre-existing handprint. A clearly visible bare hand enters the frame and remains visible before contact. The bare hand presses flat against the glass after the surface is shown clean, causing a handprint remains on the fogged glass; the effect begins only after contact and remains visible for several frames. | bare hand | a handprint remains on the fogged glass
A realistic fixed-camera close-up video from a side close-up view. The scene starts with a clean fogged glass panel, with no pre-existing handprint. A clearly visible bare hand enters the frame and remains visible before contact. The bare hand presses flat against the glass after the target is clearly visible, causing a handprint remains on the fogged glass; the effect begins only after contact and remains visible for several frames. | bare hand | a handprint remains on the fogged glass
A realistic fixed-camera close-up video under bright studio lighting. The scene starts with a clean fogged glass panel, with no pre-existing handprint. A clearly visible bare hand enters the frame and remains visible before contact. The bare hand presses flat against the glass only after the visible contact moment, causing a handprint remains on the fogged glass; the effect begins only after contact and remains visible for several frames. | bare hand | a handprint remains on the fogged glass
A realistic fixed-camera close-up video with a plain high-contrast background. The scene starts with smooth wet mud, with no pre-existing track. A clearly visible bicycle tire enters the frame and remains visible before contact. The bicycle tire rolls straight through the mud in the middle of the clip, causing a dark tire track remains in the mud; the effect begins only after contact and remains visible for several frames. | bicycle tire | a dark tire track remains in the mud
