# Waterdrop prompt bank v2 simple, shard 0/5; fixed seed 9000.
# Format: <prompt> | <target> | <effect>

A realistic fixed-camera macro video in one continuous shot. During the first two seconds, polished concrete slab is clean, completely dry, horizontal, and motionless. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center. Only after contact, a brief radial splash appears and several clear water beads remain. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a brief radial splash appears and several clear water beads remain
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, porcelain sink ledge is clean, completely dry, horizontal, and motionless. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center. Only after contact, a brief radial splash appears and several clear water beads remain. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a brief radial splash appears and several clear water beads remain
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, brushed aluminum sheet is clean, completely dry, horizontal, and motionless. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center. Only after contact, a brief radial splash appears and several clear water beads remain. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a brief radial splash appears and several clear water beads remain
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, steel workbench top is clean, completely dry, horizontal, and motionless. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center. Only after contact, a brief radial splash appears and several clear water beads remain. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a brief radial splash appears and several clear water beads remain
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, clear glass plate is clean, completely dry, horizontal, and motionless. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center. Only after contact, a brief radial splash appears and several clear water beads remain. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a brief radial splash appears and several clear water beads remain
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, rigid white PVC board is clean, completely dry, horizontal, and motionless. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center. Only after contact, a brief radial splash appears and several clear water beads remain. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a brief radial splash appears and several clear water beads remain
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, lacquered wood panel is clean, completely dry, horizontal, and motionless. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center. Only after contact, a brief radial splash appears and several clear water beads remain. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a brief radial splash appears and several clear water beads remain
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, flat wall mirror is clean, completely dry, horizontal, and motionless. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center. Only after contact, a brief radial splash appears and several clear water beads remain. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a brief radial splash appears and several clear water beads remain
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, polished stone coaster is clean, completely dry, horizontal, and motionless. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center. Only after contact, a brief radial splash appears and several clear water beads remain. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a brief radial splash appears and several clear water beads remain
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, stainless-steel coaster is clean, completely dry, horizontal, and motionless. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center. Only after contact, a brief radial splash appears and several clear water beads remain. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a brief radial splash appears and several clear water beads remain
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, flat section of a painted car hood is clean, completely dry, horizontal, and motionless. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center. Only after contact, a brief radial splash appears and several clear water beads remain. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a brief radial splash appears and several clear water beads remain
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, camera filter glass is clean, completely dry, horizontal, and motionless. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center. Only after contact, a brief radial splash appears and several clear water beads remain. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a brief radial splash appears and several clear water beads remain
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, polished obsidian slab is clean, completely dry, horizontal, and motionless. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center. Only after contact, a brief radial splash appears and several clear water beads remain. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a brief radial splash appears and several clear water beads remain
A realistic fixed-camera macro video in one continuous shot. During the first two seconds, glazed porcelain floor tile is clean, completely dry, horizontal, and motionless. No water, falling droplet, or wet footprint is visible during these first two seconds. Then exactly one large clear water droplet enters from the top of the frame, falls visibly downward, and contacts the center. Only after contact, a brief radial splash appears and several clear water beads remain. The camera, lighting, background, receiver geometry, and all other objects remain unchanged. | single falling water droplet | a brief radial splash appears and several clear water beads remain
