# Exported benchmark-v2 control prompts
# Format: <prompt> | <target> | <effect>

A realistic fixed-camera close-up video of a small visible bead producing a similar footprint: crown splash and circular ripples, with no water droplet visible. | water droplet | crown splash and circular ripples
A realistic fixed-camera close-up video of the same scene before the event, with no blue ink droplet, no visible cause, and no blue plume blooms downward. | blue ink droplet | blue plume blooms downward
A realistic fixed-camera close-up video showing blue plume blooms downward, with no blue ink droplet or other visible cause in the frame. | blue ink droplet | blue plume blooms downward
A realistic fixed-camera close-up video of a small visible bead producing a similar footprint: blue plume blooms downward, with no blue ink droplet visible. | blue ink droplet | blue plume blooms downward
A realistic fixed-camera close-up video of the same scene before the event, with no bicycle tire, no visible cause, and no tire track remains in mud. | bicycle tire | tire track remains in mud
A realistic fixed-camera close-up video showing tire track remains in mud, with no bicycle tire or other visible cause in the frame. | bicycle tire | tire track remains in mud
A realistic fixed-camera close-up video of a smooth wooden block producing a similar footprint: tire track remains in mud, with no bicycle tire visible. | bicycle tire | tire track remains in mud
A realistic fixed-camera close-up video of the same scene before the event, with no rock, no visible cause, and no spiderweb crack spreads on windshield. | rock | spiderweb crack spreads on windshield
A realistic fixed-camera close-up video showing spiderweb crack spreads on windshield, with no rock or other visible cause in the frame. | rock | spiderweb crack spreads on windshield
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: spiderweb crack spreads on windshield, with no rock visible. | rock | spiderweb crack spreads on windshield
A realistic fixed-camera close-up video of the same scene before the event, with no soccer ball, no visible cause, and no net stretches backward. | soccer ball | net stretches backward
A realistic fixed-camera close-up video showing net stretches backward, with no soccer ball or other visible cause in the frame. | soccer ball | net stretches backward
A realistic fixed-camera close-up video of a gloved hand producing a similar footprint: net stretches backward, with no soccer ball visible. | soccer ball | net stretches backward
A realistic fixed-camera close-up video of the same scene before the event, with no tennis ball, no visible cause, and no racket strings bend inward. | tennis ball | racket strings bend inward
A realistic fixed-camera close-up video showing racket strings bend inward, with no tennis ball or other visible cause in the frame. | tennis ball | racket strings bend inward
A realistic fixed-camera close-up video of a gloved hand producing a similar footprint: racket strings bend inward, with no tennis ball visible. | tennis ball | racket strings bend inward
A realistic fixed-camera close-up video of the same scene before the event, with no plastic comb, no visible cause, and no paper scraps lift toward comb. | plastic comb | paper scraps lift toward comb
A realistic fixed-camera close-up video showing paper scraps lift toward comb, with no plastic comb or other visible cause in the frame. | plastic comb | paper scraps lift toward comb
A realistic fixed-camera close-up video of a thin wooden stick producing a similar footprint: paper scraps lift toward comb, with no plastic comb visible. | plastic comb | paper scraps lift toward comb
A realistic fixed-camera close-up video of the same scene before the event, with no fan, no visible cause, and no paper streamers bend backward. | fan | paper streamers bend backward
A realistic fixed-camera close-up video showing paper streamers bend backward, with no fan or other visible cause in the frame. | fan | paper streamers bend backward
A realistic fixed-camera close-up video of a thin wooden stick producing a similar footprint: paper streamers bend backward, with no fan visible. | fan | paper streamers bend backward
A realistic fixed-camera close-up video of the same scene before the event, with no hair dryer, no visible cause, and no ribbons flutter away. | hair dryer | ribbons flutter away
A realistic fixed-camera close-up video showing ribbons flutter away, with no hair dryer or other visible cause in the frame. | hair dryer | ribbons flutter away
A realistic fixed-camera close-up video of a thin wooden stick producing a similar footprint: ribbons flutter away, with no hair dryer visible. | hair dryer | ribbons flutter away
A realistic fixed-camera close-up video of the same scene before the event, with no red rubber ball, no visible cause, and no radial cracks spread outward across the glass. | red rubber ball | radial cracks spread outward across the glass
A realistic fixed-camera close-up video showing radial cracks spread outward across the glass, with no red rubber ball or other visible cause in the frame. | red rubber ball | radial cracks spread outward across the glass
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: radial cracks spread outward across the glass, with no red rubber ball visible. | red rubber ball | radial cracks spread outward across the glass
A realistic fixed-camera close-up video of the same scene before the event, with no red rubber ball, no visible cause, and no radial cracks spread outward across the glass. | red rubber ball | radial cracks spread outward across the glass
A realistic fixed-camera close-up video showing radial cracks spread outward across the glass, with no red rubber ball or other visible cause in the frame. | red rubber ball | radial cracks spread outward across the glass
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: radial cracks spread outward across the glass, with no red rubber ball visible. | red rubber ball | radial cracks spread outward across the glass
A realistic fixed-camera close-up video of the same scene before the event, with no red rubber ball, no visible cause, and no radial cracks spread outward across the glass. | red rubber ball | radial cracks spread outward across the glass
A realistic fixed-camera close-up video showing radial cracks spread outward across the glass, with no red rubber ball or other visible cause in the frame. | red rubber ball | radial cracks spread outward across the glass
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: radial cracks spread outward across the glass, with no red rubber ball visible. | red rubber ball | radial cracks spread outward across the glass
A realistic fixed-camera close-up video of the same scene before the event, with no red rubber ball, no visible cause, and no radial cracks spread outward across the glass. | red rubber ball | radial cracks spread outward across the glass
A realistic fixed-camera close-up video showing radial cracks spread outward across the glass, with no red rubber ball or other visible cause in the frame. | red rubber ball | radial cracks spread outward across the glass
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: radial cracks spread outward across the glass, with no red rubber ball visible. | red rubber ball | radial cracks spread outward across the glass
A realistic fixed-camera close-up video of the same scene before the event, with no red rubber ball, no visible cause, and no radial cracks spread outward across the glass. | red rubber ball | radial cracks spread outward across the glass
A realistic fixed-camera close-up video showing radial cracks spread outward across the glass, with no red rubber ball or other visible cause in the frame. | red rubber ball | radial cracks spread outward across the glass
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: radial cracks spread outward across the glass, with no red rubber ball visible. | red rubber ball | radial cracks spread outward across the glass
A realistic fixed-camera close-up video of the same scene before the event, with no white ceramic mug, no visible cause, and no ceramic shards and thin cracks spread from the impact point. | white ceramic mug | ceramic shards and thin cracks spread from the impact point
A realistic fixed-camera close-up video showing ceramic shards and thin cracks spread from the impact point, with no white ceramic mug or other visible cause in the frame. | white ceramic mug | ceramic shards and thin cracks spread from the impact point
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: ceramic shards and thin cracks spread from the impact point, with no white ceramic mug visible. | white ceramic mug | ceramic shards and thin cracks spread from the impact point
A realistic fixed-camera close-up video of the same scene before the event, with no white ceramic mug, no visible cause, and no ceramic shards and thin cracks spread from the impact point. | white ceramic mug | ceramic shards and thin cracks spread from the impact point
A realistic fixed-camera close-up video showing ceramic shards and thin cracks spread from the impact point, with no white ceramic mug or other visible cause in the frame. | white ceramic mug | ceramic shards and thin cracks spread from the impact point
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: ceramic shards and thin cracks spread from the impact point, with no white ceramic mug visible. | white ceramic mug | ceramic shards and thin cracks spread from the impact point
A realistic fixed-camera close-up video of the same scene before the event, with no white ceramic mug, no visible cause, and no ceramic shards and thin cracks spread from the impact point. | white ceramic mug | ceramic shards and thin cracks spread from the impact point
A realistic fixed-camera close-up video showing ceramic shards and thin cracks spread from the impact point, with no white ceramic mug or other visible cause in the frame. | white ceramic mug | ceramic shards and thin cracks spread from the impact point
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: ceramic shards and thin cracks spread from the impact point, with no white ceramic mug visible. | white ceramic mug | ceramic shards and thin cracks spread from the impact point
A realistic fixed-camera close-up video of the same scene before the event, with no white ceramic mug, no visible cause, and no ceramic shards and thin cracks spread from the impact point. | white ceramic mug | ceramic shards and thin cracks spread from the impact point
A realistic fixed-camera close-up video showing ceramic shards and thin cracks spread from the impact point, with no white ceramic mug or other visible cause in the frame. | white ceramic mug | ceramic shards and thin cracks spread from the impact point
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: ceramic shards and thin cracks spread from the impact point, with no white ceramic mug visible. | white ceramic mug | ceramic shards and thin cracks spread from the impact point
A realistic fixed-camera close-up video of the same scene before the event, with no white ceramic mug, no visible cause, and no ceramic shards and thin cracks spread from the impact point. | white ceramic mug | ceramic shards and thin cracks spread from the impact point
A realistic fixed-camera close-up video showing ceramic shards and thin cracks spread from the impact point, with no white ceramic mug or other visible cause in the frame. | white ceramic mug | ceramic shards and thin cracks spread from the impact point
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: ceramic shards and thin cracks spread from the impact point, with no white ceramic mug visible. | white ceramic mug | ceramic shards and thin cracks spread from the impact point
A realistic fixed-camera close-up video of the same scene before the event, with no small metal nut, no visible cause, and no a spiderweb crack appears on the phone screen. | small metal nut | a spiderweb crack appears on the phone screen
A realistic fixed-camera close-up video showing a spiderweb crack appears on the phone screen, with no small metal nut or other visible cause in the frame. | small metal nut | a spiderweb crack appears on the phone screen
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: a spiderweb crack appears on the phone screen, with no small metal nut visible. | small metal nut | a spiderweb crack appears on the phone screen
A realistic fixed-camera close-up video of the same scene before the event, with no small metal nut, no visible cause, and no a spiderweb crack appears on the phone screen. | small metal nut | a spiderweb crack appears on the phone screen
A realistic fixed-camera close-up video showing a spiderweb crack appears on the phone screen, with no small metal nut or other visible cause in the frame. | small metal nut | a spiderweb crack appears on the phone screen
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: a spiderweb crack appears on the phone screen, with no small metal nut visible. | small metal nut | a spiderweb crack appears on the phone screen
A realistic fixed-camera close-up video of the same scene before the event, with no small metal nut, no visible cause, and no a spiderweb crack appears on the phone screen. | small metal nut | a spiderweb crack appears on the phone screen
A realistic fixed-camera close-up video showing a spiderweb crack appears on the phone screen, with no small metal nut or other visible cause in the frame. | small metal nut | a spiderweb crack appears on the phone screen
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: a spiderweb crack appears on the phone screen, with no small metal nut visible. | small metal nut | a spiderweb crack appears on the phone screen
A realistic fixed-camera close-up video of the same scene before the event, with no small metal nut, no visible cause, and no a spiderweb crack appears on the phone screen. | small metal nut | a spiderweb crack appears on the phone screen
A realistic fixed-camera close-up video showing a spiderweb crack appears on the phone screen, with no small metal nut or other visible cause in the frame. | small metal nut | a spiderweb crack appears on the phone screen
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: a spiderweb crack appears on the phone screen, with no small metal nut visible. | small metal nut | a spiderweb crack appears on the phone screen
A realistic fixed-camera close-up video of the same scene before the event, with no small metal nut, no visible cause, and no a spiderweb crack appears on the phone screen. | small metal nut | a spiderweb crack appears on the phone screen
A realistic fixed-camera close-up video showing a spiderweb crack appears on the phone screen, with no small metal nut or other visible cause in the frame. | small metal nut | a spiderweb crack appears on the phone screen
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: a spiderweb crack appears on the phone screen, with no small metal nut visible. | small metal nut | a spiderweb crack appears on the phone screen
A realistic fixed-camera close-up video of the same scene before the event, with no yellow golf ball, no visible cause, and no a circular impact crack appears and spreads. | yellow golf ball | a circular impact crack appears and spreads
A realistic fixed-camera close-up video showing a circular impact crack appears and spreads, with no yellow golf ball or other visible cause in the frame. | yellow golf ball | a circular impact crack appears and spreads
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: a circular impact crack appears and spreads, with no yellow golf ball visible. | yellow golf ball | a circular impact crack appears and spreads
A realistic fixed-camera close-up video of the same scene before the event, with no yellow golf ball, no visible cause, and no a circular impact crack appears and spreads. | yellow golf ball | a circular impact crack appears and spreads
A realistic fixed-camera close-up video showing a circular impact crack appears and spreads, with no yellow golf ball or other visible cause in the frame. | yellow golf ball | a circular impact crack appears and spreads
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: a circular impact crack appears and spreads, with no yellow golf ball visible. | yellow golf ball | a circular impact crack appears and spreads
A realistic fixed-camera close-up video of the same scene before the event, with no yellow golf ball, no visible cause, and no a circular impact crack appears and spreads. | yellow golf ball | a circular impact crack appears and spreads
A realistic fixed-camera close-up video showing a circular impact crack appears and spreads, with no yellow golf ball or other visible cause in the frame. | yellow golf ball | a circular impact crack appears and spreads
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: a circular impact crack appears and spreads, with no yellow golf ball visible. | yellow golf ball | a circular impact crack appears and spreads
A realistic fixed-camera close-up video of the same scene before the event, with no yellow golf ball, no visible cause, and no a circular impact crack appears and spreads. | yellow golf ball | a circular impact crack appears and spreads
A realistic fixed-camera close-up video showing a circular impact crack appears and spreads, with no yellow golf ball or other visible cause in the frame. | yellow golf ball | a circular impact crack appears and spreads
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: a circular impact crack appears and spreads, with no yellow golf ball visible. | yellow golf ball | a circular impact crack appears and spreads
A realistic fixed-camera close-up video of the same scene before the event, with no yellow golf ball, no visible cause, and no a circular impact crack appears and spreads. | yellow golf ball | a circular impact crack appears and spreads
A realistic fixed-camera close-up video showing a circular impact crack appears and spreads, with no yellow golf ball or other visible cause in the frame. | yellow golf ball | a circular impact crack appears and spreads
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: a circular impact crack appears and spreads, with no yellow golf ball visible. | yellow golf ball | a circular impact crack appears and spreads
A realistic fixed-camera close-up video of the same scene before the event, with no wooden mallet, no visible cause, and no a small chip and crack line remain on the clay. | wooden mallet | a small chip and crack line remain on the clay
A realistic fixed-camera close-up video showing a small chip and crack line remain on the clay, with no wooden mallet or other visible cause in the frame. | wooden mallet | a small chip and crack line remain on the clay
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: a small chip and crack line remain on the clay, with no wooden mallet visible. | wooden mallet | a small chip and crack line remain on the clay
A realistic fixed-camera close-up video of the same scene before the event, with no wooden mallet, no visible cause, and no a small chip and crack line remain on the clay. | wooden mallet | a small chip and crack line remain on the clay
A realistic fixed-camera close-up video showing a small chip and crack line remain on the clay, with no wooden mallet or other visible cause in the frame. | wooden mallet | a small chip and crack line remain on the clay
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: a small chip and crack line remain on the clay, with no wooden mallet visible. | wooden mallet | a small chip and crack line remain on the clay
A realistic fixed-camera close-up video of the same scene before the event, with no wooden mallet, no visible cause, and no a small chip and crack line remain on the clay. | wooden mallet | a small chip and crack line remain on the clay
A realistic fixed-camera close-up video showing a small chip and crack line remain on the clay, with no wooden mallet or other visible cause in the frame. | wooden mallet | a small chip and crack line remain on the clay
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: a small chip and crack line remain on the clay, with no wooden mallet visible. | wooden mallet | a small chip and crack line remain on the clay
A realistic fixed-camera close-up video of the same scene before the event, with no wooden mallet, no visible cause, and no a small chip and crack line remain on the clay. | wooden mallet | a small chip and crack line remain on the clay
A realistic fixed-camera close-up video showing a small chip and crack line remain on the clay, with no wooden mallet or other visible cause in the frame. | wooden mallet | a small chip and crack line remain on the clay
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: a small chip and crack line remain on the clay, with no wooden mallet visible. | wooden mallet | a small chip and crack line remain on the clay
A realistic fixed-camera close-up video of the same scene before the event, with no wooden mallet, no visible cause, and no a small chip and crack line remain on the clay. | wooden mallet | a small chip and crack line remain on the clay
A realistic fixed-camera close-up video showing a small chip and crack line remain on the clay, with no wooden mallet or other visible cause in the frame. | wooden mallet | a small chip and crack line remain on the clay
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: a small chip and crack line remain on the clay, with no wooden mallet visible. | wooden mallet | a small chip and crack line remain on the clay
A realistic fixed-camera close-up video of the same scene before the event, with no ice cube, no visible cause, and no branching white cracks spread through the ice. | ice cube | branching white cracks spread through the ice
A realistic fixed-camera close-up video showing branching white cracks spread through the ice, with no ice cube or other visible cause in the frame. | ice cube | branching white cracks spread through the ice
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: branching white cracks spread through the ice, with no ice cube visible. | ice cube | branching white cracks spread through the ice
A realistic fixed-camera close-up video of the same scene before the event, with no ice cube, no visible cause, and no branching white cracks spread through the ice. | ice cube | branching white cracks spread through the ice
A realistic fixed-camera close-up video showing branching white cracks spread through the ice, with no ice cube or other visible cause in the frame. | ice cube | branching white cracks spread through the ice
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: branching white cracks spread through the ice, with no ice cube visible. | ice cube | branching white cracks spread through the ice
A realistic fixed-camera close-up video of the same scene before the event, with no ice cube, no visible cause, and no branching white cracks spread through the ice. | ice cube | branching white cracks spread through the ice
A realistic fixed-camera close-up video showing branching white cracks spread through the ice, with no ice cube or other visible cause in the frame. | ice cube | branching white cracks spread through the ice
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: branching white cracks spread through the ice, with no ice cube visible. | ice cube | branching white cracks spread through the ice
A realistic fixed-camera close-up video of the same scene before the event, with no ice cube, no visible cause, and no branching white cracks spread through the ice. | ice cube | branching white cracks spread through the ice
A realistic fixed-camera close-up video showing branching white cracks spread through the ice, with no ice cube or other visible cause in the frame. | ice cube | branching white cracks spread through the ice
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: branching white cracks spread through the ice, with no ice cube visible. | ice cube | branching white cracks spread through the ice
A realistic fixed-camera close-up video of the same scene before the event, with no ice cube, no visible cause, and no branching white cracks spread through the ice. | ice cube | branching white cracks spread through the ice
A realistic fixed-camera close-up video showing branching white cracks spread through the ice, with no ice cube or other visible cause in the frame. | ice cube | branching white cracks spread through the ice
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: branching white cracks spread through the ice, with no ice cube visible. | ice cube | branching white cracks spread through the ice
A realistic fixed-camera close-up video of the same scene before the event, with no black hockey puck, no visible cause, and no a star-shaped crack spreads across the mirror. | black hockey puck | a star-shaped crack spreads across the mirror
A realistic fixed-camera close-up video showing a star-shaped crack spreads across the mirror, with no black hockey puck or other visible cause in the frame. | black hockey puck | a star-shaped crack spreads across the mirror
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: a star-shaped crack spreads across the mirror, with no black hockey puck visible. | black hockey puck | a star-shaped crack spreads across the mirror
A realistic fixed-camera close-up video of the same scene before the event, with no black hockey puck, no visible cause, and no a star-shaped crack spreads across the mirror. | black hockey puck | a star-shaped crack spreads across the mirror
A realistic fixed-camera close-up video showing a star-shaped crack spreads across the mirror, with no black hockey puck or other visible cause in the frame. | black hockey puck | a star-shaped crack spreads across the mirror
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: a star-shaped crack spreads across the mirror, with no black hockey puck visible. | black hockey puck | a star-shaped crack spreads across the mirror
A realistic fixed-camera close-up video of the same scene before the event, with no black hockey puck, no visible cause, and no a star-shaped crack spreads across the mirror. | black hockey puck | a star-shaped crack spreads across the mirror
A realistic fixed-camera close-up video showing a star-shaped crack spreads across the mirror, with no black hockey puck or other visible cause in the frame. | black hockey puck | a star-shaped crack spreads across the mirror
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: a star-shaped crack spreads across the mirror, with no black hockey puck visible. | black hockey puck | a star-shaped crack spreads across the mirror
A realistic fixed-camera close-up video of the same scene before the event, with no black hockey puck, no visible cause, and no a star-shaped crack spreads across the mirror. | black hockey puck | a star-shaped crack spreads across the mirror
A realistic fixed-camera close-up video showing a star-shaped crack spreads across the mirror, with no black hockey puck or other visible cause in the frame. | black hockey puck | a star-shaped crack spreads across the mirror
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: a star-shaped crack spreads across the mirror, with no black hockey puck visible. | black hockey puck | a star-shaped crack spreads across the mirror
A realistic fixed-camera close-up video of the same scene before the event, with no black hockey puck, no visible cause, and no a star-shaped crack spreads across the mirror. | black hockey puck | a star-shaped crack spreads across the mirror
A realistic fixed-camera close-up video showing a star-shaped crack spreads across the mirror, with no black hockey puck or other visible cause in the frame. | black hockey puck | a star-shaped crack spreads across the mirror
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: a star-shaped crack spreads across the mirror, with no black hockey puck visible. | black hockey puck | a star-shaped crack spreads across the mirror
A realistic fixed-camera close-up video of the same scene before the event, with no small hammer, no visible cause, and no a visible chip and hairline crack appear. | small hammer | a visible chip and hairline crack appear
A realistic fixed-camera close-up video showing a visible chip and hairline crack appear, with no small hammer or other visible cause in the frame. | small hammer | a visible chip and hairline crack appear
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: a visible chip and hairline crack appear, with no small hammer visible. | small hammer | a visible chip and hairline crack appear
A realistic fixed-camera close-up video of the same scene before the event, with no small hammer, no visible cause, and no a visible chip and hairline crack appear. | small hammer | a visible chip and hairline crack appear
A realistic fixed-camera close-up video showing a visible chip and hairline crack appear, with no small hammer or other visible cause in the frame. | small hammer | a visible chip and hairline crack appear
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: a visible chip and hairline crack appear, with no small hammer visible. | small hammer | a visible chip and hairline crack appear
A realistic fixed-camera close-up video of the same scene before the event, with no small hammer, no visible cause, and no a visible chip and hairline crack appear. | small hammer | a visible chip and hairline crack appear
A realistic fixed-camera close-up video showing a visible chip and hairline crack appear, with no small hammer or other visible cause in the frame. | small hammer | a visible chip and hairline crack appear
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: a visible chip and hairline crack appear, with no small hammer visible. | small hammer | a visible chip and hairline crack appear
A realistic fixed-camera close-up video of the same scene before the event, with no small hammer, no visible cause, and no a visible chip and hairline crack appear. | small hammer | a visible chip and hairline crack appear
A realistic fixed-camera close-up video showing a visible chip and hairline crack appear, with no small hammer or other visible cause in the frame. | small hammer | a visible chip and hairline crack appear
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: a visible chip and hairline crack appear, with no small hammer visible. | small hammer | a visible chip and hairline crack appear
A realistic fixed-camera close-up video of the same scene before the event, with no small hammer, no visible cause, and no a visible chip and hairline crack appear. | small hammer | a visible chip and hairline crack appear
A realistic fixed-camera close-up video showing a visible chip and hairline crack appear, with no small hammer or other visible cause in the frame. | small hammer | a visible chip and hairline crack appear
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: a visible chip and hairline crack appear, with no small hammer visible. | small hammer | a visible chip and hairline crack appear
A realistic fixed-camera close-up video of the same scene before the event, with no marble ball, no visible cause, and no a round dent and branching cracks appear. | marble ball | a round dent and branching cracks appear
A realistic fixed-camera close-up video showing a round dent and branching cracks appear, with no marble ball or other visible cause in the frame. | marble ball | a round dent and branching cracks appear
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: a round dent and branching cracks appear, with no marble ball visible. | marble ball | a round dent and branching cracks appear
A realistic fixed-camera close-up video of the same scene before the event, with no marble ball, no visible cause, and no a round dent and branching cracks appear. | marble ball | a round dent and branching cracks appear
A realistic fixed-camera close-up video showing a round dent and branching cracks appear, with no marble ball or other visible cause in the frame. | marble ball | a round dent and branching cracks appear
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: a round dent and branching cracks appear, with no marble ball visible. | marble ball | a round dent and branching cracks appear
A realistic fixed-camera close-up video of the same scene before the event, with no marble ball, no visible cause, and no a round dent and branching cracks appear. | marble ball | a round dent and branching cracks appear
A realistic fixed-camera close-up video showing a round dent and branching cracks appear, with no marble ball or other visible cause in the frame. | marble ball | a round dent and branching cracks appear
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: a round dent and branching cracks appear, with no marble ball visible. | marble ball | a round dent and branching cracks appear
A realistic fixed-camera close-up video of the same scene before the event, with no marble ball, no visible cause, and no a round dent and branching cracks appear. | marble ball | a round dent and branching cracks appear
A realistic fixed-camera close-up video showing a round dent and branching cracks appear, with no marble ball or other visible cause in the frame. | marble ball | a round dent and branching cracks appear
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: a round dent and branching cracks appear, with no marble ball visible. | marble ball | a round dent and branching cracks appear
A realistic fixed-camera close-up video of the same scene before the event, with no marble ball, no visible cause, and no a round dent and branching cracks appear. | marble ball | a round dent and branching cracks appear
A realistic fixed-camera close-up video showing a round dent and branching cracks appear, with no marble ball or other visible cause in the frame. | marble ball | a round dent and branching cracks appear
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: a round dent and branching cracks appear, with no marble ball visible. | marble ball | a round dent and branching cracks appear
A realistic fixed-camera close-up video of the same scene before the event, with no stone cube, no visible cause, and no dry mud cracks radiate from the impact point. | stone cube | dry mud cracks radiate from the impact point
A realistic fixed-camera close-up video showing dry mud cracks radiate from the impact point, with no stone cube or other visible cause in the frame. | stone cube | dry mud cracks radiate from the impact point
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: dry mud cracks radiate from the impact point, with no stone cube visible. | stone cube | dry mud cracks radiate from the impact point
A realistic fixed-camera close-up video of the same scene before the event, with no stone cube, no visible cause, and no dry mud cracks radiate from the impact point. | stone cube | dry mud cracks radiate from the impact point
A realistic fixed-camera close-up video showing dry mud cracks radiate from the impact point, with no stone cube or other visible cause in the frame. | stone cube | dry mud cracks radiate from the impact point
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: dry mud cracks radiate from the impact point, with no stone cube visible. | stone cube | dry mud cracks radiate from the impact point
A realistic fixed-camera close-up video of the same scene before the event, with no stone cube, no visible cause, and no dry mud cracks radiate from the impact point. | stone cube | dry mud cracks radiate from the impact point
A realistic fixed-camera close-up video showing dry mud cracks radiate from the impact point, with no stone cube or other visible cause in the frame. | stone cube | dry mud cracks radiate from the impact point
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: dry mud cracks radiate from the impact point, with no stone cube visible. | stone cube | dry mud cracks radiate from the impact point
A realistic fixed-camera close-up video of the same scene before the event, with no stone cube, no visible cause, and no dry mud cracks radiate from the impact point. | stone cube | dry mud cracks radiate from the impact point
A realistic fixed-camera close-up video showing dry mud cracks radiate from the impact point, with no stone cube or other visible cause in the frame. | stone cube | dry mud cracks radiate from the impact point
A realistic fixed-camera close-up video of a small metal hammer producing a similar footprint: dry mud cracks radiate from the impact point, with no stone cube visible. | stone cube | dry mud cracks radiate from the impact point
