# Round5 taxonomy-balanced clean-source expansion prompts.
# Exported manually from benchmarks/causal_footprint_v0/round5_taxonomy_expansion_prompts.tsv.
# Format: <prompt> | <target> | <effect>

A side-view video of a small electric fan blowing toward a thin vertical smoke plume, causing the smoke plume to bend sideways and stream away. | electric fan | smoke plume bends sideways
A close-up video of a yellow plastic comb moving near tiny colorful confetti pieces, causing the confetti pieces to lift and cling together near the comb. | plastic comb | tiny confetti pieces cling together
A close-up video of a metal flour sifter shaking above a dark bowl, causing a white flour dust cloud to spread downward into the bowl. | flour sifter | flour dust cloud spreads downward
A top-down close-up video of a glass salt shaker tipping over on a black table, causing white salt grains to scatter outward across the surface. | salt shaker | salt grains scatter across black table
A close-up video of a chalk eraser hitting a blackboard tray, causing a white chalk dust cloud to spread outward through the air. | chalk eraser | chalk dust cloud spreads outward
A close-up slow-motion video of a round makeup puff tapping a pile of pink powder, causing a colored powder cloud to bloom upward. | makeup puff | colored powder cloud blooms
A close-up video of a small sandbag tearing open on a clean floor, causing sand to spill out and form a spreading pile. | sandbag | sand spills into a pile
A top-down video of a small paper seed bag tipping over on a wooden table, causing many seeds to scatter outward. | seed bag | seeds scatter across table
A side-view slow-motion video of a white snowball hitting a dark wall, causing snow powder to burst outward and stick to the wall. | snowball | snow powder bursts outward
A close-up video of a small glitter jar tipping over on black paper, causing glitter to spill out into a sparkling trail. | glitter jar | glitter spills into sparkling trail
A close-up video of a cereal box tipping over above a kitchen table, causing cereal pieces to pour out and scatter across the table. | cereal box | cereal pieces pour onto table
A close-up video of a small garden trowel scooping and dropping dark soil onto a light surface, causing soil clumps to scatter outward. | garden trowel | soil clumps scatter outward
