review_id,pair_id,item_index,seed_index,variant,expected_target_visible,expected_footprint_visible,observed_target_visible,observed_footprint_visible,target_match,footprint_match,scene_structure_preserved,cells_distinguishable,generation_failure,mode_collapse,cell_success,rejection_reasons,notes
c01_001_s02_19ccb37a04,v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,1,2,original,present,present,present,present,true,true,yes,yes,no,no,true,,
c01_001_s02_82cb40ea47,v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,1,2,remove_target,absent,absent,absent,absent,true,true,yes,yes,no,no,true,,
c01_001_s02_07eb10858d,v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,1,2,footprint_only,absent,present,absent,present,true,true,yes,yes,no,no,true,,
c01_001_s02_7107dfe4a2,v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,1,2,target_only,present,absent,present,absent,true,true,yes,yes,no,no,true,,
c01_001_s03_c2f643dbf5,v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,1,3,original,present,present,present,present,true,true,yes,yes,no,no,true,,
c01_001_s03_08c0bc8180,v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,1,3,remove_target,absent,absent,absent,absent,true,true,yes,yes,no,no,true,,
c01_001_s03_8a15e26976,v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,1,3,footprint_only,absent,present,absent,present,true,true,yes,yes,no,no,true,,
c01_001_s03_d84a1d26d7,v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,1,3,target_only,present,absent,present,absent,true,true,yes,yes,no,no,true,,
c01_001_s04_a63dea212d,v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,1,4,original,present,present,present,present,true,true,yes,yes,no,no,true,,
c01_001_s04_d9538692d4,v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,1,4,remove_target,absent,absent,absent,absent,true,true,yes,yes,no,no,true,,
c01_001_s04_fbe287fc2c,v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,1,4,footprint_only,absent,present,absent,present,true,true,yes,yes,no,no,true,,
c01_001_s04_9ec782f322,v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,1,4,target_only,present,absent,present,absent,true,true,yes,yes,no,no,true,,
c01_002_s00_763753ebd3,elastic_deformation_soccer_net_001,2,0,original,present,present,present,present,true,true,yes,yes,no,no,true,,
c01_002_s00_ae8a536f33,elastic_deformation_soccer_net_001,2,0,remove_target,absent,absent,absent,absent,true,true,yes,yes,no,no,true,,
c01_002_s00_a9553db8ae,elastic_deformation_soccer_net_001,2,0,footprint_only,absent,present,absent,present,true,true,yes,yes,no,no,true,,
c01_002_s00_6faa330d68,elastic_deformation_soccer_net_001,2,0,target_only,present,absent,present,absent,true,true,yes,yes,no,no,true,,
c01_002_s01_0194e41292,elastic_deformation_soccer_net_001,2,1,original,present,present,present,present,true,true,yes,yes,no,no,true,,
c01_002_s01_1b83e76e67,elastic_deformation_soccer_net_001,2,1,remove_target,absent,absent,absent,absent,true,true,yes,yes,no,no,true,,
c01_002_s01_80c623e06d,elastic_deformation_soccer_net_001,2,1,footprint_only,absent,present,absent,present,true,true,yes,yes,no,no,true,,
c01_002_s01_08cbd298cc,elastic_deformation_soccer_net_001,2,1,target_only,present,absent,present,absent,true,true,yes,yes,no,no,true,,
c01_002_s02_b9c74aeaf5,elastic_deformation_soccer_net_001,2,2,original,present,present,present,present,true,true,yes,yes,no,no,true,,
c01_002_s02_beef146a61,elastic_deformation_soccer_net_001,2,2,remove_target,absent,absent,absent,absent,true,true,yes,yes,no,no,true,,
c01_002_s02_3f9108f13a,elastic_deformation_soccer_net_001,2,2,footprint_only,absent,present,absent,present,true,true,yes,yes,no,no,true,,
c01_002_s02_781bf92f52,elastic_deformation_soccer_net_001,2,2,target_only,present,absent,present,absent,true,true,yes,yes,no,no,true,,
c01_002_s03_6dab4e781c,elastic_deformation_soccer_net_001,2,3,original,present,present,present,present,true,true,yes,yes,no,no,true,,
c01_002_s03_607bcd79c5,elastic_deformation_soccer_net_001,2,3,remove_target,absent,absent,absent,absent,true,true,yes,yes,no,no,true,,
c01_002_s03_7331db3cd5,elastic_deformation_soccer_net_001,2,3,footprint_only,absent,present,absent,present,true,true,yes,yes,no,no,true,,
c01_002_s03_7cf415b785,elastic_deformation_soccer_net_001,2,3,target_only,present,absent,present,absent,true,true,yes,yes,no,no,true,,
c01_002_s04_3f41f77435,elastic_deformation_soccer_net_001,2,4,original,present,present,present,present,true,true,yes,yes,no,no,true,,
c01_002_s04_b2cb90fa23,elastic_deformation_soccer_net_001,2,4,remove_target,absent,absent,absent,absent,true,true,yes,yes,no,no,true,,
c01_002_s04_3990605450,elastic_deformation_soccer_net_001,2,4,footprint_only,absent,present,absent,present,true,true,yes,yes,no,no,true,,
c01_002_s04_efa48063f7,elastic_deformation_soccer_net_001,2,4,target_only,present,absent,present,absent,true,true,yes,yes,no,no,true,,
